source_table,breakdown,financial_year,category_1,category_2,column_category,count
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2024–25,Government,,,32
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2023–24,Government,,,34
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2022–23,Government,,,33
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2021–22,Government,,,32
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2020–21,Government,,,31
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2019–20,Government,,,30
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2018–19,Government,,,31
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2017–18,Government,,,30
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2016–17,Government,,,30
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2015–16,Government,,,35
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2024–25,Non-government,,,52
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2023–24,Non-government,,,57
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2022–23,Non-government,,,54
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2021–22,Non-government,,,51
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2020–21,Non-government,,,53
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2019–20,Non-government,,,55
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2018–19,Non-government,,,53
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2017–18,Non-government,,,42
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2016–17,Non-government,,,40
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2015–16,Non-government,,,43
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2024–25,Total,,,84
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2023–24,Total,,,91
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2022–23,Total,,,87
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2021–22,Total,,,83
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2020–21,Total,,,84
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2019–20,Total,,,85
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2018–19,Total,,,84
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2017–18,Total,,,72
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2016–17,Total,,,70
ST SA.1,"Alcohol and other drug treatment agencies, by service sector",2015–16,Total,,,78
ST SA.2,"Closed treatment episodes, by client type",2024–25,Own drug use,,,12539
ST SA.2,"Closed treatment episodes, by client type",2023–24,Own drug use,,,11040
ST SA.2,"Closed treatment episodes, by client type",2022–23,Own drug use,,,9687
ST SA.2,"Closed treatment episodes, by client type",2021–22,Own drug use,,,9646
ST SA.2,"Closed treatment episodes, by client type",2020–21,Own drug use,,,10270
ST SA.2,"Closed treatment episodes, by client type",2019–20,Own drug use,,,9590
ST SA.2,"Closed treatment episodes, by client type",2018–19,Own drug use,,,11718
ST SA.2,"Closed treatment episodes, by client type",2017–18,Own drug use,,,10344
ST SA.2,"Closed treatment episodes, by client type",2016–17,Own drug use,,,11502
ST SA.2,"Closed treatment episodes, by client type",2015–16,Own drug use,,,11120
ST SA.2,"Closed treatment episodes, by client type",2024–25,Other's drug use,,,167
ST SA.2,"Closed treatment episodes, by client type",2023–24,Other's drug use,,,156
ST SA.2,"Closed treatment episodes, by client type",2022–23,Other's drug use,,,82
ST SA.2,"Closed treatment episodes, by client type",2021–22,Other's drug use,,,43
ST SA.2,"Closed treatment episodes, by client type",2020–21,Other's drug use,,,102
ST SA.2,"Closed treatment episodes, by client type",2019–20,Other's drug use,,,100
ST SA.2,"Closed treatment episodes, by client type",2018–19,Other's drug use,,,216
ST SA.2,"Closed treatment episodes, by client type",2017–18,Other's drug use,,,197
ST SA.2,"Closed treatment episodes, by client type",2016–17,Other's drug use,,,163
ST SA.2,"Closed treatment episodes, by client type",2015–16,Other's drug use,,,70
ST SA.2,"Closed treatment episodes, by client type",2024–25,Total,,,12706
ST SA.2,"Closed treatment episodes, by client type",2023–24,Total,,,11196
ST SA.2,"Closed treatment episodes, by client type",2022–23,Total,,,9769
ST SA.2,"Closed treatment episodes, by client type",2021–22,Total,,,9689
ST SA.2,"Closed treatment episodes, by client type",2020–21,Total,,,10372
ST SA.2,"Closed treatment episodes, by client type",2019–20,Total,,,9690
ST SA.2,"Closed treatment episodes, by client type",2018–19,Total,,,11934
ST SA.2,"Closed treatment episodes, by client type",2017–18,Total,,,10541
ST SA.2,"Closed treatment episodes, by client type",2016–17,Total,,,11665
ST SA.2,"Closed treatment episodes, by client type",2015–16,Total,,,11190
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,Australia,Own drug use,,10714
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,Australia,Own drug use,,10010
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,Australia,Own drug use,,8826
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,Australia,Own drug use,,8835
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,Australia,Own drug use,,9346
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,Australia,Own drug use,,8721
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,Australia,Own drug use,,10517
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,Australia,Own drug use,,9391
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,Australia,Own drug use,,10374
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,Australia,Own drug use,,9784
