table,table_title,year,measure,age,sex,indigenous_status,remoteness,year_dollars,description1,description2,description3,description4,uncertainty,data_source,unit,jurisdiction,value
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Government grants,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,412.6
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Transport fees,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,157.8
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Subscriptions and other income,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,42.4
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,612.8
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,,Ambulance service organisations,Revenue sources,Total revenue,Average annual growth rate from 2020-21 to 2024-25,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,SA,9.5
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,SA,323.93
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Government grants,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,322.4
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Transport fees,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,134.3
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Subscriptions and other income,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,44.3
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,500.9
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,SA,268.39
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2022-23,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Government grants,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,343.6
