table,table_title,year,measure,age,sex,indigenous_status,remoteness,year_dollars,description1,description2,description3,description4,uncertainty,data_source,unit,jurisdiction,value
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,<30 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,NSW,2227
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,<30 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Vic,1254
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,<30 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Qld,1543
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,<30 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,WA,493
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,<30 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,SA,569
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,<30 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Tas,142
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,<30 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,ACT,111
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,<30 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,NT,70
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,<30 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Aust,6409
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,30-39 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,NSW,1856
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,30-39 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Vic,2433
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,30-39 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Qld,1922
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,30-39 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,WA,717
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,30-39 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,SA,717
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,30-39 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Tas,261
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,30-39 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,ACT,128
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,30-39 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,NT,88
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,30-39 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Aust,8122
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,40-49 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,NSW,1048
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,40-49 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Vic,962
