"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Year_Dollars","Description1","Description2","Description3","Description4","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Other","Aust"
"11A.1","2024-25","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Government grants","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1403.9","1258.6","1312.0","292.4","412.6","184.4","85.4","52.5","","5001.7"
"11A.1","2024-25","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Transport fees","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","288.6","260.8","61.7","192.9","157.8","13.7","8.7","9.9","","994.1"
"11A.1","2024-25","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Subscriptions and other income","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","12.5","118.9","16.3","61.9","42.4","5.1","6.3","0","","263.4"
"11A.1","2024-25","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Total revenue","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1705.0","1638.3","1389.9","547.1","612.8","203.1","100.5","62.4","","6259.2"
"11A.1","2024-25","Revenue sources","All ages","All people","All people","All areas","","Ambulance service organisations","Revenue sources","Total revenue","Average annual growth rate from 2020-21 to 2024-25","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","%","4.6","2.1","5.8","7.0","9.5","5.9","3.6","6.2","","4.8"
"11A.1","2024-25","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Total revenue","Per person in the population","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","199.53","233.67","247.38","181.85","323.93","352.82","208.68","237.97","","228.44"
"11A.1","2023-24","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Government grants","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1350.2","1194.7","1242.6","266.6","322.4","150.0","83.1","54.0","","4663.4"
"11A.1","2023-24","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Transport fees","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","285.2","225.4","64.1","187.0","134.3","13.0","7.6","6.8","","923.2"
"11A.1","2023-24","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Subscriptions and other income","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","11.5","117.9","18.3","62.3","44.3","4.0","7.8","1.3","","267.3"
"11A.1","2023-24","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Total revenue","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1646.9","1538.0","1324.9","515.8","500.9","166.9","98.5","62.1","","5854.0"
"11A.1","2023-24","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Total revenue","Per person in the population","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","195.25","222.71","239.66","176.16","268.39","290.47","209.37","244.73","","217.08"
"11A.1","2022-23","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Government grants","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1373.9","1381.5","1153.2","254.6","343.6","152.7","75.6","47.5","","4782.5"
"11A.1","2022-23","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Transport fees","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","269.2","253.6","66.2","167.1","134.8","9.3","8.9","7.4","","916.6"
"11A.1","2022-23","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Subscriptions and other income","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","2.7","117.8","19.2","52.2","46.3","3.8","3.3","1.0","","246.3"
"11A.1","2022-23","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Total revenue","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1645.8","1752.8","1238.6","473.9","524.7","165.9","87.8","55.9","","5945.4"
"11A.1","2022-23","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Total revenue","Per person in the population","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","199.76","261.45","230.30","167.73","286.03","290.19","190.48","223.64","","226.33"
