year,state,measure,value,unit,obs_status_flag
1975,New South Wales,Births,81172,NUM,
1976,New South Wales,Births,78749,NUM,
1977,New South Wales,Births,78302,NUM,
1978,New South Wales,Births,78052,NUM,
1979,New South Wales,Births,77469,NUM,
1980,New South Wales,Births,79801,NUM,
1981,New South Wales,Births,81971,NUM,
1982,New South Wales,Births,83908,NUM,
1983,New South Wales,Births,83307,NUM,
1984,New South Wales,Births,77994,NUM,
1985,New South Wales,Births,87786,NUM,
1986,New South Wales,Births,84531,NUM,
1987,New South Wales,Births,86093,NUM,
1988,New South Wales,Births,84647,NUM,
1989,New South Wales,Births,85790,NUM,
1990,New South Wales,Births,90534,NUM,
1991,New South Wales,Births,87367,NUM,
1992,New South Wales,Births,92585,NUM,
1993,New South Wales,Births,89354,NUM,
1994,New South Wales,Births,87977,NUM,
1995,New South Wales,Births,87849,NUM,
1996,New South Wales,Births,86595,NUM,
1997,New South Wales,Births,87156,NUM,
1998,New South Wales,Births,85499,NUM,
1999,New South Wales,Births,86784,NUM,
2000,New South Wales,Births,86752,NUM,
2001,New South Wales,Births,84578,NUM,
2002,New South Wales,Births,86583,NUM,
2003,New South Wales,Births,86344,NUM,
2004,New South Wales,Births,85894,NUM,
2005,New South Wales,Births,91224,NUM,
2006,New South Wales,Births,92188,NUM,
2007,New South Wales,Births,96351,NUM,
2008,New South Wales,Births,100276,NUM,
2009,New South Wales,Births,98231,NUM,
2010,New South Wales,Births,101266,NUM,
2011,New South Wales,Births,99054,NUM,
2012,New South Wales,Births,98508,NUM,
2013,New South Wales,Births,100462,NUM,
2014,New South Wales,Births,91074,NUM,
2015,New South Wales,Births,100079,NUM,
2016,New South Wales,Births,96083,NUM,
2017,New South Wales,Births,96591,NUM,
2018,New South Wales,Births,107343,NUM,
2019,New South Wales,Births,98906,NUM,
2020,New South Wales,Births,95459,NUM,
2021,New South Wales,Births,101332,NUM,
2022,New South Wales,Births,97884,NUM,
2023,New South Wales,Births,91947,NUM,
2024,New South Wales,Births,89030,NUM,
1975,South Australia,Crude birth rate,15.7,NUM,
1976,South Australia,Crude birth rate,14.8,NUM,
1977,South Australia,Crude birth rate,14.9,NUM,
1978,South Australia,Crude birth rate,14.3,NUM,
1979,South Australia,Crude birth rate,14.2,NUM,
1980,South Australia,Crude birth rate,14.1,NUM,
1981,South Australia,Crude birth rate,14.6,NUM,
1982,South Australia,Crude birth rate,14.4,NUM,
1983,South Australia,Crude birth rate,14.7,NUM,
1984,South Australia,Crude birth rate,14.7,NUM,
1985,South Australia,Crude birth rate,14.4,NUM,
1986,South Australia,Crude birth rate,14.3,NUM,
1987,South Australia,Crude birth rate,13.8,NUM,
1988,South Australia,Crude birth rate,13.6,NUM,
1989,South Australia,Crude birth rate,13.8,NUM,
1990,South Australia,Crude birth rate,13.9,NUM,
1991,South Australia,Crude birth rate,13.6,NUM,
1992,South Australia,Crude birth rate,13.3,NUM,
1993,South Australia,Crude birth rate,13.8,NUM,
1994,South Australia,Crude birth rate,13.3,NUM,
1995,South Australia,Crude birth rate,13.2,NUM,
1996,South Australia,Crude birth rate,13,NUM,
1997,South Australia,Crude birth rate,12.4,NUM,
1998,South Australia,Crude birth rate,12.3,NUM,
1999,South Australia,Crude birth rate,12,NUM,
2000,South Australia,Crude birth rate,11.9,NUM,
2001,South Australia,Crude birth rate,11.5,NUM,
2002,South Australia,Crude birth rate,11.7,NUM,
2003,South Australia,Crude birth rate,11.5,NUM,
2004,South Australia,Crude birth rate,11.2,NUM,
2005,South Australia,Crude birth rate,11.6,NUM,
2006,South Australia,Crude birth rate,11.8,NUM,
2007,South Australia,Crude birth rate,12.5,NUM,
2008,South Australia,Crude birth rate,12.7,NUM,
2009,South Australia,Crude birth rate,12.3,NUM,
2010,South Australia,Crude birth rate,12.3,NUM,
2011,South Australia,Crude birth rate,12.1,NUM,
2012,South Australia,Crude birth rate,12.3,NUM,
2013,South Australia,Crude birth rate,12,NUM,
2014,South Australia,Crude birth rate,12.1,NUM,
2015,South Australia,Crude birth rate,11.5,NUM,
2016,South Australia,Crude birth rate,11.5,NUM,
2017,South Australia,Crude birth rate,11,NUM,
2018,South Australia,Crude birth rate,10.9,NUM,
2019,South Australia,Crude birth rate,11,NUM,
2020,South Australia,Crude birth rate,10.3,NUM,
2021,South Australia,Crude birth rate,11,NUM,
2022,South Australia,Crude birth rate,10.7,NUM,
2023,South Australia,Crude birth rate,10,NUM,
2024,South Australia,Crude birth rate,9.8,NUM,
1975,Western Australia,Nuptial births,17835,NUM,
1976,Western Australia,Nuptial births,18073,NUM,
1977,Western Australia,Nuptial births,18149,NUM,
1978,Western Australia,Nuptial births,17991,NUM,
1979,Western Australia,Nuptial births,17723,NUM,
1980,Western Australia,Nuptial births,17796,NUM,
1981,Western Australia,Nuptial births,18596,NUM,
1982,Western Australia,Nuptial births,18939,NUM,
1983,Western Australia,Nuptial births,19440,NUM,
1984,Western Australia,Nuptial births,18136,NUM,
1985,Western Australia,Nuptial births,19223,NUM,
1986,Western Australia,Nuptial births,19755,NUM,
1987,Western Australia,Nuptial births,18709,NUM,
1988,Western Australia,Nuptial births,19829,NUM,
1989,Western Australia,Nuptial births,19636,NUM,
1990,Western Australia,Nuptial births,19379,NUM,
1991,Western Australia,Nuptial births,18995,NUM,
1992,Western Australia,Nuptial births,18400,NUM,
1993,Western Australia,Nuptial births,18090,NUM,
1994,Western Australia,Nuptial births,17918,NUM,
1995,Western Australia,Nuptial births,17664,NUM,
1996,Western Australia,Nuptial births,17128,NUM,
1997,Western Australia,Nuptial births,17134,NUM,
1998,Western Australia,Nuptial births,16861,NUM,
1999,Western Australia,Nuptial births,16458,NUM,
2000,Western Australia,Nuptial births,16561,NUM,
2001,Western Australia,Nuptial births,15700,NUM,
2002,Western Australia,Nuptial births,15325,NUM,
2003,Western Australia,Nuptial births,15511,NUM,
2004,Western Australia,Nuptial births,15868,NUM,
2005,Western Australia,Nuptial births,16600,NUM,
2006,Western Australia,Nuptial births,17383,NUM,
2007,Western Australia,Nuptial births,18032,NUM,
2008,Western Australia,Nuptial births,19713,NUM,
2009,Western Australia,Nuptial births,19040,NUM,
2010,Western Australia,Nuptial births,19640,NUM,
2011,Western Australia,Nuptial births,20122,NUM,
2012,Western Australia,Nuptial births,21021,NUM,
2013,Western Australia,Nuptial births,21625,NUM,
2014,Western Australia,Nuptial births,22266,NUM,
2015,Western Australia,Nuptial births,21911,NUM,
2016,Western Australia,Nuptial births,22285,NUM,
2017,Western Australia,Nuptial births,21462,NUM,
2018,Western Australia,Nuptial births,20742,NUM,
2019,Western Australia,Nuptial births,20460,NUM,
2020,Western Australia,Nuptial births,19235,NUM,
2021,Western Australia,Nuptial births,19882,NUM,
2022,Western Australia,Nuptial births,17919,NUM,
2023,Western Australia,Nuptial births,18136,NUM,
2024,Western Australia,Nuptial births,17377,NUM,
1975,Australia,Ex-nuptial births,23705,NUM,
1976,Australia,Ex-nuptial births,23064,NUM,
1977,Australia,Ex-nuptial births,23314,NUM,
1978,Australia,Ex-nuptial births,24744,NUM,
1979,Australia,Ex-nuptial births,26110,NUM,
1980,Australia,Ex-nuptial births,28076,NUM,
1981,Australia,Ex-nuptial births,31200,NUM,
1982,Australia,Ex-nuptial births,32958,NUM,
1983,Australia,Ex-nuptial births,35646,NUM,
1984,Australia,Ex-nuptial births,34629,NUM,
1985,Australia,Ex-nuptial births,38275,NUM,
1986,Australia,Ex-nuptial births,40950,NUM,
1987,Australia,Ex-nuptial births,43806,NUM,
1988,Australia,Ex-nuptial births,46768,NUM,
1989,Australia,Ex-nuptial births,50788,NUM,
1990,Australia,Ex-nuptial births,57407,NUM,
1991,Australia,Ex-nuptial births,59223,NUM,
1992,Australia,Ex-nuptial births,63368,NUM,
1993,Australia,Ex-nuptial births,64874,NUM,
1994,Australia,Ex-nuptial births,66092,NUM,
1995,Australia,Ex-nuptial births,68050,NUM,
1996,Australia,Ex-nuptial births,69568,NUM,
1997,Australia,Ex-nuptial births,70738,NUM,
1998,Australia,Ex-nuptial births,71570,NUM,
1999,Australia,Ex-nuptial births,72691,NUM,
2000,Australia,Ex-nuptial births,73011,NUM,
2001,Australia,Ex-nuptial births,75719,NUM,
2002,Australia,Ex-nuptial births,78438,NUM,
2003,Australia,Ex-nuptial births,79308,NUM,
