year,state,sex,measure,value,unit,obs_status_flag
1971,Tasmania,Persons,Population,398073,PSNS,
1972,Tasmania,Persons,Population,400308,PSNS,
1973,Tasmania,Persons,Population,403087,PSNS,
1974,Tasmania,Persons,Population,406151,PSNS,
1975,Tasmania,Persons,Population,410088,PSNS,
1976,Tasmania,Persons,Population,412314,PSNS,
1977,Tasmania,Persons,Population,415032,PSNS,
1978,Tasmania,Persons,Population,417642,PSNS,
1979,Tasmania,Persons,Population,420756,PSNS,
1980,Tasmania,Persons,Population,423590,PSNS,
1981,Tasmania,Persons,Population,427224,PSNS,
1982,Tasmania,Persons,Population,429845,PSNS,
1983,Tasmania,Persons,Population,432805,PSNS,
1984,Tasmania,Persons,Population,437760,PSNS,
1985,Tasmania,Persons,Population,442828,PSNS,
1986,Tasmania,Persons,Population,446473,PSNS,
1987,Tasmania,Persons,Population,449226,PSNS,
1988,Tasmania,Persons,Population,451148,PSNS,
1989,Tasmania,Persons,Population,455258,PSNS,
1990,Tasmania,Persons,Population,462188,PSNS,
1991,Tasmania,Persons,Population,466802,PSNS,
1992,Tasmania,Persons,Population,469979,PSNS,
1993,Tasmania,Persons,Population,471987,PSNS,
1994,Tasmania,Persons,Population,473499,PSNS,
1995,Tasmania,Persons,Population,474515,PSNS,
1996,Tasmania,Persons,Population,475605,PSNS,
1997,Tasmania,Persons,Population,474908,PSNS,
1998,Tasmania,Persons,Population,473430,PSNS,
1999,Tasmania,Persons,Population,473030,PSNS,
2000,Tasmania,Persons,Population,473123,PSNS,
2001,Tasmania,Persons,Population,473668,PSNS,
2002,Tasmania,Persons,Population,474152,PSNS,
2003,Tasmania,Persons,Population,478534,PSNS,
2004,Tasmania,Persons,Population,483178,PSNS,
2005,Tasmania,Persons,Population,486202,PSNS,
2006,Tasmania,Persons,Population,489302,PSNS,
2007,Tasmania,Persons,Population,493262,PSNS,
2008,Tasmania,Persons,Population,498568,PSNS,
2009,Tasmania,Persons,Population,504353,PSNS,
2010,Tasmania,Persons,Population,508847,PSNS,
2011,Tasmania,Persons,Population,511483,PSNS,
2012,Tasmania,Persons,Population,511724,PSNS,
2013,Tasmania,Persons,Population,512231,PSNS,
2014,Tasmania,Persons,Population,513621,PSNS,
2015,Tasmania,Persons,Population,515117,PSNS,
2016,Tasmania,Persons,Population,517514,PSNS,
2017,Tasmania,Persons,Population,526762,PSNS,
2018,Tasmania,Persons,Population,537291,PSNS,
2019,Tasmania,Persons,Population,547841,PSNS,
2020,Tasmania,Persons,Population,557578,PSNS,
2021,Tasmania,Persons,Population,567239,PSNS,
2022,Tasmania,Persons,Population,571013,PSNS,
2023,Tasmania,Persons,Population,572780,PSNS,
2024,Tasmania,Persons,Population,575366,PSNS,
1971,New South Wales,Males,Population,2373784,PSNS,
1972,New South Wales,Males,Population,2407712,PSNS,
1973,New South Wales,Males,Population,2428527,PSNS,
1974,New South Wales,Males,Population,2452418,PSNS,
1975,New South Wales,Males,Population,2467784,PSNS,
1976,New South Wales,Males,Population,2476978,PSNS,
1977,New South Wales,Males,Population,2496098,PSNS,
1978,New South Wales,Males,Population,2519784,PSNS,
1979,New South Wales,Males,Population,2546874,PSNS,
1980,New South Wales,Males,Population,2576617,PSNS,
1981,New South Wales,Males,Population,2608351,PSNS,
1982,New South Wales,Males,Population,2643527,PSNS,
1983,New South Wales,Males,Population,2668049,PSNS,
1984,New South Wales,Males,Population,2692083,PSNS,
1985,New South Wales,Males,Population,2723253,PSNS,
1986,New South Wales,Males,Population,2756990,PSNS,
1987,New South Wales,Males,Population,2798066,PSNS,
1988,New South Wales,Males,Population,2842852,PSNS,
1989,New South Wales,Males,Population,2876807,PSNS,
1990,New South Wales,Males,Population,2905892,PSNS,
1991,New South Wales,Males,Population,2936262,PSNS,
1992,New South Wales,Males,Population,2964164,PSNS,
1993,New South Wales,Males,Population,2981014,PSNS,
1994,New South Wales,Males,Population,3004486,PSNS,
1995,New South Wales,Males,Population,3033790,PSNS,
1996,New South Wales,Males,Population,3066993,PSNS,
1997,New South Wales,Males,Population,3099735,PSNS,
1998,New South Wales,Males,Population,3128919,PSNS,
1999,New South Wales,Males,Population,3163238,PSNS,
