section,indicator,unit,year,value
All divorces,Total divorces granted,no.,2020,49510
All divorces,Total divorces granted,no.,2021,56244
All divorces,Total divorces granted,no.,2022,49241
All divorces,Total divorces granted,no.,2023,48700
All divorces,Total divorces granted,no.,2024,47216
All divorces,Crude divorce rate (aged 16 and over),rate,2020,2.4
All divorces,Crude divorce rate (aged 16 and over),rate,2021,2.7
All divorces,Crude divorce rate (aged 16 and over),rate,2022,2.4
All divorces,Crude divorce rate (aged 16 and over),rate,2023,2.3
All divorces,Crude divorce rate (aged 16 and over),rate,2024,2.1
Median duration of marriage,To separation,years,2020,8.4
Median duration of marriage,To separation,years,2021,8.4
Median duration of marriage,To separation,years,2022,8.9
Median duration of marriage,To separation,years,2023,9
Median duration of marriage,To separation,years,2024,9.3
Median duration of marriage,To divorce,years,2020,12.1
Median duration of marriage,To divorce,years,2021,12.2
Median duration of marriage,To divorce,years,2022,12.8
Median duration of marriage,To divorce,years,2023,13
Median duration of marriage,To divorce,years,2024,13.2
Type of applicant,Male,no.,2020,11230
Type of applicant,Male,no.,2021,14396
Type of applicant,Male,no.,2022,11415
Type of applicant,Male,no.,2023,11297
Type of applicant,Male,no.,2024,10682
Type of applicant,Female,no.,2020,14190
Type of applicant,Female,no.,2021,14106
Type of applicant,Female,no.,2022,12730
Type of applicant,Female,no.,2023,12114
Type of applicant,Female,no.,2024,11797
Type of applicant,Another term,no.,2020,na
Type of applicant,Another term,no.,2021,na
Type of applicant,Another term,no.,2022,na
Type of applicant,Another term,no.,2023,16
Type of applicant,Another term,no.,2024,12
Type of applicant,Joint,no.,2020,24090
Type of applicant,Joint,no.,2021,27739
Type of applicant,Joint,no.,2022,25094
Type of applicant,Joint,no.,2023,25272
Type of applicant,Joint,no.,2024,24721
State or territory,New South Wales,no.,2020,14023
State or territory,New South Wales,no.,2021,17126
State or territory,New South Wales,no.,2022,14661
State or territory,New South Wales,no.,2023,14789
State or territory,New South Wales,no.,2024,14036
State or territory,Victoria,no.,2020,11806
State or territory,Victoria,no.,2021,12766
State or territory,Victoria,no.,2022,11783
State or territory,Victoria,no.,2023,11452
State or territory,Victoria,no.,2024,11529
State or territory,Queensland,no.,2020,11824
State or territory,Queensland,no.,2021,13475
State or territory,Queensland,no.,2022,11410
State or territory,Queensland,no.,2023,11140
State or territory,Queensland,no.,2024,10508
State or territory,South Australia,no.,2020,3298
State or territory,South Australia,no.,2021,3863
State or territory,South Australia,no.,2022,3046
State or territory,South Australia,no.,2023,3133
State or territory,South Australia,no.,2024,3147
State or territory,Western Australia,no.,2020,5712
State or territory,Western Australia,no.,2021,5989
State or territory,Western Australia,no.,2022,5718
State or territory,Western Australia,no.,2023,5718
State or territory,Western Australia,no.,2024,5560
State or territory,Tasmania,no.,2020,1018
State or territory,Tasmania,no.,2021,1142
State or territory,Tasmania,no.,2022,977
State or territory,Tasmania,no.,2023,965
State or territory,Tasmania,no.,2024,918
State or territory,Northern Territory,no.,2020,351
State or territory,Northern Territory,no.,2021,461
State or territory,Northern Territory,no.,2022,318
State or territory,Northern Territory,no.,2023,325
State or territory,Northern Territory,no.,2024,298
State or territory,Australian Capital Territory,no.,2020,1478
State or territory,Australian Capital Territory,no.,2021,1422
State or territory,Australian Capital Territory,no.,2022,1328
State or territory,Australian Capital Territory,no.,2023,1178
State or territory,Australian Capital Territory,no.,2024,1220
Divorces including couples of the same gender,Male divorces of the same gender,no.,2020,na
Divorces including couples of the same gender,Male divorces of the same gender,no.,2021,167
Divorces including couples of the same gender,Male divorces of the same gender,no.,2022,178
Divorces including couples of the same gender,Male divorces of the same gender,no.,2023,228
Divorces including couples of the same gender,Male divorces of the same gender,no.,2024,231
Divorces including couples of the same gender,Female divorces of the same gender,no.,2020,na
Divorces including couples of the same gender,Female divorces of the same gender,no.,2021,306
Divorces including couples of the same gender,Female divorces of the same gender,no.,2022,380
Divorces including couples of the same gender,Female divorces of the same gender,no.,2023,394
Divorces including couples of the same gender,Female divorces of the same gender,no.,2024,475
Divorces including couples of the same gender,Divorce including a person identifying by another term,no.,2020,na
Divorces including couples of the same gender,Divorce including a person identifying by another term,no.,2021,na
Divorces including couples of the same gender,Divorce including a person identifying by another term,no.,2022,na
Divorces including couples of the same gender,Divorce including a person identifying by another term,no.,2023,74
Divorces including couples of the same gender,Divorce including a person identifying by another term,no.,2024,54
Divorces including couples of the same gender,Total divorces including the same gender or another gender term,no.,2020,na
Divorces including couples of the same gender,Total divorces including the same gender or another gender term,no.,2021,na
Divorces including couples of the same gender,Total divorces including the same gender or another gender term,no.,2022,na
Divorces including couples of the same gender,Total divorces including the same gender or another gender term,no.,2023,696
Divorces including couples of the same gender,Total divorces including the same gender or another gender term,no.,2024,760
Divorces including couples of the same gender,As a proportion of all divorces,%,2020,na
Divorces including couples of the same gender,As a proportion of all divorces,%,2021,na
Divorces including couples of the same gender,As a proportion of all divorces,%,2022,na
Divorces including couples of the same gender,As a proportion of all divorces,%,2023,1.4
Divorces including couples of the same gender,As a proportion of all divorces,%,2024,1.6
Divorces involving children (under 18 years),Number of divorces involving children,no.,2020,24071
Divorces involving children (under 18 years),Number of divorces involving children,no.,2021,26879
Divorces involving children (under 18 years),Number of divorces involving children,no.,2022,23569
Divorces involving children (under 18 years),Number of divorces involving children,no.,2023,22814
Divorces involving children (under 18 years),Number of divorces involving children,no.,2024,22176
Divorces involving children (under 18 years),Proportion of all divorces,%,2020,48.6
Divorces involving children (under 18 years),Proportion of all divorces,%,2021,47.8
Divorces involving children (under 18 years),Proportion of all divorces,%,2022,47.9
Divorces involving children (under 18 years),Proportion of all divorces,%,2023,46.8
Divorces involving children (under 18 years),Proportion of all divorces,%,2024,47
Divorces involving children (under 18 years),Total number of children,no.,2020,44155
Divorces involving children (under 18 years),Total number of children,no.,2021,48432
Divorces involving children (under 18 years),Total number of children,no.,2022,43397
Divorces involving children (under 18 years),Total number of children,no.,2023,41652
Divorces involving children (under 18 years),Total number of children,no.,2024,40408
Male divorces granted by age,16–24,no.,2020,261
Male divorces granted by age,16–24,no.,2021,295
Male divorces granted by age,16–24,no.,2022,264
Male divorces granted by age,16–24,no.,2023,187
Male divorces granted by age,16–24,no.,2024,149
Male divorces granted by age,25–29,no.,2020,2613
Male divorces granted by age,25–29,no.,2021,2839
Male divorces granted by age,25–29,no.,2022,2234
Male divorces granted by age,25–29,no.,2023,2097
Male divorces granted by age,25–29,no.,2024,1994
Male divorces granted by age,30–34,no.,2020,5985
Male divorces granted by age,30–34,no.,2021,6556
Male divorces granted by age,30–34,no.,2022,5198
Male divorces granted by age,30–34,no.,2023,5014
Male divorces granted by age,30–34,no.,2024,4665
Male divorces granted by age,35–39,no.,2020,7437
Male divorces granted by age,35–39,no.,2021,8451
Male divorces granted by age,35–39,no.,2022,6963
Male divorces granted by age,35–39,no.,2023,6745
Male divorces granted by age,35–39,no.,2024,6528
Male divorces granted by age,40–44,no.,2020,7388
Male divorces granted by age,40–44,no.,2021,8363
Male divorces granted by age,40–44,no.,2022,7266
Male divorces granted by age,40–44,no.,2023,7120
Male divorces granted by age,40–44,no.,2024,7201
Male divorces granted by age,45–49,no.,2020,7777
Male divorces granted by age,45–49,no.,2021,8439
Male divorces granted by age,45–49,no.,2022,7482
Male divorces granted by age,45–49,no.,2023,7125
Male divorces granted by age,45–49,no.,2024,6804
Male divorces granted by age,50–54,no.,2020,6435
Male divorces granted by age,50–54,no.,2021,7719
Male divorces granted by age,50–54,no.,2022,7050
Male divorces granted by age,50–54,no.,2023,7061
Male divorces granted by age,50–54,no.,2024,6752
Male divorces granted by age,55–59,no.,2020,4850
Male divorces granted by age,55–59,no.,2021,5652
Male divorces granted by age,55–59,no.,2022,5118
Male divorces granted by age,55–59,no.,2023,5104
Male divorces granted by age,55–59,no.,2024,4867
Male divorces granted by age,60–64,no.,2020,3061
Male divorces granted by age,60–64,no.,2021,3561
Male divorces granted by age,60–64,no.,2022,3395
Male divorces granted by age,60–64,no.,2023,3563
Male divorces granted by age,60–64,no.,2024,3603
Male divorces granted by age,65 and over,no.,2020,3492
Male divorces granted by age,65 and over,no.,2021,4052
Male divorces granted by age,65 and over,no.,2022,3890
Male divorces granted by age,65 and over,no.,2023,4278
Male divorces granted by age,65 and over,no.,2024,4216
Male divorces granted by age,Total,no.,2020,49510
Male divorces granted by age,Total,no.,2021,56095
Male divorces granted by age,Total,no.,2022,49029
Male divorces granted by age,Total,no.,2023,48489
Male divorces granted by age,Total,no.,2024,46922
Male age-specific divorce rates,16–24,rate,2020,0.2
Male age-specific divorce rates,16–24,rate,2021,0.2
Male age-specific divorce rates,16–24,rate,2022,0.2
Male age-specific divorce rates,16–24,rate,2023,0.1
Male age-specific divorce rates,16–24,rate,2024,0.1
Male age-specific divorce rates,25–29,rate,2020,2.8
Male age-specific divorce rates,25–29,rate,2021,3.1
Male age-specific divorce rates,25–29,rate,2022,2.4
Male age-specific divorce rates,25–29,rate,2023,2.2
Male age-specific divorce rates,25–29,rate,2024,2
Male age-specific divorce rates,30–34,rate,2020,6.3
Male age-specific divorce rates,30–34,rate,2021,7
Male age-specific divorce rates,30–34,rate,2022,5.5
Male age-specific divorce rates,30–34,rate,2023,5.1
Male age-specific divorce rates,30–34,rate,2024,4.6
Male age-specific divorce rates,35–39,rate,2020,8.1
Male age-specific divorce rates,35–39,rate,2021,9.1
Male age-specific divorce rates,35–39,rate,2022,7.4
Male age-specific divorce rates,35–39,rate,2023,7
Male age-specific divorce rates,35–39,rate,2024,6.6
Male age-specific divorce rates,40–44,rate,2020,9.2
Male age-specific divorce rates,40–44,rate,2021,10.3
Male age-specific divorce rates,40–44,rate,2022,8.6
Male age-specific divorce rates,40–44,rate,2023,8.1
Male age-specific divorce rates,40–44,rate,2024,7.8
Male age-specific divorce rates,45–49,rate,2020,9.4
Male age-specific divorce rates,45–49,rate,2021,10.3
Male age-specific divorce rates,45–49,rate,2022,9.3
Male age-specific divorce rates,45–49,rate,2023,8.9
Male age-specific divorce rates,45–49,rate,2024,8.5
Male age-specific divorce rates,50–54,rate,2020,8.3
Male age-specific divorce rates,50–54,rate,2021,9.7
Male age-specific divorce rates,50–54,rate,2022,8.7
Male age-specific divorce rates,50–54,rate,2023,8.5
Male age-specific divorce rates,50–54,rate,2024,8.1
Male age-specific divorce rates,55–59,rate,2020,6.3
Male age-specific divorce rates,55–59,rate,2021,7.4
Male age-specific divorce rates,55–59,rate,2022,6.8
Male age-specific divorce rates,55–59,rate,2023,6.8
Male age-specific divorce rates,55–59,rate,2024,6.5
Male age-specific divorce rates,60–64,rate,2020,4.4
Male age-specific divorce rates,60–64,rate,2021,5
Male age-specific divorce rates,60–64,rate,2022,4.7
Male age-specific divorce rates,60–64,rate,2023,4.8
Male age-specific divorce rates,60–64,rate,2024,4.8
Male age-specific divorce rates,65 and over,rate,2020,1.8
Male age-specific divorce rates,65 and over,rate,2021,2
Male age-specific divorce rates,65 and over,rate,2022,1.9
Male age-specific divorce rates,65 and over,rate,2023,2
Male age-specific divorce rates,65 and over,rate,2024,1.9
Male age-specific divorce rates,At marriage,years,2020,29.4
Male age-specific divorce rates,At marriage,years,2021,29.6
Male age-specific divorce rates,At marriage,years,2022,29.8
Male age-specific divorce rates,At marriage,years,2023,29.9
Male age-specific divorce rates,At marriage,years,2024,30
Male age-specific divorce rates,At separation,years,2020,41.7
Male age-specific divorce rates,At separation,years,2021,41.9
Male age-specific divorce rates,At separation,years,2022,42.6
Male age-specific divorce rates,At separation,years,2023,43
Male age-specific divorce rates,At separation,years,2024,43
Male age-specific divorce rates,At divorce,years,2020,45.6
Male age-specific divorce rates,At divorce,years,2021,45.9
Male age-specific divorce rates,At divorce,years,2022,46.7
Male age-specific divorce rates,At divorce,years,2023,47.1
Male age-specific divorce rates,At divorce,years,2024,47.1
Female divorces granted by age,16–24,no.,2020,722
Female divorces granted by age,16–24,no.,2021,843
Female divorces granted by age,16–24,no.,2022,655
Female divorces granted by age,16–24,no.,2023,577
Female divorces granted by age,16–24,no.,2024,511
Female divorces granted by age,25–29,no.,2020,4033
Female divorces granted by age,25–29,no.,2021,4491
Female divorces granted by age,25–29,no.,2022,3536
Female divorces granted by age,25–29,no.,2023,3373
Female divorces granted by age,25–29,no.,2024,3057
Female divorces granted by age,30–34,no.,2020,7357
Female divorces granted by age,30–34,no.,2021,8121
Female divorces granted by age,30–34,no.,2022,6667
Female divorces granted by age,30–34,no.,2023,6241
Female divorces granted by age,30–34,no.,2024,6108
Female divorces granted by age,35–39,no.,2020,8074
Female divorces granted by age,35–39,no.,2021,9274
Female divorces granted by age,35–39,no.,2022,7929
Female divorces granted by age,35–39,no.,2023,7714
Female divorces granted by age,35–39,no.,2024,7647
Female divorces granted by age,40–44,no.,2020,7648
Female divorces granted by age,40–44,no.,2021,8735
Female divorces granted by age,40–44,no.,2022,7819
Female divorces granted by age,40–44,no.,2023,7745
Female divorces granted by age,40–44,no.,2024,7611
Female divorces granted by age,45–49,no.,2020,7589
Female divorces granted by age,45–49,no.,2021,8422
Female divorces granted by age,45–49,no.,2022,7431
Female divorces granted by age,45–49,no.,2023,7235
Female divorces granted by age,45–49,no.,2024,6842
Female divorces granted by age,50–54,no.,2020,5890
Female divorces granted by age,50–54,no.,2021,6936
Female divorces granted by age,50–54,no.,2022,6457
Female divorces granted by age,50–54,no.,2023,6610
Female divorces granted by age,50–54,no.,2024,6375
Female divorces granted by age,55–59,no.,2020,3788
Female divorces granted by age,55–59,no.,2021,4439
Female divorces granted by age,55–59,no.,2022,4123
Female divorces granted by age,55–59,no.,2023,4189
Female divorces granted by age,55–59,no.,2024,3990
Female divorces granted by age,60–64,no.,2020,2222
