section,indicator,unit,year,value
All marriages,Total marriages registered,no.,2020,78987
All marriages,Total marriages registered,no.,2021,89167
All marriages,Total marriages registered,no.,2022,127161
All marriages,Total marriages registered,no.,2023,118439
All marriages,Total marriages registered,no.,2024,120844
All marriages,Crude marriage rate (aged 16 and over),rate,2020,3.8
All marriages,Crude marriage rate (aged 16 and over),rate,2021,4.3
All marriages,Crude marriage rate (aged 16 and over),rate,2022,6.1
All marriages,Crude marriage rate (aged 16 and over),rate,2023,5.5
All marriages,Crude marriage rate (aged 16 and over),rate,2024,5.5
State or territory of registration,New South Wales,no.,2020,27609
State or territory of registration,New South Wales,no.,2021,27314
State or territory of registration,New South Wales,no.,2022,44953
State or territory of registration,New South Wales,no.,2023,39018
State or territory of registration,New South Wales,no.,2024,39659
State or territory of registration,Victoria,no.,2020,16628
State or territory of registration,Victoria,no.,2021,18740
State or territory of registration,Victoria,no.,2022,33231
State or territory of registration,Victoria,no.,2023,29816
State or territory of registration,Victoria,no.,2024,32050
State or territory of registration,Queensland,no.,2020,15917
State or territory of registration,Queensland,no.,2021,21627
State or territory of registration,Queensland,no.,2022,25014
State or territory of registration,Queensland,no.,2023,23826
State or territory of registration,Queensland,no.,2024,23595
State or territory of registration,South Australia,no.,2020,5429
State or territory of registration,South Australia,no.,2021,6778
State or territory of registration,South Australia,no.,2022,7268
State or territory of registration,South Australia,no.,2023,7782
State or territory of registration,South Australia,no.,2024,7500
State or territory of registration,Western Australia,no.,2020,9561
State or territory of registration,Western Australia,no.,2021,10305
State or territory of registration,Western Australia,no.,2022,11237
State or territory of registration,Western Australia,no.,2023,13120
State or territory of registration,Western Australia,no.,2024,13366
State or territory of registration,Tasmania,no.,2020,2016
State or territory of registration,Tasmania,no.,2021,2328
State or territory of registration,Tasmania,no.,2022,2821
State or territory of registration,Tasmania,no.,2023,2506
State or territory of registration,Tasmania,no.,2024,2364
State or territory of registration,Northern Territory,no.,2020,549
State or territory of registration,Northern Territory,no.,2021,796
State or territory of registration,Northern Territory,no.,2022,819
State or territory of registration,Northern Territory,no.,2023,794
State or territory of registration,Northern Territory,no.,2024,738
State or territory of registration,Australian Capital Territory,no.,2020,1278
State or territory of registration,Australian Capital Territory,no.,2021,1279
State or territory of registration,Australian Capital Territory,no.,2022,1818
State or territory of registration,Australian Capital Territory,no.,2023,1562
State or territory of registration,Australian Capital Territory,no.,2024,1554
Marriages including same and non-binary gender,Male marriages of the same gender,no.,2020,1116
Marriages including same and non-binary gender,Male marriages of the same gender,no.,2021,1075
Marriages including same and non-binary gender,Male marriages of the same gender,no.,2022,1767
Marriages including same and non-binary gender,Male marriages of the same gender,no.,2023,1735
Marriages including same and non-binary gender,Male marriages of the same gender,no.,2024,1893
Marriages including same and non-binary gender,Female marriages of the same gender,no.,2020,1785
Marriages including same and non-binary gender,Female marriages of the same gender,no.,2021,1770
Marriages including same and non-binary gender,Female marriages of the same gender,no.,2022,2667
Marriages including same and non-binary gender,Female marriages of the same gender,no.,2023,2619
Marriages including same and non-binary gender,Female marriages of the same gender,no.,2024,2622
