DATAFLOW,MEASURE,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,OBS_COMMENT
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1975,81172,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1976,78749,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1977,78302,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1978,78052,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1979,77469,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1980,79801,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1981,81971,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1982,83908,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1983,83307,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1984,77994,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1985,87786,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1986,84531,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1987,86093,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1988,84647,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1989,85790,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1990,90534,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1991,87367,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1992,92585,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1993,89354,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1994,87977,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1995,87849,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1996,86595,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1997,87156,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1998,85499,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,1999,86784,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2000,86752,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2001,84578,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2002,86583,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2003,86344,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2004,85894,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2005,91224,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2006,92188,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2007,96351,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2008,100276,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2009,98231,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2010,101266,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2011,99054,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2012,98508,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2013,100462,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2014,91074,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2015,100079,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2016,96083,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2017,96591,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2018,107343,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2019,98906,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2020,95459,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2021,101332,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2022,97884,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2023,91947,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),1,1,A,2024,89030,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),3,4,A,1975,15.7,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),3,4,A,1976,14.8,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),3,4,A,1977,14.9,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),3,4,A,1978,14.3,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),3,4,A,1979,14.2,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),3,4,A,1980,14.1,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),3,4,A,1981,14.6,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),3,4,A,1982,14.4,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),3,4,A,1983,14.7,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),3,4,A,1984,14.7,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),3,4,A,1985,14.4,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),3,4,A,1986,14.3,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),3,4,A,1987,13.8,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),3,4,A,1988,13.6,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),3,4,A,1989,13.8,NUM,,
ABS:BIRTHS_SUMMARY(1.0.0),3,4,A,1990,13.9,NUM,,
