table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
07,Total number of dwelling units approved - states and territories,1983-07,state,South Australia,,Original,Number,A422466C,816
07,Total number of dwelling units approved - states and territories,1983-07,state,South Australia,,Seasonally Adjusted,Number,A422472X,909
07,Total number of dwelling units approved - states and territories,1983-07,state,South Australia,,Trend,Number,A422474C,967
07,Total number of dwelling units approved - states and territories,1983-08,state,South Australia,,Original,Number,A422466C,1030
07,Total number of dwelling units approved - states and territories,1983-08,state,South Australia,,Seasonally Adjusted,Number,A422472X,1007
07,Total number of dwelling units approved - states and territories,1983-08,state,South Australia,,Trend,Number,A422474C,981
07,Total number of dwelling units approved - states and territories,1983-09,state,South Australia,,Original,Number,A422466C,1001
07,Total number of dwelling units approved - states and territories,1983-09,state,South Australia,,Seasonally Adjusted,Number,A422472X,973
07,Total number of dwelling units approved - states and territories,1983-09,state,South Australia,,Trend,Number,A422474C,997
07,Total number of dwelling units approved - states and territories,1983-10,state,South Australia,,Original,Number,A422466C,1117
07,Total number of dwelling units approved - states and territories,1983-10,state,South Australia,,Seasonally Adjusted,Number,A422472X,1115
07,Total number of dwelling units approved - states and territories,1983-10,state,South Australia,,Trend,Number,A422474C,1013
07,Total number of dwelling units approved - states and territories,1983-11,state,South Australia,,Original,Number,A422466C,1062
07,Total number of dwelling units approved - states and territories,1983-11,state,South Australia,,Seasonally Adjusted,Number,A422472X,1008
07,Total number of dwelling units approved - states and territories,1983-11,state,South Australia,,Trend,Number,A422474C,1033
07,Total number of dwelling units approved - states and territories,1983-12,state,South Australia,,Original,Number,A422466C,1062
07,Total number of dwelling units approved - states and territories,1983-12,state,South Australia,,Seasonally Adjusted,Number,A422472X,1021
07,Total number of dwelling units approved - states and territories,1983-12,state,South Australia,,Trend,Number,A422474C,1079
07,Total number of dwelling units approved - states and territories,1984-01,state,South Australia,,Original,Number,A422466C,910
07,Total number of dwelling units approved - states and territories,1984-01,state,South Australia,,Seasonally Adjusted,Number,A422472X,1031
07,Total number of dwelling units approved - states and territories,1984-01,state,South Australia,,Trend,Number,A422474C,1151
07,Total number of dwelling units approved - states and territories,1984-02,state,South Australia,,Original,Number,A422466C,1077
