table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
07,Total number of dwelling units approved - states and territories,1983-07,state,New South Wales,,Original,Number,A422166A,2889
07,Total number of dwelling units approved - states and territories,1983-07,state,Victoria,,Original,Number,A422266K,2836
07,Total number of dwelling units approved - states and territories,1983-07,state,Queensland,,Original,Number,A422366V,2285
07,Total number of dwelling units approved - states and territories,1983-07,state,South Australia,,Original,Number,A422466C,816
07,Total number of dwelling units approved - states and territories,1983-07,state,Western Australia,,Original,Number,A422566L,911
07,Total number of dwelling units approved - states and territories,1983-07,state,Tasmania,,Original,Number,A422666W,231
07,Total number of dwelling units approved - states and territories,1983-07,state,Northern Territory,,Original,Number,A422766F,300
07,Total number of dwelling units approved - states and territories,1983-07,state,Australian Capital Territory,,Original,Number,A422863J,210
07,Total number of dwelling units approved - states and territories,1983-07,state,New South Wales,,Seasonally Adjusted,Number,A422172W,2988
07,Total number of dwelling units approved - states and territories,1983-07,state,Victoria,,Seasonally Adjusted,Number,A422272F,2948
07,Total number of dwelling units approved - states and territories,1983-07,state,Queensland,,Seasonally Adjusted,Number,A422372R,2233
07,Total number of dwelling units approved - states and territories,1983-07,state,South Australia,,Seasonally Adjusted,Number,A422472X,909
07,Total number of dwelling units approved - states and territories,1983-07,state,Western Australia,,Seasonally Adjusted,Number,A422572J,900
07,Total number of dwelling units approved - states and territories,1983-07,state,Tasmania,,Seasonally Adjusted,Number,A422672T,241
07,Total number of dwelling units approved - states and territories,1983-07,state,New South Wales,,Trend,Number,A422174A,3122
07,Total number of dwelling units approved - states and territories,1983-07,state,Victoria,,Trend,Number,A422274K,2953
07,Total number of dwelling units approved - states and territories,1983-07,state,Queensland,,Trend,Number,A422374V,2517
07,Total number of dwelling units approved - states and territories,1983-07,state,South Australia,,Trend,Number,A422474C,967
07,Total number of dwelling units approved - states and territories,1983-07,state,Western Australia,,Trend,Number,A422574L,1197
07,Total number of dwelling units approved - states and territories,1983-07,state,Tasmania,,Trend,Number,A422675X,274
07,Total number of dwelling units approved - states and territories,1983-07,state,Northern Territory,,Trend,Number,A422775J,259
07,Total number of dwelling units approved - states and territories,1983-07,state,Australian Capital Territory,,Trend,Number,A422872K,159
07,Total number of dwelling units approved - states and territories,1983-08,state,New South Wales,,Original,Number,A422166A,3506
07,Total number of dwelling units approved - states and territories,1983-08,state,Victoria,,Original,Number,A422266K,3284
07,Total number of dwelling units approved - states and territories,1983-08,state,Queensland,,Original,Number,A422366V,2613
07,Total number of dwelling units approved - states and territories,1983-08,state,South Australia,,Original,Number,A422466C,1030
07,Total number of dwelling units approved - states and territories,1983-08,state,Western Australia,,Original,Number,A422566L,1396
07,Total number of dwelling units approved - states and territories,1983-08,state,Tasmania,,Original,Number,A422666W,280
07,Total number of dwelling units approved - states and territories,1983-08,state,Northern Territory,,Original,Number,A422766F,293
07,Total number of dwelling units approved - states and territories,1983-08,state,Australian Capital Territory,,Original,Number,A422863J,143
07,Total number of dwelling units approved - states and territories,1983-08,state,New South Wales,,Seasonally Adjusted,Number,A422172W,3328
07,Total number of dwelling units approved - states and territories,1983-08,state,Victoria,,Seasonally Adjusted,Number,A422272F,2929
07,Total number of dwelling units approved - states and territories,1983-08,state,Queensland,,Seasonally Adjusted,Number,A422372R,2592
07,Total number of dwelling units approved - states and territories,1983-08,state,South Australia,,Seasonally Adjusted,Number,A422472X,1007
07,Total number of dwelling units approved - states and territories,1983-08,state,Western Australia,,Seasonally Adjusted,Number,A422572J,1279
07,Total number of dwelling units approved - states and territories,1983-08,state,Tasmania,,Seasonally Adjusted,Number,A422672T,282
07,Total number of dwelling units approved - states and territories,1983-08,state,New South Wales,,Trend,Number,A422174A,3233
07,Total number of dwelling units approved - states and territories,1983-08,state,Victoria,,Trend,Number,A422274K,2939
07,Total number of dwelling units approved - states and territories,1983-08,state,Queensland,,Trend,Number,A422374V,2552
07,Total number of dwelling units approved - states and territories,1983-08,state,South Australia,,Trend,Number,A422474C,981
07,Total number of dwelling units approved - states and territories,1983-08,state,Western Australia,,Trend,Number,A422574L,1279
07,Total number of dwelling units approved - states and territories,1983-08,state,Tasmania,,Trend,Number,A422675X,276
07,Total number of dwelling units approved - states and territories,1983-08,state,Northern Territory,,Trend,Number,A422775J,233
07,Total number of dwelling units approved - states and territories,1983-08,state,Australian Capital Territory,,Trend,Number,A422872K,152
07,Total number of dwelling units approved - states and territories,1983-09,state,New South Wales,,Original,Number,A422166A,3441
07,Total number of dwelling units approved - states and territories,1983-09,state,Victoria,,Original,Number,A422266K,2971
07,Total number of dwelling units approved - states and territories,1983-09,state,Queensland,,Original,Number,A422366V,2966
07,Total number of dwelling units approved - states and territories,1983-09,state,South Australia,,Original,Number,A422466C,1001
07,Total number of dwelling units approved - states and territories,1983-09,state,Western Australia,,Original,Number,A422566L,1630
07,Total number of dwelling units approved - states and territories,1983-09,state,Tasmania,,Original,Number,A422666W,297
07,Total number of dwelling units approved - states and territories,1983-09,state,Northern Territory,,Original,Number,A422766F,155
07,Total number of dwelling units approved - states and territories,1983-09,state,Australian Capital Territory,,Original,Number,A422863J,142
07,Total number of dwelling units approved - states and territories,1983-09,state,New South Wales,,Seasonally Adjusted,Number,A422172W,3364
07,Total number of dwelling units approved - states and territories,1983-09,state,Victoria,,Seasonally Adjusted,Number,A422272F,2887
07,Total number of dwelling units approved - states and territories,1983-09,state,Queensland,,Seasonally Adjusted,Number,A422372R,2757
07,Total number of dwelling units approved - states and territories,1983-09,state,South Australia,,Seasonally Adjusted,Number,A422472X,973
07,Total number of dwelling units approved - states and territories,1983-09,state,Western Australia,,Seasonally Adjusted,Number,A422572J,1559
07,Total number of dwelling units approved - states and territories,1983-09,state,Tasmania,,Seasonally Adjusted,Number,A422672T,298
07,Total number of dwelling units approved - states and territories,1983-09,state,New South Wales,,Trend,Number,A422174A,3360
07,Total number of dwelling units approved - states and territories,1983-09,state,Victoria,,Trend,Number,A422274K,2931
07,Total number of dwelling units approved - states and territories,1983-09,state,Queensland,,Trend,Number,A422374V,2609
07,Total number of dwelling units approved - states and territories,1983-09,state,South Australia,,Trend,Number,A422474C,997
07,Total number of dwelling units approved - states and territories,1983-09,state,Western Australia,,Trend,Number,A422574L,1352
07,Total number of dwelling units approved - states and territories,1983-09,state,Tasmania,,Trend,Number,A422675X,283
07,Total number of dwelling units approved - states and territories,1983-09,state,Northern Territory,,Trend,Number,A422775J,212
