table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
39,Value of total building approved - states and territories,1973-07,state,New South Wales,,Original,$'000,A422168F,136950
39,Value of total building approved - states and territories,1973-07,state,Victoria,,Original,$'000,A422268R,115760
39,Value of total building approved - states and territories,1973-07,state,Queensland,,Original,$'000,A422368X,66601
39,Value of total building approved - states and territories,1973-07,state,South Australia,,Original,$'000,A422468J,38528
39,Value of total building approved - states and territories,1973-07,state,Western Australia,,Original,$'000,A422568T,42337
39,Value of total building approved - states and territories,1973-07,state,Tasmania,,Original,$'000,A422668A,8612
39,Value of total building approved - states and territories,1973-07,state,Northern Territory,,Original,$'000,A422768K,6334
39,Value of total building approved - states and territories,1973-07,state,Australian Capital Territory,,Original,$'000,A422865L,13447
39,Value of total building approved - states and territories,1973-07,state,New South Wales,,Seasonally Adjusted,$'000,A422173X,133322
39,Value of total building approved - states and territories,1973-07,state,Victoria,,Seasonally Adjusted,$'000,A422273J,105770
39,Value of total building approved - states and territories,1973-07,state,Queensland,,Seasonally Adjusted,$'000,A422373T,62458
39,Value of total building approved - states and territories,1973-07,state,South Australia,,Seasonally Adjusted,$'000,A422473A,37932
39,Value of total building approved - states and territories,1973-07,state,Western Australia,,Seasonally Adjusted,$'000,A422573K,41201
39,Value of total building approved - states and territories,1973-07,state,New South Wales,,Trend,$'000,A422175C,122365
39,Value of total building approved - states and territories,1973-07,state,Victoria,,Trend,$'000,A422275L,108842
39,Value of total building approved - states and territories,1973-07,state,Queensland,,Trend,$'000,A422375W,64739
39,Value of total building approved - states and territories,1973-07,state,South Australia,,Trend,$'000,A422475F,34622
39,Value of total building approved - states and territories,1973-07,state,Western Australia,,Trend,$'000,A422575R,36220
39,Value of total building approved - states and territories,1973-08,state,New South Wales,,Original,$'000,A422168F,121188
39,Value of total building approved - states and territories,1973-08,state,Victoria,,Original,$'000,A422268R,120233
39,Value of total building approved - states and territories,1973-08,state,Queensland,,Original,$'000,A422368X,68152
39,Value of total building approved - states and territories,1973-08,state,South Australia,,Original,$'000,A422468J,35832
39,Value of total building approved - states and territories,1973-08,state,Western Australia,,Original,$'000,A422568T,38050
39,Value of total building approved - states and territories,1973-08,state,Tasmania,,Original,$'000,A422668A,14769
39,Value of total building approved - states and territories,1973-08,state,Northern Territory,,Original,$'000,A422768K,4057
39,Value of total building approved - states and territories,1973-08,state,Australian Capital Territory,,Original,$'000,A422865L,13533
39,Value of total building approved - states and territories,1973-08,state,New South Wales,,Seasonally Adjusted,$'000,A422173X,118849
39,Value of total building approved - states and territories,1973-08,state,Victoria,,Seasonally Adjusted,$'000,A422273J,116387
39,Value of total building approved - states and territories,1973-08,state,Queensland,,Seasonally Adjusted,$'000,A422373T,66075
39,Value of total building approved - states and territories,1973-08,state,South Australia,,Seasonally Adjusted,$'000,A422473A,32414
39,Value of total building approved - states and territories,1973-08,state,Western Australia,,Seasonally Adjusted,$'000,A422573K,35339
39,Value of total building approved - states and territories,1973-08,state,New South Wales,,Trend,$'000,A422175C,125151
