table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
40,Value of residential building approved - states and territories,1973-07,state,New South Wales,Total Residential,Original,$'000,A419939J,82523
40,Value of residential building approved - states and territories,1973-07,state,Victoria,Total Residential,Original,$'000,A420023F,67668
40,Value of residential building approved - states and territories,1973-07,state,Queensland,Total Residential,Original,$'000,A420107R,43793
40,Value of residential building approved - states and territories,1973-07,state,South Australia,Total Residential,Original,$'000,A420194X,20465
40,Value of residential building approved - states and territories,1973-07,state,Western Australia,Total Residential,Original,$'000,A420278J,24493
40,Value of residential building approved - states and territories,1973-07,state,Tasmania,Total Residential,Original,$'000,A420356C,6101
40,Value of residential building approved - states and territories,1973-07,state,Northern Territory,Total Residential,Original,$'000,A420442X,3236
40,Value of residential building approved - states and territories,1973-07,state,Australian Capital Territory,Total Residential,Original,$'000,A420515A,9747
40,Value of residential building approved - states and territories,1973-07,state,Australia,Total Residential,Original,$'000,A419850L,258026
40,Value of residential building approved - states and territories,1973-07,state,New South Wales,Total Residential,Seasonally Adjusted,$'000,A419942W,78895
40,Value of residential building approved - states and territories,1973-07,state,Victoria,Total Residential,Seasonally Adjusted,$'000,A420026L,60106
40,Value of residential building approved - states and territories,1973-07,state,Queensland,Total Residential,Seasonally Adjusted,$'000,A420110C,39650
40,Value of residential building approved - states and territories,1973-07,state,South Australia,Total Residential,Seasonally Adjusted,$'000,A420197F,19531
40,Value of residential building approved - states and territories,1973-07,state,Western Australia,Total Residential,Seasonally Adjusted,$'000,A420281W,23183
40,Value of residential building approved - states and territories,1973-07,state,Australia,Total Residential,Seasonally Adjusted,$'000,A419853V,239460
40,Value of residential building approved - states and territories,1973-07,state,New South Wales,Total Residential,Trend,$'000,A419945C,80576
40,Value of residential building approved - states and territories,1973-07,state,Victoria,Total Residential,Trend,$'000,A420029V,60120
40,Value of residential building approved - states and territories,1973-07,state,Queensland,Total Residential,Trend,$'000,A420113K,41477
40,Value of residential building approved - states and territories,1973-07,state,South Australia,Total Residential,Trend,$'000,A420200J,18507
40,Value of residential building approved - states and territories,1973-07,state,Western Australia,Total Residential,Trend,$'000,A420284C,22616
40,Value of residential building approved - states and territories,1973-07,state,Australia,Total Residential,Trend,$'000,A419856A,239306
40,Value of residential building approved - states and territories,1973-08,state,New South Wales,Total Residential,Original,$'000,A419939J,85645
40,Value of residential building approved - states and territories,1973-08,state,Victoria,Total Residential,Original,$'000,A420023F,69633
40,Value of residential building approved - states and territories,1973-08,state,Queensland,Total Residential,Original,$'000,A420107R,44118
40,Value of residential building approved - states and territories,1973-08,state,South Australia,Total Residential,Original,$'000,A420194X,21585
40,Value of residential building approved - states and territories,1973-08,state,Western Australia,Total Residential,Original,$'000,A420278J,25426
40,Value of residential building approved - states and territories,1973-08,state,Tasmania,Total Residential,Original,$'000,A420356C,6396
40,Value of residential building approved - states and territories,1973-08,state,Northern Territory,Total Residential,Original,$'000,A420442X,2399
40,Value of residential building approved - states and territories,1973-08,state,Australian Capital Territory,Total Residential,Original,$'000,A420515A,8854
40,Value of residential building approved - states and territories,1973-08,state,Australia,Total Residential,Original,$'000,A419850L,264056
40,Value of residential building approved - states and territories,1973-08,state,New South Wales,Total Residential,Seasonally Adjusted,$'000,A419942W,83306
40,Value of residential building approved - states and territories,1973-08,state,Victoria,Total Residential,Seasonally Adjusted,$'000,A420026L,66615
40,Value of residential building approved - states and territories,1973-08,state,Queensland,Total Residential,Seasonally Adjusted,$'000,A420110C,42041
40,Value of residential building approved - states and territories,1973-08,state,South Australia,Total Residential,Seasonally Adjusted,$'000,A420197F,19321
40,Value of residential building approved - states and territories,1973-08,state,Western Australia,Total Residential,Seasonally Adjusted,$'000,A420281W,23644
40,Value of residential building approved - states and territories,1973-08,state,Australia,Total Residential,Seasonally Adjusted,$'000,A419853V,252280
40,Value of residential building approved - states and territories,1973-08,state,New South Wales,Total Residential,Trend,$'000,A419945C,81910
40,Value of residential building approved - states and territories,1973-08,state,Victoria,Total Residential,Trend,$'000,A420029V,60729
40,Value of residential building approved - states and territories,1973-08,state,Queensland,Total Residential,Trend,$'000,A420113K,42665
40,Value of residential building approved - states and territories,1973-08,state,South Australia,Total Residential,Trend,$'000,A420200J,19695
40,Value of residential building approved - states and territories,1973-08,state,Western Australia,Total Residential,Trend,$'000,A420284C,22508
40,Value of residential building approved - states and territories,1973-08,state,Australia,Total Residential,Trend,$'000,A419856A,243421
40,Value of residential building approved - states and territories,1973-09,state,New South Wales,Total Residential,Original,$'000,A419939J,86893
40,Value of residential building approved - states and territories,1973-09,state,Victoria,Total Residential,Original,$'000,A420023F,55190
40,Value of residential building approved - states and territories,1973-09,state,Queensland,Total Residential,Original,$'000,A420107R,44532
40,Value of residential building approved - states and territories,1973-09,state,South Australia,Total Residential,Original,$'000,A420194X,22463
40,Value of residential building approved - states and territories,1973-09,state,Western Australia,Total Residential,Original,$'000,A420278J,20523
40,Value of residential building approved - states and territories,1973-09,state,Tasmania,Total Residential,Original,$'000,A420356C,5489
40,Value of residential building approved - states and territories,1973-09,state,Northern Territory,Total Residential,Original,$'000,A420442X,1067
40,Value of residential building approved - states and territories,1973-09,state,Australian Capital Territory,Total Residential,Original,$'000,A420515A,8121
40,Value of residential building approved - states and territories,1973-09,state,Australia,Total Residential,Original,$'000,A419850L,244278
40,Value of residential building approved - states and territories,1973-09,state,New South Wales,Total Residential,Seasonally Adjusted,$'000,A419942W,84500
40,Value of residential building approved - states and territories,1973-09,state,Victoria,Total Residential,Seasonally Adjusted,$'000,A420026L,57282
40,Value of residential building approved - states and territories,1973-09,state,Queensland,Total Residential,Seasonally Adjusted,$'000,A420110C,44229
40,Value of residential building approved - states and territories,1973-09,state,South Australia,Total Residential,Seasonally Adjusted,$'000,A420197F,21126
40,Value of residential building approved - states and territories,1973-09,state,Western Australia,Total Residential,Seasonally Adjusted,$'000,A420281W,22213
40,Value of residential building approved - states and territories,1973-09,state,Australia,Total Residential,Seasonally Adjusted,$'000,A419853V,244663
40,Value of residential building approved - states and territories,1973-09,state,New South Wales,Total Residential,Trend,$'000,A419945C,82134
40,Value of residential building approved - states and territories,1973-09,state,Victoria,Total Residential,Trend,$'000,A420029V,61004
40,Value of residential building approved - states and territories,1973-09,state,Queensland,Total Residential,Trend,$'000,A420113K,43123
40,Value of residential building approved - states and territories,1973-09,state,South Australia,Total Residential,Trend,$'000,A420200J,20677
40,Value of residential building approved - states and territories,1973-09,state,Western Australia,Total Residential,Trend,$'000,A420284C,21990
40,Value of residential building approved - states and territories,1973-09,state,Australia,Total Residential,Trend,$'000,A419856A,244340
40,Value of residential building approved - states and territories,1973-10,state,New South Wales,Total Residential,Original,$'000,A419939J,79766
40,Value of residential building approved - states and territories,1973-10,state,Victoria,Total Residential,Original,$'000,A420023F,70526
40,Value of residential building approved - states and territories,1973-10,state,Queensland,Total Residential,Original,$'000,A420107R,54855
40,Value of residential building approved - states and territories,1973-10,state,South Australia,Total Residential,Original,$'000,A420194X,21623
40,Value of residential building approved - states and territories,1973-10,state,Western Australia,Total Residential,Original,$'000,A420278J,22179
40,Value of residential building approved - states and territories,1973-10,state,Tasmania,Total Residential,Original,$'000,A420356C,5126
40,Value of residential building approved - states and territories,1973-10,state,Northern Territory,Total Residential,Original,$'000,A420442X,2710
40,Value of residential building approved - states and territories,1973-10,state,Australian Capital Territory,Total Residential,Original,$'000,A420515A,7764
40,Value of residential building approved - states and territories,1973-10,state,Australia,Total Residential,Original,$'000,A419850L,264549
40,Value of residential building approved - states and territories,1973-10,state,New South Wales,Total Residential,Seasonally Adjusted,$'000,A419942W,80835
40,Value of residential building approved - states and territories,1973-10,state,Victoria,Total Residential,Seasonally Adjusted,$'000,A420026L,61154
40,Value of residential building approved - states and territories,1973-10,state,Queensland,Total Residential,Seasonally Adjusted,$'000,A420110C,46296
40,Value of residential building approved - states and territories,1973-10,state,South Australia,Total Residential,Seasonally Adjusted,$'000,A420197F,21348
40,Value of residential building approved - states and territories,1973-10,state,Western Australia,Total Residential,Seasonally Adjusted,$'000,A420281W,20040
40,Value of residential building approved - states and territories,1973-10,state,Australia,Total Residential,Seasonally Adjusted,$'000,A419853V,244226
40,Value of residential building approved - states and territories,1973-10,state,New South Wales,Total Residential,Trend,$'000,A419945C,81039
40,Value of residential building approved - states and territories,1973-10,state,Victoria,Total Residential,Trend,$'000,A420029V,60655
40,Value of residential building approved - states and territories,1973-10,state,Queensland,Total Residential,Trend,$'000,A420113K,42798
40,Value of residential building approved - states and territories,1973-10,state,South Australia,Total Residential,Trend,$'000,A420200J,21168
40,Value of residential building approved - states and territories,1973-10,state,Western Australia,Total Residential,Trend,$'000,A420284C,21048
40,Value of residential building approved - states and territories,1973-10,state,Australia,Total Residential,Trend,$'000,A419856A,241343
40,Value of residential building approved - states and territories,1973-11,state,New South Wales,Total Residential,Original,$'000,A419939J,87117
40,Value of residential building approved - states and territories,1973-11,state,Victoria,Total Residential,Original,$'000,A420023F,58255
40,Value of residential building approved - states and territories,1973-11,state,Queensland,Total Residential,Original,$'000,A420107R,39628
40,Value of residential building approved - states and territories,1973-11,state,South Australia,Total Residential,Original,$'000,A420194X,21519
40,Value of residential building approved - states and territories,1973-11,state,Western Australia,Total Residential,Original,$'000,A420278J,21970
40,Value of residential building approved - states and territories,1973-11,state,Tasmania,Total Residential,Original,$'000,A420356C,5181
40,Value of residential building approved - states and territories,1973-11,state,Northern Territory,Total Residential,Original,$'000,A420442X,1041
