table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
41,Value of non-residential building approved - states and territories,1970-07,state,New South Wales,Total Non-residential,Original,$'000,A420670A,58292
41,Value of non-residential building approved - states and territories,1970-07,state,Victoria,Total Non-residential,Original,$'000,A420746K,19054
41,Value of non-residential building approved - states and territories,1970-07,state,Queensland,Total Non-residential,Original,$'000,A420819L,10881
41,Value of non-residential building approved - states and territories,1970-07,state,South Australia,Total Non-residential,Original,$'000,A420892J,8929
41,Value of non-residential building approved - states and territories,1970-07,state,Western Australia,Total Non-residential,Original,$'000,A420965K,20421
41,Value of non-residential building approved - states and territories,1970-07,state,Tasmania,Total Non-residential,Original,$'000,A421038R,4073
41,Value of non-residential building approved - states and territories,1970-07,state,Northern Territory,Total Non-residential,Original,$'000,A421108K,1919
41,Value of non-residential building approved - states and territories,1970-07,state,Australian Capital Territory,Total Non-residential,Original,$'000,A421178T,3568
41,Value of non-residential building approved - states and territories,1970-07,state,New South Wales,Total Non-residential,Seasonally Adjusted,$'000,A420673J,58292
41,Value of non-residential building approved - states and territories,1970-07,state,Victoria,Total Non-residential,Seasonally Adjusted,$'000,A420749T,19073
41,Value of non-residential building approved - states and territories,1970-07,state,Queensland,Total Non-residential,Seasonally Adjusted,$'000,A420822A,10881
41,Value of non-residential building approved - states and territories,1970-07,state,South Australia,Total Non-residential,Seasonally Adjusted,$'000,A420895R,8044
41,Value of non-residential building approved - states and territories,1970-07,state,Western Australia,Total Non-residential,Seasonally Adjusted,$'000,A420968T,18728
41,Value of non-residential building approved - states and territories,1970-07,state,New South Wales,Total Non-residential,Trend,$'000,A420674K,47874
41,Value of non-residential building approved - states and territories,1970-07,state,Victoria,Total Non-residential,Trend,$'000,A420750A,19496
41,Value of non-residential building approved - states and territories,1970-07,state,Queensland,Total Non-residential,Trend,$'000,A420823C,12209
41,Value of non-residential building approved - states and territories,1970-07,state,South Australia,Total Non-residential,Trend,$'000,A420896T,8139
41,Value of non-residential building approved - states and territories,1970-07,state,Western Australia,Total Non-residential,Trend,$'000,A420969V,13329
41,Value of non-residential building approved - states and territories,1970-08,state,New South Wales,Total Non-residential,Original,$'000,A420670A,28452
41,Value of non-residential building approved - states and territories,1970-08,state,Victoria,Total Non-residential,Original,$'000,A420746K,20144
41,Value of non-residential building approved - states and territories,1970-08,state,Queensland,Total Non-residential,Original,$'000,A420819L,8067
41,Value of non-residential building approved - states and territories,1970-08,state,South Australia,Total Non-residential,Original,$'000,A420892J,6146
41,Value of non-residential building approved - states and territories,1970-08,state,Western Australia,Total Non-residential,Original,$'000,A420965K,11113
41,Value of non-residential building approved - states and territories,1970-08,state,Tasmania,Total Non-residential,Original,$'000,A421038R,1619
41,Value of non-residential building approved - states and territories,1970-08,state,Northern Territory,Total Non-residential,Original,$'000,A421108K,1025
41,Value of non-residential building approved - states and territories,1970-08,state,Australian Capital Territory,Total Non-residential,Original,$'000,A421178T,1620
41,Value of non-residential building approved - states and territories,1970-08,state,New South Wales,Total Non-residential,Seasonally Adjusted,$'000,A420673J,28452
41,Value of non-residential building approved - states and territories,1970-08,state,Victoria,Total Non-residential,Seasonally Adjusted,$'000,A420749T,18812
41,Value of non-residential building approved - states and territories,1970-08,state,Queensland,Total Non-residential,Seasonally Adjusted,$'000,A420822A,8067
41,Value of non-residential building approved - states and territories,1970-08,state,South Australia,Total Non-residential,Seasonally Adjusted,$'000,A420895R,6676
41,Value of non-residential building approved - states and territories,1970-08,state,Western Australia,Total Non-residential,Seasonally Adjusted,$'000,A420968T,11347
41,Value of non-residential building approved - states and territories,1970-08,state,New South Wales,Total Non-residential,Trend,$'000,A420674K,46717
41,Value of non-residential building approved - states and territories,1970-08,state,Victoria,Total Non-residential,Trend,$'000,A420750A,19617
41,Value of non-residential building approved - states and territories,1970-08,state,Queensland,Total Non-residential,Trend,$'000,A420823C,13549
41,Value of non-residential building approved - states and territories,1970-08,state,South Australia,Total Non-residential,Trend,$'000,A420896T,7632
41,Value of non-residential building approved - states and territories,1970-08,state,Western Australia,Total Non-residential,Trend,$'000,A420969V,12730
41,Value of non-residential building approved - states and territories,1970-09,state,New South Wales,Total Non-residential,Original,$'000,A420670A,46437
41,Value of non-residential building approved - states and territories,1970-09,state,Victoria,Total Non-residential,Original,$'000,A420746K,18141
41,Value of non-residential building approved - states and territories,1970-09,state,Queensland,Total Non-residential,Original,$'000,A420819L,15173
41,Value of non-residential building approved - states and territories,1970-09,state,South Australia,Total Non-residential,Original,$'000,A420892J,15303
41,Value of non-residential building approved - states and territories,1970-09,state,Western Australia,Total Non-residential,Original,$'000,A420965K,6070
41,Value of non-residential building approved - states and territories,1970-09,state,Tasmania,Total Non-residential,Original,$'000,A421038R,3062
41,Value of non-residential building approved - states and territories,1970-09,state,Northern Territory,Total Non-residential,Original,$'000,A421108K,923
41,Value of non-residential building approved - states and territories,1970-09,state,Australian Capital Territory,Total Non-residential,Original,$'000,A421178T,2215
41,Value of non-residential building approved - states and territories,1970-09,state,New South Wales,Total Non-residential,Seasonally Adjusted,$'000,A420673J,46437
41,Value of non-residential building approved - states and territories,1970-09,state,Victoria,Total Non-residential,Seasonally Adjusted,$'000,A420749T,19720
41,Value of non-residential building approved - states and territories,1970-09,state,Queensland,Total Non-residential,Seasonally Adjusted,$'000,A420822A,15173
41,Value of non-residential building approved - states and territories,1970-09,state,South Australia,Total Non-residential,Seasonally Adjusted,$'000,A420895R,13316
41,Value of non-residential building approved - states and territories,1970-09,state,Western Australia,Total Non-residential,Seasonally Adjusted,$'000,A420968T,6523
41,Value of non-residential building approved - states and territories,1970-09,state,New South Wales,Total Non-residential,Trend,$'000,A420674K,44639
41,Value of non-residential building approved - states and territories,1970-09,state,Victoria,Total Non-residential,Trend,$'000,A420750A,20967
41,Value of non-residential building approved - states and territories,1970-09,state,Queensland,Total Non-residential,Trend,$'000,A420823C,15181
41,Value of non-residential building approved - states and territories,1970-09,state,South Australia,Total Non-residential,Trend,$'000,A420896T,6863
41,Value of non-residential building approved - states and territories,1970-09,state,Western Australia,Total Non-residential,Trend,$'000,A420969V,12838
41,Value of non-residential building approved - states and territories,1970-10,state,New South Wales,Total Non-residential,Original,$'000,A420670A,59188
41,Value of non-residential building approved - states and territories,1970-10,state,Victoria,Total Non-residential,Original,$'000,A420746K,24724
41,Value of non-residential building approved - states and territories,1970-10,state,Queensland,Total Non-residential,Original,$'000,A420819L,24748
41,Value of non-residential building approved - states and territories,1970-10,state,South Australia,Total Non-residential,Original,$'000,A420892J,2418
41,Value of non-residential building approved - states and territories,1970-10,state,Western Australia,Total Non-residential,Original,$'000,A420965K,11495
41,Value of non-residential building approved - states and territories,1970-10,state,Tasmania,Total Non-residential,Original,$'000,A421038R,3579
41,Value of non-residential building approved - states and territories,1970-10,state,Northern Territory,Total Non-residential,Original,$'000,A421108K,1078
41,Value of non-residential building approved - states and territories,1970-10,state,Australian Capital Territory,Total Non-residential,Original,$'000,A421178T,1122
41,Value of non-residential building approved - states and territories,1970-10,state,New South Wales,Total Non-residential,Seasonally Adjusted,$'000,A420673J,59188
41,Value of non-residential building approved - states and territories,1970-10,state,Victoria,Total Non-residential,Seasonally Adjusted,$'000,A420749T,24749
41,Value of non-residential building approved - states and territories,1970-10,state,Queensland,Total Non-residential,Seasonally Adjusted,$'000,A420822A,24748
41,Value of non-residential building approved - states and territories,1970-10,state,South Australia,Total Non-residential,Seasonally Adjusted,$'000,A420895R,2628
41,Value of non-residential building approved - states and territories,1970-10,state,Western Australia,Total Non-residential,Seasonally Adjusted,$'000,A420968T,10646
41,Value of non-residential building approved - states and territories,1970-10,state,New South Wales,Total Non-residential,Trend,$'000,A420674K,42223
41,Value of non-residential building approved - states and territories,1970-10,state,Victoria,Total Non-residential,Trend,$'000,A420750A,22411
41,Value of non-residential building approved - states and territories,1970-10,state,Queensland,Total Non-residential,Trend,$'000,A420823C,16455
41,Value of non-residential building approved - states and territories,1970-10,state,South Australia,Total Non-residential,Trend,$'000,A420896T,6189
41,Value of non-residential building approved - states and territories,1970-10,state,Western Australia,Total Non-residential,Trend,$'000,A420969V,13244
41,Value of non-residential building approved - states and territories,1970-11,state,New South Wales,Total Non-residential,Original,$'000,A420670A,29599
41,Value of non-residential building approved - states and territories,1970-11,state,Victoria,Total Non-residential,Original,$'000,A420746K,28399
41,Value of non-residential building approved - states and territories,1970-11,state,Queensland,Total Non-residential,Original,$'000,A420819L,16909
41,Value of non-residential building approved - states and territories,1970-11,state,South Australia,Total Non-residential,Original,$'000,A420892J,2530
41,Value of non-residential building approved - states and territories,1970-11,state,Western Australia,Total Non-residential,Original,$'000,A420965K,22403
41,Value of non-residential building approved - states and territories,1970-11,state,Tasmania,Total Non-residential,Original,$'000,A421038R,1843
41,Value of non-residential building approved - states and territories,1970-11,state,Northern Territory,Total Non-residential,Original,$'000,A421108K,4990
41,Value of non-residential building approved - states and territories,1970-11,state,Australian Capital Territory,Total Non-residential,Original,$'000,A421178T,10538
41,Value of non-residential building approved - states and territories,1970-11,state,New South Wales,Total Non-residential,Seasonally Adjusted,$'000,A420673J,29599
41,Value of non-residential building approved - states and territories,1970-11,state,Victoria,Total Non-residential,Seasonally Adjusted,$'000,A420749T,26520
41,Value of non-residential building approved - states and territories,1970-11,state,Queensland,Total Non-residential,Seasonally Adjusted,$'000,A420822A,16909
41,Value of non-residential building approved - states and territories,1970-11,state,South Australia,Total Non-residential,Seasonally Adjusted,$'000,A420895R,2748
41,Value of non-residential building approved - states and territories,1970-11,state,Western Australia,Total Non-residential,Seasonally Adjusted,$'000,A420968T,22874
41,Value of non-residential building approved - states and territories,1970-11,state,New South Wales,Total Non-residential,Trend,$'000,A420674K,39106
41,Value of non-residential building approved - states and territories,1970-11,state,Victoria,Total Non-residential,Trend,$'000,A420750A,24194
41,Value of non-residential building approved - states and territories,1970-11,state,Queensland,Total Non-residential,Trend,$'000,A420823C,17185
41,Value of non-residential building approved - states and territories,1970-11,state,South Australia,Total Non-residential,Trend,$'000,A420896T,5792
41,Value of non-residential building approved - states and territories,1970-11,state,Western Australia,Total Non-residential,Trend,$'000,A420969V,13895
41,Value of non-residential building approved - states and territories,1970-12,state,New South Wales,Total Non-residential,Original,$'000,A420670A,37872
41,Value of non-residential building approved - states and territories,1970-12,state,Victoria,Total Non-residential,Original,$'000,A420746K,19918
41,Value of non-residential building approved - states and territories,1970-12,state,Queensland,Total Non-residential,Original,$'000,A420819L,13850
41,Value of non-residential building approved - states and territories,1970-12,state,South Australia,Total Non-residential,Original,$'000,A420892J,5355
41,Value of non-residential building approved - states and territories,1970-12,state,Western Australia,Total Non-residential,Original,$'000,A420965K,13685
41,Value of non-residential building approved - states and territories,1970-12,state,Tasmania,Total Non-residential,Original,$'000,A421038R,1149
