category,unit,breakdown,value
NSW > 2024-25,ratio,Notifications,2.82
NSW > 2024-25,ratio,Commencing IFSS,4.67
NSW > 2024-25,ratio,Finalised investigations,4.14
NSW > 2024-25,ratio,Substantiations,4.47
NSW > 2024-25,ratio,Care and protection orders,5.76
NSW > 2024-25,ratio,Out-of-home care,5.98
NSW > 2023-24,ratio,Notifications,2.87
NSW > 2023-24,ratio,Commencing IFSS,4.65
NSW > 2023-24,ratio,Finalised investigations,4.13
NSW > 2023-24,ratio,Substantiations,4.47
NSW > 2023-24,ratio,Care and protection orders,5.6
NSW > 2023-24,ratio,Out-of-home care,5.8
NSW > 2022-23,ratio,Notifications,2.89
NSW > 2022-23,ratio,Commencing IFSS,4.81
NSW > 2022-23,ratio,Finalised investigations,3.97
NSW > 2022-23,ratio,Substantiations,4.27
NSW > 2022-23,ratio,Care and protection orders,5.54
NSW > 2022-23,ratio,Out-of-home care,5.77
NSW > 2021-22,ratio,Notifications,2.92
NSW > 2021-22,ratio,Commencing IFSS,4.83
NSW > 2021-22,ratio,Finalised investigations,4.16
NSW > 2021-22,ratio,Substantiations,4.34
NSW > 2021-22,ratio,Care and protection orders,5.49
NSW > 2021-22,ratio,Out-of-home care,5.67
NSW > 2020-21,ratio,Notifications,2.74
NSW > 2020-21,ratio,Commencing IFSS,4.33
NSW > 2020-21,ratio,Finalised investigations,4.09
NSW > 2020-21,ratio,Substantiations,4.28
NSW > 2020-21,ratio,Care and protection orders,5.4
NSW > 2020-21,ratio,Out-of-home care,5.6
NSW > 2019-20,ratio,Notifications,2.8
NSW > 2019-20,ratio,Commencing IFSS,4.17
NSW > 2019-20,ratio,Finalised investigations,4.13
NSW > 2019-20,ratio,Substantiations,4.38
NSW > 2019-20,ratio,Care and protection orders,5.28
NSW > 2019-20,ratio,Out-of-home care,5.43
NSW > 2018-19,ratio,Notifications,2.65
NSW > 2018-19,ratio,Commencing IFSS,4.22
NSW > 2018-19,ratio,Finalised investigations,3.65
NSW > 2018-19,ratio,Substantiations,3.77
NSW > 2018-19,ratio,Care and protection orders,5.1
NSW > 2018-19,ratio,Out-of-home care,5.26
NSW > 2017-18,ratio,Notifications,2.64
NSW > 2017-18,ratio,Commencing IFSS,4.24
NSW > 2017-18,ratio,Finalised investigations,na
NSW > 2017-18,ratio,Substantiations,na
NSW > 2017-18,ratio,Care and protection orders,4.93
NSW > 2017-18,ratio,Out-of-home care,5.12
Vic > 2024-25,ratio,Notifications,4.18
Vic > 2024-25,ratio,Commencing IFSS,12.36
Vic > 2024-25,ratio,Finalised investigations,6.26
Vic > 2024-25,ratio,Substantiations,7.13
Vic > 2024-25,ratio,Care and protection orders,12.59
Vic > 2024-25,ratio,Out-of-home care,15.01
Vic > 2023-24,ratio,Notifications,4.14
Vic > 2023-24,ratio,Commencing IFSS,12.09
Vic > 2023-24,ratio,Finalised investigations,6.02
Vic > 2023-24,ratio,Substantiations,7.04
Vic > 2023-24,ratio,Care and protection orders,12.01
Vic > 2023-24,ratio,Out-of-home care,14.38
Vic > 2022-23,ratio,Notifications,3.9
Vic > 2022-23,ratio,Commencing IFSS,10.32
Vic > 2022-23,ratio,Finalised investigations,5.36
Vic > 2022-23,ratio,Substantiations,6.53
Vic > 2022-23,ratio,Care and protection orders,11.57
Vic > 2022-23,ratio,Out-of-home care,13.46
Vic > 2021-22,ratio,Notifications,4
Vic > 2021-22,ratio,Commencing IFSS,10.9
Vic > 2021-22,ratio,Finalised investigations,5.56
Vic > 2021-22,ratio,Substantiations,6.11
Vic > 2021-22,ratio,Care and protection orders,11.16
Vic > 2021-22,ratio,Out-of-home care,13.05
Vic > 2020-21,ratio,Notifications,3.88
Vic > 2020-21,ratio,Commencing IFSS,4.97
Vic > 2020-21,ratio,Finalised investigations,5.86
Vic > 2020-21,ratio,Substantiations,6.3
Vic > 2020-21,ratio,Care and protection orders,10.71
Vic > 2020-21,ratio,Out-of-home care,12.99
