state,south_australia_related,sa4_code,sa4_name,reporting_year,age_group,num_registered_children,num_fully_immunised,num_not_fully_immunised,percent_fully_immunised,interpret_with_caution
NSW,False,101,Capital Region,2016-17,1 year,184,171,13,92.9,
NSW,False,102,Central Coast,2016-17,1 year,276,267,9,96.7,
NSW,False,103,Central West,2016-17,1 year,392,372,20,94.9,
NSW,False,104,Coffs Harbour - Grafton,2016-17,1 year,182,176,6,96.7,
NSW,False,105,Far West and Orana,2016-17,1 year,518,473,45,91.3,
NSW,False,106,Hunter Valley exc Newcastle,2016-17,1 year,428,404,24,94.4,
NSW,False,107,Illawarra,2016-17,1 year,182,176,6,96.7,
NSW,False,108,Mid North Coast,2016-17,1 year,359,341,18,95,
NSW,False,109,Murray,2016-17,1 year,143,136,7,95.1,
NSW,False,110,New England and North West,2016-17,1 year,599,566,33,94.5,
NSW,False,111,Newcastle and Lake Macquarie,2016-17,1 year,277,268,9,96.8,
NSW,False,112,Richmond - Tweed,2016-17,1 year,217,204,13,94,
NSW,False,113,Riverina,2016-17,1 year,216,202,14,93.5,
NSW,False,114,Southern Highlands and Shoalhaven,2016-17,1 year,172,166,6,96.5,
NSW,False,115,Sydney - Baulkham Hills and Hawkesbury,2016-17,1 year,NP,NP,NP,97.3,#
NSW,False,116,Sydney - Blacktown,2016-17,1 year,199,185,14,93,
NSW,False,117,Sydney - City and Inner South,2016-17,1 year,NP,NP,NP,95.6,#
NSW,False,118,Sydney - Eastern Suburbs,2016-17,1 year,55,48,7,87.3,#
NSW,False,119,Sydney - Inner South West,2016-17,1 year,73,66,7,90.4,#
NSW,False,120,Sydney - Inner West,2016-17,1 year,NP,NP,NP,94.7,#
NSW,False,121,Sydney - North Sydney and Hornsby,2016-17,1 year,NP,NP,NP,NP,
NSW,False,122,Sydney - Northern Beaches,2016-17,1 year,NP,NP,NP,NP,
NSW,False,123,Sydney - Outer South West,2016-17,1 year,211,198,13,93.8,
NSW,False,124,Sydney - Outer West and Blue Mountains,2016-17,1 year,211,199,12,94.3,
NSW,False,125,Sydney - Parramatta,2016-17,1 year,62,56,6,90.3,#
NSW,False,126,Sydney - Ryde,2016-17,1 year,NP,NP,NP,NP,
NSW,False,127,Sydney - South West,2016-17,1 year,99,93,6,93.9,#
NSW,False,128,Sydney - Sutherland,2016-17,1 year,57,51,6,89.5,#
VIC,False,201,Ballarat,2016-17,1 year,68,61,7,89.7,#
VIC,False,202,Bendigo,2016-17,1 year,68,60,8,88.2,#
VIC,False,203,Geelong,2016-17,1 year,104,94,10,90.4,
VIC,False,204,Hume,2016-17,1 year,NP,NP,NP,94.4,#
VIC,False,205,Latrobe - Gippsland,2016-17,1 year,127,111,16,87.4,
VIC,False,206,Melbourne - Inner,2016-17,1 year,NP,NP,NP,95.8,#
VIC,False,207,Melbourne - Inner East,2016-17,1 year,NP,NP,NP,NP,
VIC,False,208,Melbourne - Inner South,2016-17,1 year,NP,NP,NP,NP,
VIC,False,209,Melbourne - North East,2016-17,1 year,101,88,13,87.1,
VIC,False,210,Melbourne - North West,2016-17,1 year,62,56,6,90.3,#
VIC,False,211,Melbourne - Outer East,2016-17,1 year,101,95,6,94.1,
VIC,False,212,Melbourne - South East,2016-17,1 year,NP,NP,NP,94.6,#
VIC,False,213,Melbourne - West,2016-17,1 year,264,245,19,92.8,
VIC,False,214,Mornington Peninsula,2016-17,1 year,NP,NP,NP,92.6,#
VIC,False,215,North West,2016-17,1 year,147,126,21,85.7,
VIC,False,216,Shepparton,2016-17,1 year,213,194,19,91.1,
VIC,False,217,Warrnambool and South West,2016-17,1 year,65,58,7,89.2,#
QLD,False,301,Brisbane - East,2016-17,1 year,126,114,12,90.5,
QLD,False,302,Brisbane - North,2016-17,1 year,NP,NP,NP,94.9,#
QLD,False,303,Brisbane - South,2016-17,1 year,97,88,9,90.7,#
QLD,False,304,Brisbane - West,2016-17,1 year,NP,NP,NP,92.3,#
QLD,False,305,Brisbane Inner City,2016-17,1 year,NP,NP,NP,89.4,#
QLD,False,306,Cairns,2016-17,1 year,757,684,73,90.4,
