state,south_australia_related,sa3_code,sa3_name,reporting_year,age_group,num_registered_children,num_fully_immunised,num_not_fully_immunised,percent_fully_immunised,interpret_with_caution
NSW,False,10101,Goulburn - Yass,2016-17,1 year,844,808,36,95.7,
NSW,False,10102,Queanbeyan,2016-17,1 year,797,767,30,96.2,
NSW,False,10103,Snowy Mountains,2016-17,1 year,204,193,11,94.6,
NSW,False,10104,South Coast,2016-17,1 year,624,581,43,93.1,
NSW,False,10201,Gosford,2016-17,1 year,2014,1904,110,94.5,
NSW,False,10202,Wyong,2016-17,1 year,1973,1905,68,96.6,
NSW,False,10301,Bathurst,2016-17,1 year,588,564,24,95.9,
NSW,False,10302,Lachlan Valley,2016-17,1 year,733,705,28,96.2,
NSW,False,10303,Lithgow - Mudgee,2016-17,1 year,573,544,29,94.9,
NSW,False,10304,Orange,2016-17,1 year,888,854,34,96.2,
NSW,False,10401,Clarence Valley,2016-17,1 year,498,473,25,95,
NSW,False,10402,Coffs Harbour,2016-17,1 year,948,862,86,90.9,
NSW,False,10501,Bourke - Cobar - Coonamble,2016-17,1 year,390,358,32,91.8,
NSW,False,10502,Broken Hill and Far West,2016-17,1 year,258,247,11,95.7,
NSW,False,10503,Dubbo,2016-17,1 year,977,928,49,95,
NSW,False,10601,Lower Hunter,2016-17,1 year,1224,1168,56,95.4,
NSW,False,10602,Maitland,2016-17,1 year,1005,962,43,95.7,
NSW,False,10603,Port Stephens,2016-17,1 year,801,757,44,94.5,
NSW,False,10604,Upper Hunter,2016-17,1 year,450,433,17,96.2,
NSW,False,10701,Dapto - Port Kembla,2016-17,1 year,982,933,49,95,
NSW,False,10702,Illawarra Catchment Reserve,2016-17,1 year,NP,NP,NP,NP,
NSW,False,10703,Kiama - Shellharbour,2016-17,1 year,1098,1054,44,96,
NSW,False,10704,Wollongong,2016-17,1 year,1507,1428,79,94.8,
NSW,False,10801,Great Lakes,2016-17,1 year,266,251,15,94.4,
NSW,False,10802,Kempsey - Nambucca,2016-17,1 year,537,492,45,91.6,
NSW,False,10803,Lord Howe Island,2016-17,1 year,NP,NP,NP,NP,
NSW,False,10804,Port Macquarie,2016-17,1 year,731,694,37,94.9,
NSW,False,10805,Taree - Gloucester,2016-17,1 year,519,491,28,94.6,
NSW,False,10901,Albury,2016-17,1 year,873,817,56,93.6,
NSW,False,10902,Lower Murray,2016-17,1 year,167,161,6,96.4,
NSW,False,10903,Upper Murray exc. Albury,2016-17,1 year,423,405,18,95.7,
NSW,False,11001,Armidale,2016-17,1 year,384,361,23,94,
NSW,False,11002,Inverell - Tenterfield,2016-17,1 year,430,402,28,93.5,
NSW,False,11003,Moree - Narrabri,2016-17,1 year,408,394,14,96.6,
NSW,False,11004,Tamworth - Gunnedah,2016-17,1 year,1137,1106,31,97.3,
NSW,False,11101,Lake Macquarie - East,2016-17,1 year,1455,1410,45,96.9,
NSW,False,11102,Lake Macquarie - West,2016-17,1 year,911,853,58,93.6,
NSW,False,11103,Newcastle,2016-17,1 year,2022,1926,96,95.3,
NSW,False,11201,Richmond Valley - Coastal,2016-17,1 year,793,643,150,81.1,
NSW,False,11202,Richmond Valley - Hinterland,2016-17,1 year,754,678,76,89.9,
NSW,False,11203,Tweed Valley,2016-17,1 year,1026,923,103,90,
NSW,False,11301,Griffith - Murrumbidgee (West),2016-17,1 year,675,640,35,94.8,
NSW,False,11302,Tumut - Tumbarumba,2016-17,1 year,179,NP,NP,97.2,
NSW,False,11303,Wagga Wagga,2016-17,1 year,1222,1180,42,96.6,
NSW,False,11401,Shoalhaven,2016-17,1 year,1058,1002,56,94.7,
NSW,False,11402,Southern Highlands,2016-17,1 year,427,403,24,94.4,
NSW,False,11501,Baulkham Hills,2016-17,1 year,1659,1551,108,93.5,
NSW,False,11502,Dural - Wisemans Ferry,2016-17,1 year,295,280,15,94.9,
NSW,False,11503,Hawkesbury,2016-17,1 year,315,301,14,95.6,
NSW,False,11504,Rouse Hill - McGraths Hill,2016-17,1 year,479,457,22,95.4,
NSW,False,11601,Blacktown,2016-17,1 year,2177,2043,134,93.8,
NSW,False,11602,Blacktown - North,2016-17,1 year,1493,1422,71,95.2,
NSW,False,11603,Mount Druitt,2016-17,1 year,1962,1808,154,92.2,
NSW,False,11701,Botany,2016-17,1 year,626,580,46,92.7,
NSW,False,11702,Marrickville - Sydenham - Petersham,2016-17,1 year,656,613,43,93.4,
NSW,False,11703,Sydney Inner City,2016-17,1 year,2017,1853,164,91.9,
NSW,False,11801,Eastern Suburbs - North,2016-17,1 year,1727,1602,125,92.8,
NSW,False,11802,Eastern Suburbs - South,2016-17,1 year,1779,1622,157,91.2,
NSW,False,11901,Bankstown,2016-17,1 year,2803,2581,222,92.1,
NSW,False,11902,Canterbury,2016-17,1 year,2149,1974,175,91.9,
NSW,False,11903,Hurstville,2016-17,1 year,1514,1396,118,92.2,
NSW,False,11904,Kogarah - Rockdale,2016-17,1 year,1894,1740,154,91.9,
NSW,False,12001,Canada Bay,2016-17,1 year,1146,1088,58,94.9,
NSW,False,12002,Leichhardt,2016-17,1 year,865,811,54,93.8,
NSW,False,12003,Strathfield - Burwood - Ashfield,2016-17,1 year,1806,1663,143,92.1,
NSW,False,12101,Chatswood - Lane Cove,2016-17,1 year,1535,1436,99,93.6,
NSW,False,12102,Hornsby,2016-17,1 year,1044,980,64,93.9,
NSW,False,12103,Ku-ring-gai,2016-17,1 year,1080,1004,76,93,
NSW,False,12104,North Sydney - Mosman,2016-17,1 year,1237,1155,82,93.4,
NSW,False,12201,Manly,2016-17,1 year,620,581,39,93.7,
NSW,False,12202,Pittwater,2016-17,1 year,703,641,62,91.2,
NSW,False,12203,Warringah,2016-17,1 year,2005,1881,124,93.8,
NSW,False,12301,Camden,2016-17,1 year,1030,994,36,96.5,
NSW,False,12302,Campbelltown (NSW),2016-17,1 year,2534,2378,156,93.8,
NSW,False,12303,Wollondilly,2016-17,1 year,611,581,30,95.1,
NSW,False,12401,Blue Mountains,2016-17,1 year,802,739,63,92.1,
NSW,False,12402,Blue Mountains - South,2016-17,1 year,NP,NP,NP,NP,
NSW,False,12403,Penrith,2016-17,1 year,2277,2176,101,95.6,
NSW,False,12404,Richmond - Windsor,2016-17,1 year,531,502,29,94.5,
NSW,False,12405,St Marys,2016-17,1 year,1011,943,68,93.3,
NSW,False,12501,Auburn,2016-17,1 year,1490,1338,152,89.8,
NSW,False,12502,Carlingford,2016-17,1 year,916,855,61,93.3,
NSW,False,12503,Merrylands - Guildford,2016-17,1 year,2786,2525,261,90.6,
NSW,False,12504,Parramatta,2016-17,1 year,2333,2136,197,91.6,
NSW,False,12601,Pennant Hills - Epping,2016-17,1 year,451,417,34,92.5,
NSW,False,12602,Ryde - Hunters Hill,2016-17,1 year,1603,1502,101,93.7,
NSW,False,12701,Bringelly - Green Valley,2016-17,1 year,1626,1544,82,95,
NSW,False,12702,Fairfield,2016-17,1 year,2466,2243,223,91,
NSW,False,12703,Liverpool,2016-17,1 year,2033,1891,142,93,
NSW,False,12801,Cronulla - Miranda - Caringbah,2016-17,1 year,1435,1369,66,95.4,
NSW,False,12802,Sutherland - Menai - Heathcote,2016-17,1 year,1388,1338,50,96.4,
VIC,False,20101,Ballarat,2016-17,1 year,1408,1340,68,95.2,
VIC,False,20102,Creswick - Daylesford - Ballan,2016-17,1 year,269,249,20,92.6,
VIC,False,20103,Maryborough - Pyrenees,2016-17,1 year,246,237,9,96.3,
VIC,False,20201,Bendigo,2016-17,1 year,1172,1113,59,95,
VIC,False,20202,Heathcote - Castlemaine - Kyneton,2016-17,1 year,472,443,29,93.9,
VIC,False,20203,Loddon - Elmore,2016-17,1 year,110,103,7,93.6,
VIC,False,20301,Barwon - West,2016-17,1 year,225,219,6,97.3,
VIC,False,20302,Geelong,2016-17,1 year,2504,2369,135,94.6,
VIC,False,20303,Surf Coast - Bellarine Peninsula,2016-17,1 year,770,728,42,94.5,
VIC,False,20401,Upper Goulburn Valley,2016-17,1 year,520,495,25,95.2,
VIC,False,20402,Wangaratta - Benalla,2016-17,1 year,464,441,23,95,
VIC,False,20403,Wodonga - Alpine,2016-17,1 year,850,813,37,95.6,
VIC,False,20501,Baw Baw,2016-17,1 year,626,586,40,93.6,
VIC,False,20502,Gippsland - East,2016-17,1 year,471,436,35,92.6,
VIC,False,20503,Gippsland - South West,2016-17,1 year,642,618,24,96.3,
VIC,False,20504,Latrobe Valley,2016-17,1 year,952,909,43,95.5,
VIC,False,20505,Wellington,2016-17,1 year,493,470,23,95.3,
VIC,False,20601,Brunswick - Coburg,2016-17,1 year,1178,1105,73,93.8,
VIC,False,20602,Darebin - South,2016-17,1 year,580,556,24,95.9,
VIC,False,20603,Essendon,2016-17,1 year,817,767,50,93.9,
VIC,False,20604,Melbourne City,2016-17,1 year,1155,1016,139,88,
VIC,False,20605,Port Phillip,2016-17,1 year,1245,1161,84,93.3,
VIC,False,20606,Stonnington - West,2016-17,1 year,563,515,48,91.5,
VIC,False,20607,Yarra,2016-17,1 year,1016,950,66,93.5,
VIC,False,20701,Boroondara,2016-17,1 year,1521,1434,87,94.3,
VIC,False,20702,Manningham - West,2016-17,1 year,825,776,49,94.1,
VIC,False,20703,Whitehorse - West,2016-17,1 year,1039,981,58,94.4,
VIC,False,20801,Bayside,2016-17,1 year,962,893,69,92.8,
VIC,False,20802,Glen Eira,2016-17,1 year,1790,1688,102,94.3,
VIC,False,20803,Kingston,2016-17,1 year,1543,1453,90,94.2,
VIC,False,20804,Stonnington - East,2016-17,1 year,398,379,19,95.2,
VIC,False,20901,Banyule,2016-17,1 year,1634,1543,91,94.4,
VIC,False,20902,Darebin - North,2016-17,1 year,1333,1238,95,92.9,
