table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,SA,3848
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,3848
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,SA,3493
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,3493
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,SA,3340
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,3340
7A.2,"Lodgments, civil",2021-22,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,SA,3074
7A.2,"Lodgments, civil",2021-22,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,3074
7A.2,"Lodgments, civil",2020-21,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,SA,2736
7A.2,"Lodgments, civil",2020-21,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2736
7A.2,"Lodgments, civil",2019-20,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,SA,2651
7A.2,"Lodgments, civil",2019-20,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2651
7A.2,"Lodgments, civil",2018-19,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,SA,2687
7A.2,"Lodgments, civil",2018-19,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2687
7A.2,"Lodgments, civil",2017-18,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,SA,2599
7A.2,"Lodgments, civil",2017-18,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2599
7A.2,"Lodgments, civil",2016-17,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,SA,2537
7A.2,"Lodgments, civil",2016-17,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2537
7A.2,"Lodgments, civil",2015-16,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,SA,2430
7A.2,"Lodgments, civil",2015-16,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2430
7A.4,"Lodgments, civil, per 100,000 people",2024-25,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,203
7A.4,"Lodgments, civil, per 100,000 people",2023-24,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,187
7A.4,"Lodgments, civil, per 100,000 people",2022-23,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,182
7A.4,"Lodgments, civil, per 100,000 people",2021-22,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,170
7A.4,"Lodgments, civil, per 100,000 people",2020-21,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,152
7A.4,"Lodgments, civil, per 100,000 people",2019-20,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,149
7A.4,"Lodgments, civil, per 100,000 people",2018-19,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,153
7A.4,"Lodgments, civil, per 100,000 people",2017-18,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,150
7A.4,"Lodgments, civil, per 100,000 people",2016-17,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,148
7A.4,"Lodgments, civil, per 100,000 people",2015-16,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,142
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,4174
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,0
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,SA,4174
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,3261
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,0
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,SA,3261
7A.6,"Finalisations, civil",2022-23,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,3201
7A.6,"Finalisations, civil",2022-23,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,0
7A.6,"Finalisations, civil",2022-23,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,SA,3201
7A.6,"Finalisations, civil",2021-22,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2674
7A.6,"Finalisations, civil",2021-22,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,0
7A.6,"Finalisations, civil",2021-22,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,SA,2674
