table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NSW,639
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Vic,0
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Qld,386
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,WA,102
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,26
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Tas,0
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,ACT,68
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NT,102
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Aust,1323
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2023-24,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NSW,345
