table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2024-25,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,NSW,102.0
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2024-25,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,Vic,96.1
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2024-25,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,Qld,110.6
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2024-25,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,WA,101.6
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2024-25,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,SA,108.5
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2024-25,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,Tas,86.8
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2024-25,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,ACT,71.8
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2024-25,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,NT,93.4
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2024-25,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,Aust,102.0
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2023-24,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,NSW,96.4
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2023-24,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,Vic,96.4
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2023-24,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,Qld,99.7
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2023-24,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,WA,100.8
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2023-24,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,SA,93.4
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2023-24,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,Tas,75.0
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2023-24,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,ACT,77.5
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2023-24,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,NT,86.4
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2023-24,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,Aust,96.0
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2022-23,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,NSW,99.9
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2022-23,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,Vic,103.9
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2022-23,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,Qld,91.9
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2022-23,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,WA,108.7
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2022-23,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,SA,95.8
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2022-23,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,Tas,105.4
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2022-23,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,ACT,73.6
7A.27,"Clearance indicator – finalisations/lodgments, criminal and civil",2022-23,Clearance indicator,Clearance indicator; criminal and civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished),%,NT,96.9
