table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2024-25,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,NSW,8.1
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2024-25,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Vic,16.2
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2024-25,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Qld,16.9
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2024-25,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,WA,12.1
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2024-25,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,SA,5.8
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2024-25,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Tas,11.9
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2024-25,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,ACT,37.4
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2024-25,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,NT,19.6
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2024-25,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Aust,12.6
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2023-24,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,NSW,6.9
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2023-24,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Vic,17.9
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2023-24,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Qld,15.2
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2023-24,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,WA,11.6
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2023-24,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,SA,7.3
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2023-24,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Tas,6.7
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2023-24,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,ACT,35.8
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2023-24,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,NT,20.3
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2023-24,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Aust,12.5
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2022-23,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,NSW,6.7
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2022-23,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Vic,15.8
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2022-23,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Qld,13.3
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2022-23,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,WA,9.9
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2022-23,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,SA,8.3
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2022-23,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Tas,8.9
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2022-23,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,ACT,47.1
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2022-23,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,NT,21.8
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2022-23,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Aust,11.5
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2021-22,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,NSW,5.4
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2021-22,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Vic,16.5
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2021-22,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Qld,11.9
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2021-22,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,WA,13.1
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2021-22,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,SA,9.6
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2021-22,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Tas,10.3
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2021-22,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,ACT,30.9
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2021-22,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,NT,25.7
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2021-22,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Aust,11.5
7A.30,"Full-time equivalent (FTE) staff per 1,000 finalisations",2020-21,Full-time equivalent staff,Full-time equivalent staff per 1000 finalisations,All civil staff,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,NSW,5.9
