date,location,index_number,annual_pct_change,monthly_pct_change
2024-04,Adelaide,96.91,,
2024-04,Australia,96.4,,
2024-04,Brisbane,95.49,,
2024-04,Canberra,96.95,,
2024-04,Darwin,96.91,,
2024-04,Hobart,96.64,,
2024-04,Melbourne,96.51,,
2024-04,Perth,95.88,,
2024-04,Sydney,96.69,,
2024-05,Adelaide,96.63,,-0.3
2024-05,Australia,96.17,,-0.2
2024-05,Brisbane,95.42,,-0.1
2024-05,Canberra,96.67,,-0.3
2024-05,Darwin,96.89,,0
2024-05,Hobart,96.38,,-0.3
2024-05,Melbourne,96.51,,0
2024-05,Perth,96,,0.1
2024-05,Sydney,96.09,,-0.6
2024-06,Adelaide,96.58,,-0.1
2024-06,Australia,96.52,,0.4
2024-06,Brisbane,95.75,,0.3
2024-06,Canberra,96.85,,0.2
2024-06,Darwin,97.37,,0.5
2024-06,Hobart,96.44,,0.1
2024-06,Melbourne,96.81,,0.3
2024-06,Perth,95.96,,0
2024-06,Sydney,96.73,,0.7
2024-07,Adelaide,97.72,,1.2
2024-07,Australia,96.77,,0.3
2024-07,Brisbane,94.69,,-1.1
2024-07,Canberra,97.54,,0.7
2024-07,Darwin,97.42,,0.1
2024-07,Hobart,95.67,,-0.8
2024-07,Melbourne,97.19,,0.4
2024-07,Perth,96.18,,0.2
2024-07,Sydney,97.25,,0.5
2024-08,Adelaide,97.01,,-0.7
2024-08,Australia,96.49,,-0.3
2024-08,Brisbane,94.79,,0.1
2024-08,Canberra,97.01,,-0.5
2024-08,Darwin,96.92,,-0.5
2024-08,Hobart,95.27,,-0.4
2024-08,Melbourne,97.12,,-0.1
2024-08,Perth,95.12,,-1.1
2024-08,Sydney,97.04,,-0.2
2024-09,Adelaide,97.06,,0.1
2024-09,Australia,96.54,,0.1
2024-09,Brisbane,95.06,,0.3
2024-09,Canberra,97.06,,0.1
2024-09,Darwin,97.21,,0.3
2024-09,Hobart,95.45,,0.2
2024-09,Melbourne,97.4,,0.3
2024-09,Perth,95.2,,0.1
2024-09,Sydney,96.75,,-0.3
2024-10,Adelaide,96.5,,-0.6
2024-10,Australia,96.32,,-0.2
2024-10,Brisbane,95.23,,0.2
2024-10,Canberra,96.74,,-0.3
2024-10,Darwin,96.58,,-0.6
2024-10,Hobart,96.53,,1.1
2024-10,Melbourne,96.83,,-0.6
2024-10,Perth,95.69,,0.5
2024-10,Sydney,96.46,,-0.3
2024-11,Adelaide,96.96,,0.5
2024-11,Australia,96.68,,0.4
2024-11,Brisbane,95.11,,-0.1
2024-11,Canberra,97.05,,0.3
2024-11,Darwin,97,,0.4
2024-11,Hobart,96.81,,0.3
2024-11,Melbourne,97.2,,0.4
2024-11,Perth,96.81,,1.2
2024-11,Sydney,96.73,,0.3
2024-12,Adelaide,97.77,,0.8
2024-12,Australia,97.31,,0.7
2024-12,Brisbane,96.02,,1
2024-12,Canberra,97.78,,0.8
2024-12,Darwin,97.69,,0.7
2024-12,Hobart,97.47,,0.7
2024-12,Melbourne,97.95,,0.8
2024-12,Perth,96.1,,-0.7
2024-12,Sydney,97.57,,0.9
2025-01,Adelaide,97.86,,0.1
2025-01,Australia,97.58,,0.3
2025-01,Brisbane,96.94,,1
2025-01,Canberra,97.94,,0.2
2025-01,Darwin,97.76,,0.1
2025-01,Hobart,97.73,,0.3
2025-01,Melbourne,98.25,,0.3
2025-01,Perth,95.86,,-0.2
2025-01,Sydney,97.76,,0.2
2025-02,Adelaide,98.1,,0.2
2025-02,Australia,97.67,,0.1
2025-02,Brisbane,97.44,,0.5
2025-02,Canberra,97.97,,0
2025-02,Darwin,97.82,,0.1
2025-02,Hobart,97.52,,-0.2
2025-02,Melbourne,98.1,,-0.2
2025-02,Perth,96.45,,0.6
2025-02,Sydney,97.69,,-0.1
2025-03,Adelaide,97.93,,-0.2
2025-03,Australia,97.96,,0.3
2025-03,Brisbane,97.53,,0.1
2025-03,Canberra,98.16,,0.2
2025-03,Darwin,97.98,,0.2
2025-03,Hobart,97.87,,0.4
2025-03,Melbourne,98.03,,-0.1
2025-03,Perth,97.9,,1.5
2025-03,Sydney,98.09,,0.4
2025-04,Adelaide,98.84,2,0.9
2025-04,Australia,98.68,2.4,0.7
2025-04,Brisbane,98.17,2.8,0.7
2025-04,Canberra,98.77,1.9,0.6
2025-04,Darwin,98.6,1.7,0.6
2025-04,Hobart,98.41,1.8,0.6
2025-04,Melbourne,98.73,2.3,0.7
2025-04,Perth,98.99,3.2,1.1
2025-04,Sydney,98.72,2.1,0.6
2025-05,Adelaide,98.31,1.7,-0.5
2025-05,Australia,98.2,2.1,-0.5
2025-05,Brisbane,97.98,2.7,-0.2
2025-05,Canberra,98.23,1.6,-0.5
2025-05,Darwin,98.35,1.5,-0.3
2025-05,Hobart,97.6,1.3,-0.8
2025-05,Melbourne,98.23,1.8,-0.5
2025-05,Perth,98.46,2.6,-0.5
2025-05,Sydney,98.16,2.2,-0.6
2025-06,Adelaide,98.3,1.8,0
2025-06,Australia,98.34,1.9,0.1
2025-06,Brisbane,97.96,2.3,0
2025-06,Canberra,98.25,1.4,0
2025-06,Darwin,98.36,1,0
2025-06,Hobart,98.16,1.8,0.6
2025-06,Melbourne,98.48,1.7,0.3
2025-06,Perth,98.49,2.6,0
2025-06,Sydney,98.34,1.7,0.2
2025-07,Adelaide,99.4,1.7,1.1
