table,table_title,section,row_group,row_label,column,value
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,01 Homicide,Acquitted,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,01 Homicide,Guilty outcome,24
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,01 Homicide,Total adjudicated,24
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,01 Homicide,Transfer to other court levels,39
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,01 Homicide,Withdrawn by prosecution,8
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,01 Homicide,Total,73
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,011 Murder,Acquitted,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,011 Murder,Guilty outcome,6
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,011 Murder,Total adjudicated,6
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,011 Murder,Transfer to other court levels,12
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,011 Murder,Withdrawn by prosecution,3
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,011 Murder,Total,25
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,012 Attempted murder,Acquitted,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,012 Attempted murder,Guilty outcome,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,012 Attempted murder,Total adjudicated,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,012 Attempted murder,Transfer to other court levels,11
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,012 Attempted murder,Withdrawn by prosecution,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,012 Attempted murder,Total,14
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,013 Manslaughter or driving causing death,Acquitted,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,013 Manslaughter or driving causing death,Guilty outcome,15
