table,table_title,section,row_group,row_label,column,value
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,01 Homicide,Under 3 months - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,01 Homicide,3 to under 6 months - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,01 Homicide,6 to under 12 months - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,01 Homicide,1 to under 2 years - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,01 Homicide,2 to under 5 years - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,01 Homicide,5 to under 10 years - (no.),10
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,01 Homicide,10 years & over - (no.),9
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,01 Homicide,No further penalty due to time spent in custody - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,01 Homicide,Total - (no.),15
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,01 Homicide,Mean - (months),93.8
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,01 Homicide,Median - (months),89
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,02 Assault,Under 3 months - (no.),209
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,02 Assault,3 to under 6 months - (no.),213
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,02 Assault,6 to under 12 months - (no.),156
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,02 Assault,1 to under 2 years - (no.),52
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,02 Assault,2 to under 5 years - (no.),61
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,02 Assault,5 to under 10 years - (no.),27
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,02 Assault,10 years & over - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,02 Assault,No further penalty due to time spent in custody - (no.),193
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,02 Assault,Total - (no.),937
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,02 Assault,Mean - (months),11.2
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,02 Assault,Median - (months),5
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,03 Sexual offences,Under 3 months - (no.),8
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,03 Sexual offences,3 to under 6 months - (no.),3
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,03 Sexual offences,6 to under 12 months - (no.),5
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,03 Sexual offences,1 to under 2 years - (no.),42
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,03 Sexual offences,2 to under 5 years - (no.),76
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,03 Sexual offences,5 to under 10 years - (no.),56
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,03 Sexual offences,10 years & over - (no.),25
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,03 Sexual offences,No further penalty due to time spent in custody - (no.),15
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,03 Sexual offences,Total - (no.),237
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,03 Sexual offences,Mean - (months),55.8
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,03 Sexual offences,Median - (months),42
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,04 Harm or endanger persons,Under 3 months - (no.),10
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,04 Harm or endanger persons,3 to under 6 months - (no.),4
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,04 Harm or endanger persons,6 to under 12 months - (no.),3
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,04 Harm or endanger persons,1 to under 2 years - (no.),8
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,04 Harm or endanger persons,2 to under 5 years - (no.),3
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,04 Harm or endanger persons,5 to under 10 years - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,04 Harm or endanger persons,10 years & over - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,04 Harm or endanger persons,No further penalty due to time spent in custody - (no.),10
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,04 Harm or endanger persons,Total - (no.),50
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,04 Harm or endanger persons,Mean - (months),15.2
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,04 Harm or endanger persons,Median - (months),8.4
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,"05 Robbery, blackmail, and extortion",Under 3 months - (no.),3
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,"05 Robbery, blackmail, and extortion",3 to under 6 months - (no.),3
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,"05 Robbery, blackmail, and extortion",6 to under 12 months - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,"05 Robbery, blackmail, and extortion",1 to under 2 years - (no.),3
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,"05 Robbery, blackmail, and extortion",2 to under 5 years - (no.),41
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,"05 Robbery, blackmail, and extortion",5 to under 10 years - (no.),5
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,"05 Robbery, blackmail, and extortion",10 years & over - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,"05 Robbery, blackmail, and extortion",No further penalty due to time spent in custody - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,"05 Robbery, blackmail, and extortion",Total - (no.),57
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,"05 Robbery, blackmail, and extortion",Mean - (months),42.1
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,"05 Robbery, blackmail, and extortion",Median - (months),43.2
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,06 Burglary,Under 3 months - (no.),68
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,06 Burglary,3 to under 6 months - (no.),30
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,06 Burglary,6 to under 12 months - (no.),62
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,06 Burglary,1 to under 2 years - (no.),61
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,06 Burglary,2 to under 5 years - (no.),25
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,06 Burglary,5 to under 10 years - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,06 Burglary,10 years & over - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,06 Burglary,No further penalty due to time spent in custody - (no.),122
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,06 Burglary,Total - (no.),387
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,06 Burglary,Mean - (months),10.8
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,06 Burglary,Median - (months),8.4
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,07 Theft,Under 3 months - (no.),215
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,07 Theft,3 to under 6 months - (no.),70
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,07 Theft,6 to under 12 months - (no.),43
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,07 Theft,1 to under 2 years - (no.),16
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,07 Theft,2 to under 5 years - (no.),4
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,07 Theft,5 to under 10 years - (no.),3
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,07 Theft,10 years & over - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,07 Theft,No further penalty due to time spent in custody - (no.),280
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,07 Theft,Total - (no.),664
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,07 Theft,Mean - (months),4.7
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,07 Theft,Median - (months),2.8
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,08 Fraud and related offences,Under 3 months - (no.),19
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,08 Fraud and related offences,3 to under 6 months - (no.),5
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,08 Fraud and related offences,6 to under 12 months - (no.),7
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,08 Fraud and related offences,1 to under 2 years - (no.),3
