table,table_title,source_file,geography,rows,output_file
Table 39,"Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)",7-defendants-finalised-south-australia-tables-39-to-44.xlsx,South Australia,2715,table-39-summary-characteristics-by-court-level.csv
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",7-defendants-finalised-south-australia-tables-39-to-44.xlsx,South Australia,336,table-40-principal-offence-by-method-of-finalisation.csv
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",7-defendants-finalised-south-australia-tables-39-to-44.xlsx,South Australia - All Courts,684,table-41-summary-outcomes-all-courts.csv
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",7-defendants-finalised-south-australia-tables-39-to-44.xlsx,South Australia - Higher Courts,266,table-42-summary-outcomes-higher-courts.csv
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",7-defendants-finalised-south-australia-tables-39-to-44.xlsx,South Australia - Magistrates' Courts,684,table-43-summary-outcomes-magistrates-courts.csv
Table 44,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2023–24 to 2024–25",7-defendants-finalised-south-australia-tables-39-to-44.xlsx,South Australia - Children's Courts,378,table-44-summary-outcomes-childrens-courts.csv
Table 78,"Defendants with a guilty outcome, Selected principal sentence by sentence length and court level, 2024–25",13-sentence-length-and-fine-amount-australia-tables-78-to-84.xlsx,Australia (national totals only - no state breakdown in source),224,table-78-sentence-length-by-court-level-australia.csv
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",13-sentence-length-and-fine-amount-australia-tables-78-to-84.xlsx,All states/territories,2123,table-79-custody-sentence-length-by-offence-all-courts-all-states.csv
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",13-sentence-length-and-fine-amount-australia-tables-78-to-84.xlsx,South Australia (filtered),209,table-79-custody-sentence-length-by-offence-all-courts-south-australia.csv
Table 80,"Defendants sentenced to custody in a correctional institution – Higher Courts, Selected principal offence by sentence length, States and territories, 2024–25",13-sentence-length-and-fine-amount-australia-tables-78-to-84.xlsx,All states/territories,1380,table-80-custody-sentence-length-by-offence-higher-courts-all-states.csv
Table 80,"Defendants sentenced to custody in a correctional institution – Higher Courts, Selected principal offence by sentence length, States and territories, 2024–25",13-sentence-length-and-fine-amount-australia-tables-78-to-84.xlsx,South Australia (filtered),140,table-80-custody-sentence-length-by-offence-higher-courts-south-australia.csv
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",13-sentence-length-and-fine-amount-australia-tables-78-to-84.xlsx,All states/territories,1269,table-81-custody-sentence-length-by-offence-magistrates-courts-all-states.csv
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",13-sentence-length-and-fine-amount-australia-tables-78-to-84.xlsx,South Australia (filtered),126,table-81-custody-sentence-length-by-offence-magistrates-courts-south-australia.csv
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",13-sentence-length-and-fine-amount-australia-tables-78-to-84.xlsx,All states/territories,592,table-82-custody-sentence-length-by-offence-childrens-courts-all-states.csv
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",13-sentence-length-and-fine-amount-australia-tables-78-to-84.xlsx,South Australia (filtered),64,table-82-custody-sentence-length-by-offence-childrens-courts-south-australia.csv
Table 83,"Defendants sentenced to community service / work, Selected principal offence by sentence length and court level, States and territories, 2024–25",13-sentence-length-and-fine-amount-australia-tables-78-to-84.xlsx,All states/territories,1950,table-83-community-service-hours-by-offence-and-court-level-all-states.csv
Table 83,"Defendants sentenced to community service / work, Selected principal offence by sentence length and court level, States and territories, 2024–25",13-sentence-length-and-fine-amount-australia-tables-78-to-84.xlsx,South Australia (filtered),195,table-83-community-service-hours-by-offence-and-court-level-south-australia.csv
Table 84,"Defendants given a fine, Selected principal offence by value of fine and court level, States and territories, 2024–25",13-sentence-length-and-fine-amount-australia-tables-78-to-84.xlsx,All states/territories,1768,table-84-fine-amount-by-offence-and-court-level-all-states.csv
Table 84,"Defendants given a fine, Selected principal offence by value of fine and court level, States and territories, 2024–25",13-sentence-length-and-fine-amount-australia-tables-78-to-84.xlsx,South Australia (filtered),182,table-84-fine-amount-by-offence-and-court-level-south-australia.csv
