state,venue_or_event_type,measure,value
NSW,Libraries or archives,estimate_000,1206.8
Vic.,Libraries or archives,estimate_000,953.3
Qld,Libraries or archives,estimate_000,941.3
SA,Libraries or archives,estimate_000,358.9
WA,Libraries or archives,estimate_000,494.9
Tas.,Libraries or archives,estimate_000,106.4
NT,Libraries or archives,estimate_000,32.1
ACT,Libraries or archives,estimate_000,66.8
Australia,Libraries or archives,estimate_000,4155.9
NSW,Art galleries,estimate_000,1061.8
Vic.,Art galleries,estimate_000,985
Qld,Art galleries,estimate_000,783.4
SA,Art galleries,estimate_000,267.2
WA,Art galleries,estimate_000,371
Tas.,Art galleries,estimate_000,105
NT,Art galleries,estimate_000,34.7
ACT,Art galleries,estimate_000,108.7
Australia,Art galleries,estimate_000,3720.6
NSW,Museums,estimate_000,939.1
Vic.,Museums,estimate_000,709.5
Qld,Museums,estimate_000,745.1
SA,Museums,estimate_000,277.4
WA,Museums,estimate_000,582
Tas.,Museums,estimate_000,111.9
NT,Museums,estimate_000,45.2
ACT,Museums,estimate_000,104.1
Australia,Museums,estimate_000,3506.3
NSW,Cinemas,estimate_000,2830
Vic.,Cinemas,estimate_000,2219
Qld,Cinemas,estimate_000,1828.3
SA,Cinemas,estimate_000,651.3
WA,Cinemas,estimate_000,1009.1
Tas.,Cinemas,estimate_000,192.5
NT,Cinemas,estimate_000,66.8
ACT,Cinemas,estimate_000,159.4
Australia,Cinemas,estimate_000,8954.2
NSW,Live music concerts or performances,estimate_000,1002
Vic.,Live music concerts or performances,estimate_000,844.5
Qld,Live music concerts or performances,estimate_000,761.8
SA,Live music concerts or performances,estimate_000,277.9
WA,Live music concerts or performances,estimate_000,478.4
Tas.,Live music concerts or performances,estimate_000,109.5
NT,Live music concerts or performances,estimate_000,39.3
ACT,Live music concerts or performances,estimate_000,59
Australia,Live music concerts or performances,estimate_000,3578.7
NSW,Musicals or operas,estimate_000,501.1
Vic.,Musicals or operas,estimate_000,298.4
Qld,Musicals or operas,estimate_000,300.4
SA,Musicals or operas,estimate_000,80.8
WA,Musicals or operas,estimate_000,179
Tas.,Musicals or operas,estimate_000,27
NT,Musicals or operas,estimate_000,6.1
ACT,Musicals or operas,estimate_000,32.4
Australia,Musicals or operas,estimate_000,1427
NSW,Theatre performances,estimate_000,495.2
Vic.,Theatre performances,estimate_000,361.5
Qld,Theatre performances,estimate_000,345
SA,Theatre performances,estimate_000,125
WA,Theatre performances,estimate_000,203.3
Tas.,Theatre performances,estimate_000,47.4
NT,Theatre performances,estimate_000,11.1
ACT,Theatre performances,estimate_000,37.7
Australia,Theatre performances,estimate_000,1624
NSW,Dance performances,estimate_000,281.5
Vic.,Dance performances,estimate_000,187.8
Qld,Dance performances,estimate_000,256.5
SA,Dance performances,estimate_000,96.9
WA,Dance performances,estimate_000,168.1
Tas.,Dance performances,estimate_000,25
NT,Dance performances,estimate_000,13.7
ACT,Dance performances,estimate_000,22.4
Australia,Dance performances,estimate_000,1045.9
NSW,Other performing arts,estimate_000,414.7
Vic.,Other performing arts,estimate_000,396.4
Qld,Other performing arts,estimate_000,344.9
SA,Other performing arts,estimate_000,228.4
WA,Other performing arts,estimate_000,261.8
Tas.,Other performing arts,estimate_000,42.8
NT,Other performing arts,estimate_000,22.9
ACT,Other performing arts,estimate_000,36
Australia,Other performing arts,estimate_000,1747.7
NSW,Total attending at least one performing arts event,estimate_000,1731.1
Vic.,Total attending at least one performing arts event,estimate_000,1391.7
Qld,Total attending at least one performing arts event,estimate_000,1287.3
SA,Total attending at least one performing arts event,estimate_000,494.6
WA,Total attending at least one performing arts event,estimate_000,778
Tas.,Total attending at least one performing arts event,estimate_000,164.9
NT,Total attending at least one performing arts event,estimate_000,57
ACT,Total attending at least one performing arts event,estimate_000,122.9
Australia,Total attending at least one performing arts event,estimate_000,6023.2
NSW,Total attending at least one venue or event,estimate_000,3977.8
Vic.,Total attending at least one venue or event,estimate_000,3198.6
Qld,Total attending at least one venue or event,estimate_000,2680.3
SA,Total attending at least one venue or event,estimate_000,986.4
WA,Total attending at least one venue or event,estimate_000,1494
Tas.,Total attending at least one venue or event,estimate_000,315.7
NT,Total attending at least one venue or event,estimate_000,101
ACT,Total attending at least one venue or event,estimate_000,250.6
Australia,Total attending at least one venue or event,estimate_000,13005.5
NSW,Total population aged 15 years and over,estimate_000,6430.8
Vic.,Total population aged 15 years and over,estimate_000,5253.7
Qld,Total population aged 15 years and over,estimate_000,4135.7
SA,Total population aged 15 years and over,estimate_000,1454.1
WA,Total population aged 15 years and over,estimate_000,2154.7
Tas.,Total population aged 15 years and over,estimate_000,464.1
NT,Total population aged 15 years and over,estimate_000,146.7
ACT,Total population aged 15 years and over,estimate_000,350
Australia,Total population aged 15 years and over,estimate_000,20390
NSW,Libraries or archives,attendance_rate_pct,18.8
Vic.,Libraries or archives,attendance_rate_pct,18.1
Qld,Libraries or archives,attendance_rate_pct,22.8
SA,Libraries or archives,attendance_rate_pct,24.7
WA,Libraries or archives,attendance_rate_pct,23
Tas.,Libraries or archives,attendance_rate_pct,22.9
NT,Libraries or archives,attendance_rate_pct,21.9
ACT,Libraries or archives,attendance_rate_pct,19.1
Australia,Libraries or archives,attendance_rate_pct,20.4
NSW,Art galleries,attendance_rate_pct,16.5
Vic.,Art galleries,attendance_rate_pct,18.7
Qld,Art galleries,attendance_rate_pct,18.9
SA,Art galleries,attendance_rate_pct,18.4
WA,Art galleries,attendance_rate_pct,17.2
Tas.,Art galleries,attendance_rate_pct,22.6
NT,Art galleries,attendance_rate_pct,23.7
ACT,Art galleries,attendance_rate_pct,31.1
Australia,Art galleries,attendance_rate_pct,18.2
NSW,Museums,attendance_rate_pct,14.6
Vic.,Museums,attendance_rate_pct,13.5
Qld,Museums,attendance_rate_pct,18
SA,Museums,attendance_rate_pct,19.1
WA,Museums,attendance_rate_pct,27
Tas.,Museums,attendance_rate_pct,24.1
NT,Museums,attendance_rate_pct,30.8
ACT,Museums,attendance_rate_pct,29.7
Australia,Museums,attendance_rate_pct,17.2
NSW,Cinemas,attendance_rate_pct,44
Vic.,Cinemas,attendance_rate_pct,42.2
Qld,Cinemas,attendance_rate_pct,44.2
SA,Cinemas,attendance_rate_pct,44.8
WA,Cinemas,attendance_rate_pct,46.8
Tas.,Cinemas,attendance_rate_pct,41.5
NT,Cinemas,attendance_rate_pct,45.5
ACT,Cinemas,attendance_rate_pct,45.5
Australia,Cinemas,attendance_rate_pct,43.9
NSW,Live music concerts or performances,attendance_rate_pct,15.6
Vic.,Live music concerts or performances,attendance_rate_pct,16.1
Qld,Live music concerts or performances,attendance_rate_pct,18.4
SA,Live music concerts or performances,attendance_rate_pct,19.1
WA,Live music concerts or performances,attendance_rate_pct,22.2
Tas.,Live music concerts or performances,attendance_rate_pct,23.6
NT,Live music concerts or performances,attendance_rate_pct,26.8
