Cybercrime type,Individual / business,Variable,2024 (%),2025 (%),Impacts,Statistically significant difference (2024 vs 2025)
Online abuse and harassment only,Individual,Practical,26.2,23.5,"Practical impacts include: 
•	Respondent found it harder to know which information to trust online
•	Respondent less confident using the internet for personal affairs (eg banking, purchasing items)
•	Respondent had to change personal, banking and/or contact information
•	Respondent’s studies were negatively impacted",No
Malware only,Individual,Practical,26.7,27.1,"Practical impacts include: 
•	Respondent found it harder to know which information to trust online
•	Respondent less confident using the internet for personal affairs (eg banking, purchasing items)
•	Respondent had to change personal, banking and/or contact information
•	Respondent’s studies were negatively impacted",No
Identity crime and misuse only,Individual,Practical,35.1,38.6,"Practical impacts include: 
•	Respondent found it harder to know which information to trust online
•	Respondent less confident using the internet for personal affairs (eg banking, purchasing items)
•	Respondent had to change personal, banking and/or contact information
•	Respondent’s studies were negatively impacted",No
Fraud and scams only,Individual,Practical,47.3,49.1,"Practical impacts include: 
•	Respondent found it harder to know which information to trust online
•	Respondent less confident using the internet for personal affairs (eg banking, purchasing items)
•	Respondent had to change personal, banking and/or contact information
•	Respondent’s studies were negatively impacted",No
All cybercrime ,Individual,Practical,39.9,40.3,"Practical impacts include: 
•	Respondent found it harder to know which information to trust online
•	Respondent less confident using the internet for personal affairs (eg banking, purchasing items)
•	Respondent had to change personal, banking and/or contact information
•	Respondent’s studies were negatively impacted",No
Online abuse and harassment only,Individual,Social,22.0,22.4,"Social impacts include: 
•	Respondent was embarrassed
•	Respondent lost trust in other people
•	Respondent became more socially isolated
•	Respondent stated their relationship with their partner had been negatively impacted
•	Respondent stated their relationships with family and friends had been negatively impacted
•	Respondent felt their reputation was damaged",No
Malware only,Individual,Social,21.4,14.8,"Social impacts include: 
•	Respondent was embarrassed
•	Respondent lost trust in other people
•	Respondent became more socially isolated
•	Respondent stated their relationship with their partner had been negatively impacted
•	Respondent stated their relationships with family and friends had been negatively impacted
•	Respondent felt their reputation was damaged",p<.01
Identity crime and misuse only,Individual,Social,11.2,12.7,"Social impacts include: 
•	Respondent was embarrassed
•	Respondent lost trust in other people
•	Respondent became more socially isolated
•	Respondent stated their relationship with their partner had been negatively impacted
•	Respondent stated their relationships with family and friends had been negatively impacted
•	Respondent felt their reputation was damaged",No
Fraud and scams only,Individual,Social,40.7,38.7,"Social impacts include: 
•	Respondent was embarrassed
•	Respondent lost trust in other people
•	Respondent became more socially isolated
•	Respondent stated their relationship with their partner had been negatively impacted
•	Respondent stated their relationships with family and friends had been negatively impacted
•	Respondent felt their reputation was damaged",
All cybercrime ,Individual,Social,26.8,26.1,"Social impacts include: 
•	Respondent was embarrassed
•	Respondent lost trust in other people
•	Respondent became more socially isolated
•	Respondent stated their relationship with their partner had been negatively impacted
•	Respondent stated their relationships with family and friends had been negatively impacted
•	Respondent felt their reputation was damaged",No
Online abuse and harassment only,Individual,Health,14.1,16.0,"Health impacts include: 
•	Respondent experienced mental or emotional distress
•	Respondent experienced difficulty sleeping
•	Respondent stated their overall physical health and wellbeing had deteriorated
•	Respondent had to seek psychological or counselling treatment
•	Respondent increased their consumption of alcohol",No
Malware only,Individual,Health,14.1,9.6,"Health impacts include: 
•	Respondent experienced mental or emotional distress
•	Respondent experienced difficulty sleeping
•	Respondent stated their overall physical health and wellbeing had deteriorated
•	Respondent had to seek psychological or counselling treatment
•	Respondent increased their consumption of alcohol",p<.05
Identity crime and misuse only,Individual,Health,8.2,9.7,"Health impacts include: 
•	Respondent experienced mental or emotional distress
•	Respondent experienced difficulty sleeping
•	Respondent stated their overall physical health and wellbeing had deteriorated
•	Respondent had to seek psychological or counselling treatment
•	Respondent increased their consumption of alcohol",No
Fraud and scams only,Individual,Health,17.0,17.1,"Health impacts include: 
•	Respondent experienced mental or emotional distress
•	Respondent experienced difficulty sleeping
•	Respondent stated their overall physical health and wellbeing had deteriorated
•	Respondent had to seek psychological or counselling treatment
•	Respondent increased their consumption of alcohol",No
All cybercrime ,Individual,Health,19.6,19.5,"Health impacts include: 
•	Respondent experienced mental or emotional distress
•	Respondent experienced difficulty sleeping
•	Respondent stated their overall physical health and wellbeing had deteriorated
•	Respondent had to seek psychological or counselling treatment
•	Respondent increased their consumption of alcohol",No
Online abuse and harassment only,Individual,Financial,6.2,7.3,"Financial impacts include:
•	Respondent experienced an increase in financial stress
•	Respondent had to pay for computer, phone or other hardware repairs or replacement
•	Respondent had to buy new software
•	Respondent had to borrow money from family and friends",No
Malware only,Individual,Financial,11.4,11.6,"Financial impacts include:
•	Respondent experienced an increase in financial stress
•	Respondent had to pay for computer, phone or other hardware repairs or replacement
•	Respondent had to buy new software
•	Respondent had to borrow money from family and friends",No
Identity crime and misuse only,Individual,Financial,8.6,10.7,"Financial impacts include:
•	Respondent experienced an increase in financial stress
•	Respondent had to pay for computer, phone or other hardware repairs or replacement
•	Respondent had to buy new software
•	Respondent had to borrow money from family and friends",No
Fraud and scams only,Individual,Financial,13.3,14.8,"Financial impacts include:
•	Respondent experienced an increase in financial stress
•	Respondent had to pay for computer, phone or other hardware repairs or replacement
•	Respondent had to buy new software
•	Respondent had to borrow money from family and friends",No
All cybercrime ,Individual,Financial,16.7,17.1,"Financial impacts include:
•	Respondent experienced an increase in financial stress
•	Respondent had to pay for computer, phone or other hardware repairs or replacement
•	Respondent had to buy new software
•	Respondent had to borrow money from family and friends",No
Online abuse and harassment only,Individual,Legal,1.6,1.1,"Legal impacts include:
•	Respondent had to commence legal action
•	Respondent had been in trouble with the police",No
Malware only,Individual,Legal,0.5,0.3,"Legal impacts include:
•	Respondent had to commence legal action
•	Respondent had been in trouble with the police",No
Identity crime and misuse only,Individual,Legal,0.5,0.7,"Legal impacts include:
•	Respondent had to commence legal action
•	Respondent had been in trouble with the police",No
Fraud and scams only,Individual,Legal,0.3,0.4,"Legal impacts include:
•	Respondent had to commence legal action
•	Respondent had been in trouble with the police",No
All cybercrime ,Individual,Legal,2.5,2.4,"Legal impacts include:
•	Respondent had to commence legal action
•	Respondent had been in trouble with the police",No
Online abuse and harassment only,Individual,Any harm,40.8,41.0,,No
Malware only,Individual,Any harm,42.0,39.9,,No
Identity crime and misuse only,Individual,Any harm,42.9,49.3,,p<.05
Fraud and scams only,Individual,Any harm,68.1,70.5,,No
All cybercrime ,Individual,Any harm,56.8,58.8,,No
Online abuse and harassment only,Business,Disruption to everyday business function,10.2,11.3,"Disruption to everyday business function includes:
•	The business spent time repairing and improving systems
•	Had to change the business banking and/or contact information
•	Disruption to operations and/or trading (eg inability to carry out transactions, websites not functioning)
•	Difficulty accessing online accounts and resources (eg bank accounts, utilities, email)",
Malware only,Business,Disruption to everyday business function,18.0,12.4,"Disruption to everyday business function includes:
•	The business spent time repairing and improving systems
•	Had to change the business banking and/or contact information
•	Disruption to operations and/or trading (eg inability to carry out transactions, websites not functioning)
•	Difficulty accessing online accounts and resources (eg bank accounts, utilities, email)",
Identity crime and misuse only,Business,Disruption to everyday business function,11.6,6.3,"Disruption to everyday business function includes:
•	The business spent time repairing and improving systems
•	Had to change the business banking and/or contact information
•	Disruption to operations and/or trading (eg inability to carry out transactions, websites not functioning)
•	Difficulty accessing online accounts and resources (eg bank accounts, utilities, email)",
