Tab,Type of online behaviour,Type of help-seeking ,Gender,Age,Small-to-medium business owner status,Prevalence in 2025,Prevalence in 2025 (comparable to 2024),Prevalence in 2024,Statistically significant difference (2024 vs 2025)
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Any help-seeking,Male,All ages,All,70.0,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Any help-seeking,Female,All ages,All,78.2,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Any help-seeking,All persons,18 – 34,All,83.0,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Any help-seeking,All persons,35 – 64,All,69.7,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Any help-seeking,All persons,65+,All,60.6,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Any help-seeking,All persons,All ages,SME owner,82.9,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Any help-seeking,All persons,All ages,Not an SME owner,71.6,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Any help-seeking,All persons,All ages,All,73.9,,,
L1 - Help-seeking following most recent incident (%),Malware,Any help-seeking,Male,All ages,All,65.6,,,
L1 - Help-seeking following most recent incident (%),Malware,Any help-seeking,Female,All ages,All,67.2,,,
L1 - Help-seeking following most recent incident (%),Malware,Any help-seeking,All persons,18 – 34,All,74.4,,,
L1 - Help-seeking following most recent incident (%),Malware,Any help-seeking,All persons,35 – 64,All,62.1,,,
L1 - Help-seeking following most recent incident (%),Malware,Any help-seeking,All persons,65+,All,57.3,,,
L1 - Help-seeking following most recent incident (%),Malware,Any help-seeking,All persons,All ages,SME owner,80.0,,,
L1 - Help-seeking following most recent incident (%),Malware,Any help-seeking,All persons,All ages,Not an SME owner,63.0,,,
L1 - Help-seeking following most recent incident (%),Malware,Any help-seeking,All persons,All ages,All,66.4,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Any help-seeking,Male,All ages,All,88.3,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Any help-seeking,Female,All ages,All,88.5,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Any help-seeking,All persons,18 – 34,All,89.7,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Any help-seeking,All persons,35 – 64,All,88.0,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Any help-seeking,All persons,65+,All,86.1,,,
