Tab,Type of online behaviour,Sub-tab,Variable,Technology knowledge and ability level,Gender,Age,Small-to-medium business owner status,2024 adjusted estimates (%),2025 adjusted estimates (%),Statistically significant difference (2024 vs 2025)
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Checked privacy settings on social media accounts,,Male,All ages,All,34.0,33.2,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Checked privacy settings on social media accounts,,Female,All ages,All,42.6,39.7,p<.01
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Checked privacy settings on social media accounts,,All persons,18 – 34,All,39.2,37.9,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Checked privacy settings on social media accounts,,All persons,35 – 64,All,43.2,40.8,p<.05
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Checked privacy settings on social media accounts,,All persons,65+,All,26.8,26.5,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Checked privacy settings on social media accounts,,All persons,All ages,SME owner,36.6,33.7,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Checked privacy settings on social media accounts,,All persons,All ages,Not an SME owner,38.8,37.1,p<.05
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Checked privacy settings on social media accounts,,All persons,All ages,All,38.5,36.6,p<.01
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Generally browsed in incognito mode,,Male,All ages,All,18.5,17.7,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Generally browsed in incognito mode,,Female,All ages,All,13.3,12.7,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Generally browsed in incognito mode,,All persons,18 – 34,All,24.4,22.7,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Generally browsed in incognito mode,,All persons,35 – 64,All,14.1,13.9,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Generally browsed in incognito mode,,All persons,65+,All,8.1,8.0,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Generally browsed in incognito mode,,All persons,All ages,SME owner,15.6,15.1,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Generally browsed in incognito mode,,All persons,All ages,Not an SME owner,16.0,15.3,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Generally browsed in incognito mode,,All persons,All ages,All,15.9,15.2,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Used a virtual private network (VPN) when using the internet,,Male,All ages,All,24.5,22.9,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Used a virtual private network (VPN) when using the internet,,Female,All ages,All,15.1,15.3,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Used a virtual private network (VPN) when using the internet,,All persons,18 – 34,All,18.3,16.1,p<.05
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Used a virtual private network (VPN) when using the internet,,All persons,35 – 64,All,21.9,21.0,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Used a virtual private network (VPN) when using the internet,,All persons,65+,All,17.3,18.9,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Used a virtual private network (VPN) when using the internet,,All persons,All ages,SME owner,19.9,18.2,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Used a virtual private network (VPN) when using the internet,,All persons,All ages,Not an SME owner,19.9,19.2,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Used a virtual private network (VPN) when using the internet,,All persons,All ages,All,19.8,19.1,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Changed their privacy settings on social media accounts from the default to a more restricted setting,,Male,All ages,All,30.1,26.6,p<.001
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Changed their privacy settings on social media accounts from the default to a more restricted setting,,Female,All ages,All,33.9,33.0,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Changed their privacy settings on social media accounts from the default to a more restricted setting,,All persons,18 – 34,All,34.6,29.2,p<.001
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Changed their privacy settings on social media accounts from the default to a more restricted setting,,All persons,35 – 64,All,35.7,34.7,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Changed their privacy settings on social media accounts from the default to a more restricted setting,,All persons,65+,All,20.9,21.6,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Changed their privacy settings on social media accounts from the default to a more restricted setting,,All persons,All ages,SME owner,30.2,27.9,No
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Changed their privacy settings on social media accounts from the default to a more restricted setting,,All persons,All ages,Not an SME owner,32.6,30.4,p<.01
"L1 - Security, privacy and unsafe online behaviours",Privacy behaviours,Tab 1,Changed their privacy settings on social media accounts from the default to a more restricted setting,,All persons,All ages,All,32.2,30.0,p<.01
