Tab,Main cybercrime type,Cybercrime subcategory,Cybercrime incident type,Gender,Age,Small-to-medium business owner status,2025 prevalence (%),2024 adjusted estimates (%),2025 adjusted estimates (%),Statistically significant difference (2024 vs 2025)
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,18 – 34,SME owner,51.3,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,35 – 64,SME owner,29.6,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,65+,SME owner,27.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,All ages,SME owner,37.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,18 – 34,Not an SME owner,32.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,35 – 64,Not an SME owner,21.6,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,65+,Not an SME owner,20.4,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,All ages,Not an SME owner,24.4,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,18 – 34,All,35.5,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,35 – 64,All,23.3,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,65+,All,21.1,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,All ages,All,26.6,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,18 – 34,SME owner,51.7,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,35 – 64,SME owner,28.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,65+,SME owner,10.4,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,All ages,SME owner,37.4,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,18 – 34,Not an SME owner,31.3,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,35 – 64,Not an SME owner,19.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,65+,Not an SME owner,15.4,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,All ages,Not an SME owner,21.6,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,18 – 34,All,33.9,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,35 – 64,All,20.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,65+,All,15.7,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,All ages,All,23.2,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,18 – 34,SME owner,51.5,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,35 – 64,SME owner,29.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,65+,SME owner,27.2,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,All ages,SME owner,37.1,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,18 – 34,Not an SME owner,32.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,35 – 64,Not an SME owner,20.2,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,65+,Not an SME owner,17.7,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,All ages,Not an SME owner,23.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,18 – 34,All,35.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,35 – 64,All,21.7,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,65+,All,18.3,,,
