location_id,location_name,location_type,location_type_label,state_name,disaster_name,disaster_agrn,payment_type_name,date_of_data,eligible_claims,ineligible_claims,finalised_claims,cancelled_claims,withdrawn_claims,onhand_claims,incoming_claims,total_received_claims,applications_received,dollars_granted,dollars_paid
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1011 - South East Queensland Rainfall and Flooding (22 February - 5 April 2022),1011,Disaster Recovery Allowance,2022-12-29,314,897,1211,1539,3181,<20,5931,5931,5931,1340191.33,1342178.89
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1011 - South East Queensland Rainfall and Flooding (22 February - 5 April 2022),1011,Disaster Recovery Payment,2026-03-27,10089,25094,35183,12640,49293,<20,97116,97116,97116,10967600.00,10958736.18
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1011 - South East Queensland Rainfall and Flooding (22 February - 5 April 2022),1011,New Zealand disaster recovery allowance,2025-10-16,<20,<20,27,<20,<20,<20,38,38,38,31004.68,31004.68
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1011 - South East Queensland Rainfall and Flooding (22 February - 5 April 2022),1011,New Zealand Disaster recovery payment,2023-02-01,210,1696,1906,1096,3110,<20,6112,6112,6112,232000.00,231000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,Australian Government Disaster Recovery Allowance Supplement,2023-08-21,,,8121,,,,,,<20,4768200.00,4758995.78
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,Australian Government Disaster Recovery Payment Supplement,2023-05-25,,,12613,,,,,,<20,13643950.00,13494013.53
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,Disaster Recovery Allowance,2023-06-01,619,1590,2209,3007,4138,<20,9354,9354,9354,2526001.77,2511656.52
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,Disaster Recovery Payment,2025-12-29,14436,48011,62447,17440,51836,<20,131723,131723,131723,15683149.86,15619368.94
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,New Zealand disaster recovery allowance,2025-10-17,23,32,55,113,<20,<20,168,168,168,92095.43,92095.43
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,New Zealand Disaster recovery payment,2023-08-21,208,1975,2183,1137,2847,<20,6167,6167,6167,228800.00,225800.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,New Zealand Disaster Recovery Payment Supplement,2023-01-16,,,97,,,,,,<20,101800.00,100400.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),1025,Disaster Recovery Allowance,2024-03-04,276,1268,1544,1675,1631,<20,4850,4850,4850,1435728.03,1425892.60
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),1025,Disaster Recovery Payment,2025-05-26,10651,36397,47048,8993,35060,<20,91101,91101,91101,11513475.00,11466856.19
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),1025,New Zealand disaster recovery allowance,2024-03-01,<20,23,25,<20,<20,<20,38,38,38,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),1025,New Zealand Disaster recovery payment,2023-05-27,182,1430,1612,644,2320,<20,4576,4576,4576,201800.00,200800.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,Disaster Recovery Allowance,2023-08-11,165,1330,1495,2603,1053,<20,5151,5151,5151,633357.90,632689.50
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,Disaster Recovery Payment,2025-05-26,1428,30837,32265,8625,38738,<20,79628,79628,79628,1702200.00,1698200.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,New Zealand disaster recovery allowance,2023-11-24,<20,48,50,21,<20,<20,71,71,71,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,New Zealand Disaster recovery payment,2024-10-15,83,566,649,427,1223,<20,2299,2299,2299,91600.00,91600.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1037 - Victorian Floods (commencing 6 October 2022),1037,Disaster Recovery Allowance,2025-03-31,192,322,514,832,454,<20,1800,1800,1800,772897.17,769316.46
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1037 - Victorian Floods (commencing 6 October 2022),1037,Disaster Recovery Payment,2024-05-03,3413,12470,15883,5393,28812,<20,50088,50088,50088,3715100.00,3698013.43
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1037 - Victorian Floods (commencing 6 October 2022),1037,New Zealand disaster recovery allowance,2023-09-28,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1037 - Victorian Floods (commencing 6 October 2022),1037,New Zealand Disaster recovery payment,2023-07-28,81,474,555,408,1396,<20,2359,2359,2359,92200.00,92200.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1038 - Severe Weather Event (commencing 13 October 2022),1038,Disaster Recovery Allowance,2023-06-05,<20,38,46,83,76,<20,205,205,205,42847.87,42847.87
