year,category,sub_category,unit,value
2019–20,Method of contact,SMS Interactions,Number,n.a.
2019–20,Method of contact,Telephone,Number,231158
2019–20,Method of contact,Video Chats,Number,n.a.
2019–20,Method of contact,Web chats,Number,36711
2019–20,Contact's gender ,Female,Number,192790
2019–20,Contact's gender ,Male,Number,17809
2019–20,Contact's gender ,Other,Number,57270
2019–20,Contacts answered,Total contacts,Number,267869
2020–21,Method of contact,SMS Interactions,Number,n.a.
2020–21,Method of contact,Telephone,Number,240707
2020–21,Method of contact,Video Chats,Number,n.a.
2020–21,Method of contact,Web chats,Number,45839
2020–21,Contact's gender ,Female,Number,195241
2020–21,Contact's gender ,Male,Number,20693
2020–21,Contact's gender ,Other,Number,70612
2020–21,Contacts answered,Total contacts,Number,286546
2021–22,Method of contact,SMS Interactions,Number,n.a.
2021–22,Method of contact,Telephone,Number,201191
2021–22,Method of contact,Video Chats,Number,n.a.
2021–22,Method of contact,Web chats,Number,43436
2021–22,Contact's gender ,Female,Number,169559
2021–22,Contact's gender ,Male,Number,17402
2021–22,Contact's gender ,Other,Number,57666
2021–22,Contacts answered,Total contacts,Number,244627
2022-23,Method of contact,SMS Interactions,Number,n.a.
2022-23,Method of contact,Telephone,Number,226171
2022-23,Method of contact,Video Chats,Number,n.a.
2022-23,Method of contact,Web chats,Number,42458
2022-23,Contact's gender,Female,Number,108928
2022-23,Contact's gender,Male,Number,13378
2022-23,Contact's gender,Other,Number,71177
2022-23,Contacts answered,Total contacts,Number,268629
2023-24,Method of contact,SMS Interactions,Number,5075
2023-24,Method of contact,Telephone,Number,241743
2023-24,Method of contact,Video Chats,Number,37
2023-24,Method of contact,Web chats,Number,47388
2023-24,Contact's gender,Female,Number,62705
2023-24,Contact's gender,Male,Number,8784
2023-24,Contact's gender,Other,Number,162025
2023-24,Contacts answered,Total contacts,Number,294243
