sex,year,unit,value
All children,2019–20,Number,14323
All children,2020–21,Number,14596
All children,2021–22,Number,13553
All children,2022–23,Number,13703
All children,2023–24,Number,12965
All children,2019–20,"Rate (number per 1,000 children)",37.6
All children,2020–21,"Rate (number per 1,000 children)",38
All children,2021–22,"Rate (number per 1,000 children)",35
All children,2022–23,"Rate (number per 1,000 children)",35
All children,2023–24,"Rate (number per 1,000 children)",32.8
