concerns,year,unit,value
Assault,2012,Number,7
Assault,2013,Number,6
Assault,2014,Number,9
Assault,2015,Number,6
Assault,2016,Number,13
Assault,2017,Number,13
Assault,2018,Number,2
Assault,2019,Number,5
Assault,2020,Number,27
Assault,2021,Number,52
Assault,2022,Number,59
Assault,2023,Number,21
Assault,2024,Number,41
Child Abuse,2012,Number,190
Child Abuse,2013,Number,401
Child Abuse,2014,Number,588
Child Abuse,2015,Number,669
Child Abuse,2016,Number,731
Child Abuse,2017,Number,768
Child Abuse,2018,Number,548
Child Abuse,2019,Number,603
Child Abuse,2020,Number,977
Child Abuse,2021,Number,2161
Child Abuse,2022,Number,1543
Child Abuse,2023,Number,1034
Child Abuse,2024,Number,1389
Child Exploitation,2012,Number,11
Child Exploitation,2013,Number,13
Child Exploitation,2014,Number,16
Child Exploitation,2015,Number,10
Child Exploitation,2016,Number,14
Child Exploitation,2017,Number,29
Child Exploitation,2018,Number,12
Child Exploitation,2019,Number,23
Child Exploitation,2020,Number,18
Child Exploitation,2021,Number,97
Child Exploitation,2022,Number,75
Child Exploitation,2023,Number,66
Child Exploitation,2024,Number,75
Domestic Violence,2012,Number,9
Domestic Violence,2013,Number,17
Domestic Violence,2014,Number,34
Domestic Violence,2015,Number,44
Domestic Violence,2016,Number,38
Domestic Violence,2017,Number,54
Domestic Violence,2018,Number,32
Domestic Violence,2019,Number,24
Domestic Violence,2020,Number,80
Domestic Violence,2021,Number,165
Domestic Violence,2022,Number,106
Domestic Violence,2023,Number,76
Domestic Violence,2024,Number,91
Drug Overdose,2012,Number,81
Drug Overdose,2013,Number,143
Drug Overdose,2014,Number,132
Drug Overdose,2015,Number,82
Drug Overdose,2016,Number,106
Drug Overdose,2017,Number,111
Drug Overdose,2018,Number,90
Drug Overdose,2019,Number,84
Drug Overdose,2020,Number,140
Drug Overdose,2021,Number,156
Drug Overdose,2022,Number,137
Drug Overdose,2023,Number,94
Drug Overdose,2024,Number,86
Harm To Others,2012,Number,22
Harm To Others,2013,Number,55
Harm To Others,2014,Number,34
Harm To Others,2015,Number,94
Harm To Others,2016,Number,87
Harm To Others,2017,Number,85
Harm To Others,2018,Number,51
Harm To Others,2019,Number,61
Harm To Others,2020,Number,118
Harm To Others,2021,Number,129
Harm To Others,2022,Number,99
Harm To Others,2023,Number,75
Harm To Others,2024,Number,107
Homelessness,2012,Number,27
Homelessness,2013,Number,45
Homelessness,2014,Number,47
Homelessness,2015,Number,61
