year,age_group,sex,perpetrator_s_relationship_to_victim,unit,value
2019–20,All ages,Female,All FDV perpetrators,Number,6941
2020–21,All ages,Female,All FDV perpetrators,Number,7069
2021–22,All ages,Female,All FDV perpetrators,Number,6030
2022–23,All ages,Female,All FDV perpetrators,Number,6341
2023–24,All ages,Female,All FDV perpetrators,Number,7032
2019–20,All ages,Male,All FDV perpetrators,Number,2393
2020–21,All ages,Male,All FDV perpetrators,Number,2423
2021–22,All ages,Male,All FDV perpetrators,Number,2057
2022–23,All ages,Male,All FDV perpetrators,Number,2088
2023–24,All ages,Male,All FDV perpetrators,Number,2251
2019–20,All ages,Persons,All FDV perpetrators,Number,9334
2020–21,All ages,Persons,All FDV perpetrators,Number,9493
2021–22,All ages,Persons,All FDV perpetrators,Number,8088
2022–23,All ages,Persons,All FDV perpetrators,Number,8432
2023–24,All ages,Persons,All FDV perpetrators,Number,9291
2019–20,All ages,Female,Other family member,Number,1480
2020–21,All ages,Female,Other family member,Number,1441
2021–22,All ages,Female,Other family member,Number,1299
2022–23,All ages,Female,Other family member,Number,1478
2023–24,All ages,Female,Other family member,Number,1606
2019–20,All ages,Male,Other family member,Number,1321
2020–21,All ages,Male,Other family member,Number,1352
2021–22,All ages,Male,Other family member,Number,1143
2022–23,All ages,Male,Other family member,Number,1146
2023–24,All ages,Male,Other family member,Number,1247
2019–20,All ages,Persons,Other family member,Number,2801
2020–21,All ages,Persons,Other family member,Number,2793
2021–22,All ages,Persons,Other family member,Number,2443
2022–23,All ages,Persons,Other family member,Number,2626
2023–24,All ages,Persons,Other family member,Number,2859
2019–20,0–44,Female,Parent,Number,331
2020–21,0–44,Female,Parent,Number,382
2021–22,0–44,Female,Parent,Number,310
2022–23,0–44,Female,Parent,Number,317
2023–24,0–44,Female,Parent,Number,404
2019–20,0–44,Male,Parent,Number,343
2020–21,0–44,Male,Parent,Number,317
2021–22,0–44,Male,Parent,Number,261
2022–23,0–44,Male,Parent,Number,295
2023–24,0–44,Male,Parent,Number,326
2019–20,0–44,Persons,Parent,Number,674
2020–21,0–44,Persons,Parent,Number,699
2021–22,0–44,Persons,Parent,Number,571
2022–23,0–44,Persons,Parent,Number,612
2023–24,0–44,Persons,Parent,Number,730
2019–20,15+,Female,Spouse or domestic partner,Number,5133
2020–21,15+,Female,Spouse or domestic partner,Number,5254
2021–22,15+,Female,Spouse or domestic partner,Number,4416
2022–23,15+,Female,Spouse or domestic partner,Number,4559
2023–24,15+,Female,Spouse or domestic partner,Number,5023
2019–20,15+,Male,Spouse or domestic partner,Number,731
2020–21,15+,Male,Spouse or domestic partner,Number,750
2021–22,15+,Male,Spouse or domestic partner,Number,650
2022–23,15+,Male,Spouse or domestic partner,Number,646
2023–24,15+,Male,Spouse or domestic partner,Number,683
2019–20,15+,Persons,Spouse or domestic partner,Number,5864
2020–21,15+,Persons,Spouse or domestic partner,Number,6005
2021–22,15+,Persons,Spouse or domestic partner,Number,5066
2022–23,15+,Persons,Spouse or domestic partner,Number,5206
2023–24,15+,Persons,Spouse or domestic partner,Number,5708
2023–24,65+,Female,All FDV perpetrators,Number,380
2023–24,65+,Male,All FDV perpetrators,Number,226
2023–24,65+,Female,Other family member,Number,221
2023–24,65+,Male,Other family member,Number,153
2023–24,65+,Female,Parent,Number,n.p.
2023–24,65+,Male,Parent,Number,n.p.
2023–24,65+,Female,Spouse or domestic partner,Number,n.p.
2023–24,65+,Male,Spouse or domestic partner,Number,n.p.
2023–24,55–64,Female,All FDV perpetrators,Number,395
2023–24,55–64,Male,All FDV perpetrators,Number,201
2023–24,55–64,Female,Other family member,Number,188
2023–24,55–64,Male,Other family member,Number,n.p.
2023–24,55–64,Female,Parent,Number,n.p.
2023–24,55–64,Male,Parent,Number,n.p.
2023–24,55–64,Female,Spouse or domestic partner,Number,n.p.
2023–24,55–64,Male,Spouse or domestic partner,Number,n.p.
2023–24,45–54,Female,All FDV perpetrators,Number,1047
2023–24,45–54,Male,All FDV perpetrators,Number,354
2023–24,45–54,Female,Other family member,Number,261
2023–24,45–54,Male,Other family member,Number,227
2023–24,45–54,Female,Parent,Number,15
2023–24,45–54,Male,Parent,Number,5
2023–24,45–54,Female,Spouse or domestic partner,Number,777
2023–24,45–54,Male,Spouse or domestic partner,Number,127
2023–24,35–44,Female,All FDV perpetrators,Number,1839
