sex,period,relationship_with_perpetrator,unit,value
Females,2024–25,All relationships,Number,48
Females,2024–25,Child,Number,7
Females,2024–25,Intimate partner,Number,32
Females,2024–25,Other relative,Number,1
Females,2024–25,Parent,Number,8
Females,2024–25,Sibling,Number,0
Males,2024–25,All relationships,Number,49
Males,2024–25,Child,Number,13
Males,2024–25,Intimate partner,Number,14
Males,2024–25,Other relative,Number,7
Males,2024–25,Parent,Number,13
Males,2024–25,Sibling,Number,2
Persons,2024–25,All relationships,Number,98
Persons,2024–25,Child,Number,20
Persons,2024–25,Intimate partner,Number,46
Persons,2024–25,Other relative,Number,9
Persons,2024–25,Parent,Number,21
Persons,2024–25,Sibling,Number,2
Females,2024–25,All relationships,Proportion,100.0
Females,2024–25,Child,Proportion,14.6
Females,2024–25,Intimate partner,Proportion,66.7
Females,2024–25,Other relative,Proportion,2.1
Females,2024–25,Parent,Proportion,16.7
Females,2024–25,Sibling,Proportion,0.0
Males,2024–25,All relationships,Proportion,100.0
Males,2024–25,Child,Proportion,26.5
Males,2024–25,Intimate partner,Proportion,28.6
Males,2024–25,Other relative,Proportion,14.3
Males,2024–25,Parent,Proportion,26.5
Males,2024–25,Sibling,Proportion,4.1
Persons,2024–25,All relationships,Proportion,100.0
Persons,2024–25,Child,Proportion,20.4
Persons,2024–25,Intimate partner,Proportion,46.9
Persons,2024–25,Other relative,Proportion,9.2
Persons,2024–25,Parent,Proportion,21.4
Persons,2024–25,Sibling,Proportion,2
