sex,year,experience_of_violence,type_of_violence,sex_of_perpetrator,relationship_with_perpetrator,unit,value,rse,95_moe,lower_ci,upper_ci,data_flag
Females,2021-22,Experienced violence in the last 12 months,All assault,By a male,Intimate partner or family member,Number,144.9,12.9,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All assault,By a male,Intimate partner,Number,131.4,14.0,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All assault,By a male,Cohabiting partner,Number,84.8,15.5,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All assault,By a male,Boyfriend or date,Number,61.7,20.6,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All assault,By a male,Family member,Number,10.9,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence in the last 12 months,All threat,By a male,Intimate partner or family member,Number,37.0,25.8,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,All threat,By a male,Intimate partner,Number,24.8,26.3,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,All threat,By a male,Cohabiting partner,Number,17.7,31.8,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,All threat,By a male,Boyfriend or date,Number,11.2,40.0,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,All threat,By a male,Family member,Number,16.2,47.0,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,All violence,By a male,Intimate partner or family member,Number,169.3,11.5,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All violence,By a male,Intimate partner,Number,141.8,12.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All violence,By a male,Cohabiting partner,Number,86.7,15.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All violence,By a male,Boyfriend or date,Number,67.0,18.9,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All violence,By a male,Family member,Number,27.6,30.7,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,All violence,By a person,Intimate partner or family member,Number,186.2,11.6,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All violence,By a person,Intimate partner,Number,147.6,13.2,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All violence,By a person,Cohabiting partner,Number,92.7,16.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All violence,By a person,Boyfriend/girlfriend/date,Number,67.0,18.9,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All violence,By a person,Family member,Number,39.9,22.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Physical assault,By a male,Intimate partner or family member,Number,85.9,14.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Physical assault,By a male,Intimate partner,Number,72.2,17.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Physical assault,By a male,Cohabiting partner,Number,61.2,16.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Physical assault,By a male,Boyfriend or date,Number,15.7,43.3,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,Physical assault,By a male,Family member,Number,13.6,36.8,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,Physical assault,By a female,Intimate partner or family member,Number,25.9,25.2,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,Physical assault,By a female,Family member,Number,16.2,30.1,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,Physical threat,By a male,Intimate partner or family member,Number,26.9,30.0,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,Physical threat,By a male,Intimate partner,Number,15.5,29.5,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,Physical threat,By a male,Cohabiting partner,Number,9.2,47.1,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,Physical threat,By a male,Boyfriend or date,Number,3.1,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence in the last 12 months,Physical threat,By a male,Family member,Number,16.2,47.0,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,Physical violence,By a male,Intimate partner or family member,Number,104.2,13.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Physical violence,By a male,Intimate partner,Number,81.6,15.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Physical violence,By a male,Cohabiting partner,Number,61.3,16.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Physical violence,By a male,Boyfriend or date,Number,17.8,38.6,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,Physical violence,By a male,Family member,Number,22.3,36.1,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Intimate partner or family member,Number,86.1,15.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Intimate partner,Number,75.8,17.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Cohabiting partner,Number,38.3,23.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Boyfriend or date,Number,44.5,22.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Family member,Number,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Intimate partner or family member,Number,7.6,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Intimate partner,Number,7.6,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Cohabiting partner,Number,2.9,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Boyfriend or date,Number,8.1,40.8,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Family member,Number,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Intimate partner or family member,Number,81.7,15.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Intimate partner,Number,78.6,16.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Cohabiting partner,Number,40.4,22.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Boyfriend or date,Number,52.3,19.0,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Family member,Number,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All assault,By a male,Intimate partner or family member,Number,2447.8,2.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All assault,By a male,Intimate partner,Number,2151.1,2.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All assault,By a male,Cohabiting partner,Number,1561.7,2.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All assault,By a male,Boyfriend or date,Number,832.5,4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All assault,By a male,Family member,Number,521.0,5.6,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All assault,By a male,Father,Number,282.1,8.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All assault,By a male,Son,Number,30.2,23.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All assault,By a male,Brother,Number,100.0,11.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All assault,By a male,Other relative or in-law,Number,154.8,10.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All threat,By a male,Intimate partner or family member,Number,682.9,5.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All threat,By a male,Intimate partner,Number,562.6,6.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All threat,By a male,Cohabiting partner,Number,411.2,6.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All threat,By a male,Boyfriend or date,Number,172.7,11.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All threat,By a male,Family member,Number,165.1,10.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All threat,By a male,Father,Number,89.5,14.2,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All threat,By a male,Son,Number,14.1,31.4,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence since age 15,All threat,By a male,Brother,Number,25.5,31.1,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence since age 15,All threat,By a male,Other relative or in-law,Number,44.3,19.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All violence,By a person,Intimate partner or family member,Number,2717.3,2.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All violence,By a person,Intimate partner,Number,2313.3,2.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All violence,By a person,Cohabiting partner,Number,1670.4,2.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All violence,By a person,Boyfriend/girlfriend or date,Number,920.3,4.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All violence,By a person,Family member,Number,806.0,4.0,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All violence,By a male,Intimate partner or family member,Number,2607.1,2.2,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All violence,By a male,Intimate partner,Number,2275.5,2.4,n.a.,n.a.,n.a.,
