sex,year,experience_of_violence,sex_of_perpetrator,relationship_with_perpetrator,age_group,unit,value,rse,95_moe,lower_ci,upper_ci,data_flag
Females,2021-22,Experienced partner economic abuse in the last 2 years,By a person,Cohabiting partner,18 to 24 years,Number,26.1,35,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced partner economic abuse in the last 2 years,By a person,Cohabiting partner,25 to 34 years,Number,62.7,16.2,n.a.,n.a.,n.a.,
Females,2021-22,Experienced partner economic abuse in the last 2 years,By a person,Cohabiting partner,35 to 44 years,Number,94.1,12.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced partner economic abuse in the last 2 years,By a person,Cohabiting partner,45 to 54 years,Number,65.8,16.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced partner economic abuse in the last 2 years,By a person,Cohabiting partner,55 years and over,Number,65.5,16.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced partner emotional abuse in the last 2 years,By a person,Cohabiting partner,18 to 24 years,Number,29.2,30.5,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced partner emotional abuse in the last 2 years,By a person,Cohabiting partner,25 to 34 years,Number,106.9,12.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced partner emotional abuse in the last 2 years,By a person,Cohabiting partner,35 to 44 years,Number,156.4,10.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced partner emotional abuse in the last 2 years,By a person,Cohabiting partner,45 to 54 years,Number,96.9,13.9,n.a.,n.a.,n.a.,
Females,2021-22,Experienced partner emotional abuse in the last 2 years,By a person,Cohabiting partner,55 years and over,Number,139.5,9.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced partner violence in the last 2 years,By a person,Cohabiting partner,18 to 24 years,Number,22.7,36.9,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced partner violence in the last 2 years,By a person,Cohabiting partner,25 to 34 years,Number,53.4,18.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced partner violence in the last 2 years,By a person,Cohabiting partner,35 to 44 years,Number,49.5,16.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced partner violence in the last 2 years,By a person,Cohabiting partner,45 to 54 years,Number,22,34.3,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced partner violence in the last 2 years,By a person,Cohabiting partner,55 years and over,Number,22.5,23.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced sexual harassment in the last 12 months,By a person,Any person - all relationships,18 to 24 years,Number,356.4,7.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced sexual harassment in the last 12 months,By a person,Any person - all relationships,25 to 34 years,Number,377.5,7.2,n.a.,n.a.,n.a.,
Females,2021-22,Experienced sexual harassment in the last 12 months,By a person,Any person - all relationships,35 to 44 years,Number,219.1,9,n.a.,n.a.,n.a.,
Females,2021-22,Experienced sexual harassment in the last 12 months,By a person,Any person - all relationships,45 to 54 years,Number,146.8,9.6,n.a.,n.a.,n.a.,
Females,2021-22,Experienced sexual harassment in the last 12 months,By a person,Any person - all relationships,55 to 64 years,Number,96.4,11.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced sexual harassment in the last 12 months,By a person,Any person - all relationships,65 years and over,Number,69.6,16.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced sexual violence in the last 2 years,By a person,Any person - all relationships,18 to 24 years,Number,126.2,13.5,n.a.,n.a.,n.a.,
Females,2021-22,Experienced sexual violence in the last 2 years,By a person,Any person - all relationships,25 to 34 years,Number,82.5,14,n.a.,n.a.,n.a.,
Females,2021-22,Experienced sexual violence in the last 2 years,By a person,Any person - all relationships,35 to 44 years,Number,44.2,19.6,n.a.,n.a.,n.a.,
Females,2021-22,Experienced sexual violence in the last 2 years,By a person,Any person - all relationships,45 to 54 years,Number,31.5,25.8,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced sexual violence in the last 2 years,By a person,Any person - all relationships,55 years and over,Number,17.3,27.6,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced partner economic abuse in the last 2 years,By a person,Cohabiting partner,18 to 24 years,Proportion,2.6,35,1.8,0.8,4.4,*
Females,2021-22,Experienced partner economic abuse in the last 2 years,By a person,Cohabiting partner,25 to 34 years,Proportion,3.5,16.1,1.1,2.4,4.6,
Females,2021-22,Experienced partner economic abuse in the last 2 years,By a person,Cohabiting partner,35 to 44 years,Proportion,5.3,12,1.2,4.1,6.5,
Females,2021-22,Experienced partner economic abuse in the last 2 years,By a person,Cohabiting partner,45 to 54 years,Proportion,4,16.7,1.3,2.7,5.3,
Females,2021-22,Experienced partner economic abuse in the last 2 years,By a person,Cohabiting partner,55 years and over,Proportion,1.8,16.1,0.6,1.2,2.4,
Females,2021-22,Experienced partner emotional abuse in the last 2 years,By a person,Cohabiting partner,18 to 24 years,Proportion,2.9,30.4,1.7,1.2,4.6,*
Females,2021-22,Experienced partner emotional abuse in the last 2 years,By a person,Cohabiting partner,25 to 34 years,Proportion,5.9,12.2,1.4,4.5,7.3,
Females,2021-22,Experienced partner emotional abuse in the last 2 years,By a person,Cohabiting partner,35 to 44 years,Proportion,8.9,10.6,1.8,7.1,10.7,
Females,2021-22,Experienced partner emotional abuse in the last 2 years,By a person,Cohabiting partner,45 to 54 years,Proportion,5.9,13.8,1.6,4.3,7.5,
