sex,year,characteristic,subcategory,location,unit,value
Males,2020,Age at incident (victim),0–9 years at incident,New South Wales,Number,462
Males,2020,Age at incident (victim),10–17 years at incident,New South Wales,Number,223
Males,2020,Age at incident (victim),18–24 years at incident,New South Wales,Number,17
Males,2020,Age at incident (victim),25–34 years at incident,New South Wales,Number,25
Males,2020,Age at incident (victim),35–44 years at incident,New South Wales,Number,14
Males,2020,Age at incident (victim),45–54 years at incident,New South Wales,Number,3
Males,2020,Age at incident (victim),55–64 years at incident,New South Wales,Number,3
Males,2020,Age at incident (victim),65 years and over at incident,New South Wales,Number,4
Males,2020,Time to report,Less than 1 year to report,New South Wales,Number,451
Males,2020,Time to report,1 to less than 2 years to report,New South Wales,Number,53
Males,2020,Time to report,2 to less than 5 years to report,New South Wales,Number,66
Males,2020,Time to report,5 to less than 10 years to report,New South Wales,Number,56
Males,2020,Time to report,10 to less than 20 years to report,New South Wales,Number,33
Males,2020,Time to report,20 years and over to report,New South Wales,Number,83
Males,2020,Relationship of offender to victim,Intimate partner,New South Wales,Number,62
Males,2020,Relationship of offender to victim,Current partner,New South Wales,Number,50
Males,2020,Relationship of offender to victim,Ex-partner,New South Wales,Number,8
Males,2020,Relationship of offender to victim,Parent,New South Wales,Number,261
Females,2020,Age at incident (victim),0–9 years at incident,New South Wales,Number,1173
Females,2020,Age at incident (victim),10–17 years at incident,New South Wales,Number,1457
Females,2020,Age at incident (victim),18–24 years at incident,New South Wales,Number,301
Females,2020,Age at incident (victim),25–34 years at incident,New South Wales,Number,284
Females,2020,Age at incident (victim),35–44 years at incident,New South Wales,Number,197
Females,2020,Age at incident (victim),45–54 years at incident,New South Wales,Number,80
Females,2020,Age at incident (victim),55–64 years at incident,New South Wales,Number,24
Females,2020,Age at incident (victim),65 years and over at incident,New South Wales,Number,13
Females,2020,Time to report,Less than 1 year to report,New South Wales,Number,2013
Females,2020,Time to report,1 to less than 2 years to report,New South Wales,Number,310
Females,2020,Time to report,2 to less than 5 years to report,New South Wales,Number,343
Females,2020,Time to report,5 to less than 10 years to report,New South Wales,Number,319
Females,2020,Time to report,10 to less than 20 years to report,New South Wales,Number,245
Females,2020,Time to report,20 years and over to report,New South Wales,Number,292
Females,2020,Relationship of offender to victim,Intimate partner,New South Wales,Number,1118
Females,2020,Relationship of offender to victim,Current partner,New South Wales,Number,821
Females,2020,Relationship of offender to victim,Ex-partner,New South Wales,Number,294
Females,2020,Relationship of offender to victim,Parent,New South Wales,Number,878
Persons,2020,Age at incident (victim),0–9 years at incident,New South Wales,Number,1641
Persons,2020,Age at incident (victim),10–17 years at incident,New South Wales,Number,1677
Persons,2020,Age at incident (victim),18–24 years at incident,New South Wales,Number,317
Persons,2020,Age at incident (victim),25–34 years at incident,New South Wales,Number,310
Persons,2020,Age at incident (victim),35–44 years at incident,New South Wales,Number,215
Persons,2020,Age at incident (victim),45–54 years at incident,New South Wales,Number,88
Persons,2020,Age at incident (victim),55–64 years at incident,New South Wales,Number,23
Persons,2020,Age at incident (victim),65 years and over at incident,New South Wales,Number,14
Persons,2020,Time to report,Less than 1 year to report,New South Wales,Number,2474
Persons,2020,Time to report,1 to less than 2 years to report,New South Wales,Number,370
Persons,2020,Time to report,2 to less than 5 years to report,New South Wales,Number,414
Persons,2020,Time to report,5 to less than 10 years to report,New South Wales,Number,379
Persons,2020,Time to report,10 to less than 20 years to report,New South Wales,Number,276
Persons,2020,Time to report,20 years and over to report,New South Wales,Number,381
Persons,2020,Relationship of offender to victim,Intimate partner,New South Wales,Number,1175
Persons,2020,Relationship of offender to victim,Current partner,New South Wales,Number,875
Persons,2020,Relationship of offender to victim,Ex-partner,New South Wales,Number,305
Persons,2020,Relationship of offender to victim,Parent,New South Wales,Number,1139
Males,2020,Age at incident (victim),0–9 years at incident,Victoria,Number,118
Males,2020,Age at incident (victim),10–17 years at incident,Victoria,Number,66
Males,2020,Age at incident (victim),18–24 years at incident,Victoria,Number,10
Males,2020,Age at incident (victim),25–34 years at incident,Victoria,Number,20
Males,2020,Age at incident (victim),35–44 years at incident,Victoria,Number,4
Males,2020,Age at incident (victim),45–54 years at incident,Victoria,Number,4
Males,2020,Age at incident (victim),55–64 years at incident,Victoria,Number,0
Males,2020,Age at incident (victim),65 years and over at incident,Victoria,Number,0
Males,2020,Time to report,Less than 1 year to report,Victoria,Number,72
Males,2020,Time to report,1 to less than 2 years to report,Victoria,Number,11
Males,2020,Time to report,2 to less than 5 years to report,Victoria,Number,33
Males,2020,Time to report,5 to less than 10 years to report,Victoria,Number,30
