sex,year,age_group,unit,value
Females,2010,0–9 years,Number,1721
Females,2010,10–17 years,Number,7051
Females,2010,18–24 years,Number,2937
Females,2010,25–34 years,Number,1946
Females,2010,35–44 years,Number,1188
Females,2010,45–54 years,Number,614
Females,2010,55–64 years,Number,222
Females,2010,65 years and over,Number,160
Females,2010,Total,Number,15909
Males,2010,0–9 years,Number,843
Males,2010,10–17 years,Number,1146
Males,2010,18–24 years,Number,274
Males,2010,25–34 years,Number,205
Males,2010,35–44 years,Number,228
Males,2010,45–54 years,Number,106
Males,2010,55–64 years,Number,35
Males,2010,65 years and over,Number,13
Males,2010,Total,Number,2865
Persons,2010,0–9 years,Number,2572
Persons,2010,10–17 years,Number,8199
Persons,2010,18–24 years,Number,3214
Persons,2010,25–34 years,Number,2151
Persons,2010,35–44 years,Number,1416
Persons,2010,45–54 years,Number,720
Persons,2010,55–64 years,Number,253
Persons,2010,65 years and over,Number,184
Persons,2010,Total,Number,18862
Females,2011,0–9 years,Number,1678
Females,2011,10–17 years,Number,6750
Females,2011,18–24 years,Number,2944
Females,2011,25–34 years,Number,2058
Females,2011,35–44 years,Number,1250
Females,2011,45–54 years,Number,627
Females,2011,55–64 years,Number,212
Females,2011,65 years and over,Number,131
Females,2011,Total,Number,15715
Males,2011,0–9 years,Number,849
Males,2011,10–17 years,Number,1066
Males,2011,18–24 years,Number,280
Males,2011,25–34 years,Number,233
Males,2011,35–44 years,Number,210
Males,2011,45–54 years,Number,114
Males,2011,55–64 years,Number,36
Males,2011,65 years and over,Number,25
Males,2011,Total,Number,2837
Persons,2011,0–9 years,Number,2535
Persons,2011,10–17 years,Number,7818
Persons,2011,18–24 years,Number,3231
Persons,2011,25–34 years,Number,2297
Persons,2011,35–44 years,Number,1461
Persons,2011,45–54 years,Number,741
Persons,2011,55–64 years,Number,247
Persons,2011,65 years and over,Number,158
Persons,2011,Total,Number,18616
Females,2012,0–9 years,Number,1747
Females,2012,10–17 years,Number,6946
Females,2012,18–24 years,Number,2966
Females,2012,25–34 years,Number,2056
Females,2012,35–44 years,Number,1291
Females,2012,45–54 years,Number,678
Females,2012,55–64 years,Number,226
Females,2012,65 years and over,Number,153
Females,2012,Total,Number,16121
Males,2012,0–9 years,Number,1056
Males,2012,10–17 years,Number,1117
Males,2012,18–24 years,Number,308
Males,2012,25–34 years,Number,285
Males,2012,35–44 years,Number,225
Males,2012,45–54 years,Number,142
Males,2012,55–64 years,Number,68
Males,2012,65 years and over,Number,32
Males,2012,Total,Number,3263
Persons,2012,0–9 years,Number,2805
Persons,2012,10–17 years,Number,8064
Persons,2012,18–24 years,Number,3277
Persons,2012,25–34 years,Number,2349
Persons,2012,35–44 years,Number,1522
Persons,2012,45–54 years,Number,819
Persons,2012,55–64 years,Number,300
Persons,2012,65 years and over,Number,187
Persons,2012,Total,Number,19448
Females,2013,0–9 years,Number,1874
Females,2013,10–17 years,Number,6917
Females,2013,18–24 years,Number,3020
Females,2013,25–34 years,Number,2206
Females,2013,35–44 years,Number,1414
Females,2013,45–54 years,Number,701
Females,2013,55–64 years,Number,218
Females,2013,65 years and over,Number,173
Females,2013,Total,Number,16562
Males,2013,0–9 years,Number,957
Males,2013,10–17 years,Number,1230
Males,2013,18–24 years,Number,316
Males,2013,25–34 years,Number,273
Males,2013,35–44 years,Number,257
Males,2013,45–54 years,Number,229
Males,2013,55–64 years,Number,80
Males,2013,65 years and over,Number,33
Males,2013,Total,Number,3387
Persons,2013,0–9 years,Number,2834
Persons,2013,10–17 years,Number,8151
Persons,2013,18–24 years,Number,3343
Persons,2013,25–34 years,Number,2484
Persons,2013,35–44 years,Number,1671
Persons,2013,45–54 years,Number,926
Persons,2013,55–64 years,Number,297
Persons,2013,65 years and over,Number,208
Persons,2013,Total,Number,20025
Females,2014,0–9 years,Number,1927
Females,2014,10–17 years,Number,7140
Females,2014,18–24 years,Number,2950
Females,2014,25–34 years,Number,2272
Females,2014,35–44 years,Number,1412
Females,2014,45–54 years,Number,800
Females,2014,55–64 years,Number,321
Females,2014,65 years and over,Number,186
Females,2014,Total,Number,17124
Males,2014,0–9 years,Number,1023
Males,2014,10–17 years,Number,1203
Males,2014,18–24 years,Number,319
