sex,year,characteristic,subcategory,unit,value
Persons,2010,Aggravated sexual assault,Yes,Number,15317
Persons,2010,Aggravated sexual assault,No,Number,3538
Persons,2010,Finalised investigation,Yes,Number,8297
Persons,2010,Finalised investigation,No,Number,10558
Persons,2010,Setting of offence,Residential,Number,12532
Persons,2010,Setting of offence,Community,Number,3574
Persons,2010,Setting of offence,Other location,Number,1768
Persons,2010,Weapon used,Yes,Number,313
Persons,2010,Weapon used,No,Number,18451
Persons,2011,Aggravated sexual assault,Yes,Number,15139
Persons,2011,Aggravated sexual assault,No,Number,3476
Persons,2011,Finalised investigation,Yes,Number,8033
Persons,2011,Finalised investigation,No,Number,10581
Persons,2011,Setting of offence,Residential,Number,12131
Persons,2011,Setting of offence,Community,Number,3605
Persons,2011,Setting of offence,Other location,Number,1755
Persons,2011,Weapon used,Yes,Number,286
Persons,2011,Weapon used,No,Number,18215
Persons,2012,Aggravated sexual assault,Yes,Number,15780
Persons,2012,Aggravated sexual assault,No,Number,3670
Persons,2012,Finalised investigation,Yes,Number,8229
Persons,2012,Finalised investigation,No,Number,11218
Persons,2012,Setting of offence,Residential,Number,12534
Persons,2012,Setting of offence,Community,Number,3710
Persons,2012,Setting of offence,Other location,Number,1789
Persons,2012,Weapon used,Yes,Number,299
Persons,2012,Weapon used,No,Number,18772
Persons,2013,Aggravated sexual assault,Yes,Number,16251
Persons,2013,Aggravated sexual assault,No,Number,3773
Persons,2013,Finalised investigation,Yes,Number,8414
Persons,2013,Finalised investigation,No,Number,11608
Persons,2013,Setting of offence,Residential,Number,13328
Persons,2013,Setting of offence,Community,Number,3867
Persons,2013,Setting of offence,Other location,Number,1785
Persons,2013,Weapon used,Yes,Number,276
Persons,2013,Weapon used,No,Number,19347
Persons,2014,Aggravated sexual assault,Yes,Number,16697
Persons,2014,Aggravated sexual assault,No,Number,4042
Persons,2014,Finalised investigation,Yes,Number,8533
Persons,2014,Finalised investigation,No,Number,12211
Persons,2014,Setting of offence,Residential,Number,14148
Persons,2014,Setting of offence,Community,Number,3645
Persons,2014,Setting of offence,Other location,Number,2185
Persons,2014,Time to report,Less than 1 year,Number,15955
Persons,2014,Time to report,1 to less than 2 years,Number,874
Persons,2014,Time to report,2 to less than 5 years,Number,1009
Persons,2014,Time to report,5 to less than 10 years,Number,869
Persons,2014,Time to report,10 to less than 20 years,Number,796
Persons,2014,Time to report,20 years and over,Number,1213
Persons,2014,Weapon used,Yes,Number,413
Persons,2014,Weapon used,No,Number,19706
Persons,2015,Aggravated sexual assault,Yes,Number,17685
Persons,2015,Aggravated sexual assault,No,Number,4260
Persons,2015,Finalised investigation,Yes,Number,7609
Persons,2015,Finalised investigation,No,Number,14341
Persons,2015,Setting of offence,Residential,Number,14041
Persons,2015,Setting of offence,Community,Number,3731
Persons,2015,Setting of offence,Other location,Number,2213
Persons,2015,Time to report,Less than 1 year,Number,16269
Persons,2015,Time to report,1 to less than 2 years,Number,889
Persons,2015,Time to report,2 to less than 5 years,Number,1042
Persons,2015,Time to report,5 to less than 10 years,Number,873
Persons,2015,Time to report,10 to less than 20 years,Number,930
Persons,2015,Time to report,20 years and over,Number,1917
Persons,2015,Weapon used,Yes,Number,961
Persons,2015,Weapon used,No,Number,20530
Persons,2016,Aggravated sexual assault,Yes,Number,18549
Persons,2016,Aggravated sexual assault,No,Number,4495
Persons,2016,Finalised investigation,Yes,Number,8462
Persons,2016,Finalised investigation,No,Number,14575
Persons,2016,Setting of offence,Residential,Number,15342
Persons,2016,Setting of offence,Community,Number,4091
Persons,2016,Setting of offence,Other location,Number,2345
Persons,2016,Time to report,Less than 1 year,Number,16659
Persons,2016,Time to report,1 to less than 2 years,Number,1005
Persons,2016,Time to report,2 to less than 5 years,Number,1300
Persons,2016,Time to report,5 to less than 10 years,Number,1020
Persons,2016,Time to report,10 to less than 20 years,Number,992
Persons,2016,Time to report,20 years and over,Number,2042
Persons,2016,Weapon used,Yes,Number,1025
Persons,2016,Weapon used,No,Number,21465
Persons,2017,Aggravated sexual assault,Yes,Number,20616
Persons,2017,Aggravated sexual assault,No,Number,5226
Persons,2017,Finalised investigation,Yes,Number,10010
Persons,2017,Finalised investigation,No,Number,15827
Persons,2017,Setting of offence,Residential,Number,17022
Persons,2017,Setting of offence,Community,Number,4787
Persons,2017,Setting of offence,Other location,Number,2703
Persons,2017,Time to report,Less than 1 year,Number,18497
Persons,2017,Time to report,1 to less than 2 years,Number,1285
Persons,2017,Time to report,2 to less than 5 years,Number,1436
Persons,2017,Time to report,5 to less than 10 years,Number,1165
Persons,2017,Time to report,10 to less than 20 years,Number,1100
Persons,2017,Time to report,20 years and over,Number,2346
Persons,2017,Weapon used,Yes,Number,777
Persons,2017,Weapon used,No,Number,24224
Persons,2018,Aggravated sexual assault,Yes,Number,20774
Persons,2018,Aggravated sexual assault,No,Number,5554
Persons,2018,Finalised investigation,Yes,Number,9545
Persons,2018,Finalised investigation,No,Number,16782
Persons,2018,Setting of offence,Residential,Number,17022
Persons,2018,Setting of offence,Community,Number,4375
Persons,2018,Setting of offence,Other location,Number,2922
Persons,2018,Time to report,Less than 1 year,Number,19368
Persons,2018,Time to report,1 to less than 2 years,Number,1350
Persons,2018,Time to report,2 to less than 5 years,Number,1423
Persons,2018,Time to report,5 to less than 10 years,Number,1165
Persons,2018,Time to report,10 to less than 20 years,Number,927
Persons,2018,Time to report,20 years and over,Number,2068
Persons,2018,Weapon used,Yes,Number,730
Persons,2018,Weapon used,No,Number,24635
Persons,2019,Aggravated sexual assault,Yes,Number,21136
Persons,2019,Aggravated sexual assault,No,Number,5727
