year,offence,location,unit,value
2016,Assault,New South Wales,Number,2689
2016,Assault,Queensland,Number,n.p.
2016,Assault,South Australia,Number,1464
2016,Assault,Northern Territory,Number,3497
2016,Homicide and related offences,New South Wales,Number,0
2016,Homicide and related offences,Queensland,Number,3
2016,Homicide and related offences,South Australia,Number,3
2016,Homicide and related offences,Northern Territory,Number,0
2016,Kidnapping/abduction,New South Wales,Number,3
2016,Kidnapping/abduction,Queensland,Number,0
2016,Kidnapping/abduction,South Australia,Number,7
2016,Kidnapping/abduction,Northern Territory,Number,0
2016,Sexual assault,New South Wales,Number,225
2016,Sexual assault,Queensland,Number,211
2016,Sexual assault,South Australia,Number,55
2016,Sexual assault,Northern Territory,Number,68
2017,Assault,New South Wales,Number,2740
2017,Assault,Queensland,Number,n.p.
2017,Assault,South Australia,Number,1393
2017,Assault,Northern Territory,Number,3962
2017,Homicide and related offences,New South Wales,Number,3
2017,Homicide and related offences,Queensland,Number,7
2017,Homicide and related offences,South Australia,Number,6
2017,Homicide and related offences,Northern Territory,Number,7
2017,Kidnapping/abduction,New South Wales,Number,4
2017,Kidnapping/abduction,Queensland,Number,0
2017,Kidnapping/abduction,South Australia,Number,3
2017,Kidnapping/abduction,Northern Territory,Number,0
2017,Sexual assault,New South Wales,Number,324
2017,Sexual assault,Queensland,Number,198
2017,Sexual assault,South Australia,Number,36
2017,Sexual assault,Northern Territory,Number,84
2018,Assault,New South Wales,Number,2805
2018,Assault,Queensland,Number,n.p.
2018,Assault,South Australia,Number,1550
2018,Assault,Northern Territory,Number,3862
2018,Homicide and related offences,New South Wales,Number,9
2018,Homicide and related offences,Queensland,Number,8
2018,Homicide and related offences,South Australia,Number,0
2018,Homicide and related offences,Northern Territory,Number,3
2018,Kidnapping/abduction,New South Wales,Number,7
2018,Kidnapping/abduction,Queensland,Number,0
2018,Kidnapping/abduction,South Australia,Number,3
2018,Kidnapping/abduction,Northern Territory,Number,0
2018,Sexual assault,New South Wales,Number,303
2018,Sexual assault,Queensland,Number,271
2018,Sexual assault,South Australia,Number,54
2018,Sexual assault,Northern Territory,Number,63
2019,Assault,New South Wales,Number,2943
2019,Assault,Queensland,Number,n.p.
2019,Assault,South Australia,Number,1660
2019,Assault,Northern Territory,Number,3599
2019,Homicide and related offences,New South Wales,Number,0
2019,Homicide and related offences,Queensland,Number,3
2019,Homicide and related offences,South Australia,Number,0
2019,Homicide and related offences,Northern Territory,Number,3
2019,Kidnapping/abduction,New South Wales,Number,9
2019,Kidnapping/abduction,Queensland,Number,0
2019,Kidnapping/abduction,South Australia,Number,5
2019,Kidnapping/abduction,Northern Territory,Number,0
2019,Sexual assault,New South Wales,Number,436
2019,Sexual assault,Queensland,Number,224
2019,Sexual assault,South Australia,Number,40
2019,Sexual assault,Northern Territory,Number,42
2020,Assault,New South Wales,Number,2925
2020,Assault,Queensland,Number,n.p.
