sex,year,population_group,subcategory,unit,value
Females,2024-25,All Australians,0-9,Number,12837
Females,2024-25,All Australians,10-14,Number,5013
Females,2024-25,All Australians,15-19,Number,6932
Females,2024-25,All Australians,20-24,Number,8022
Females,2024-25,All Australians,25-34,Number,20258
Females,2024-25,All Australians,35-44,Number,19296
Females,2024-25,All Australians,45-54,Number,9816
Females,2024-25,All Australians,55-64,Number,3390
Females,2024-25,All Australians,65+,Number,1412
Females,2024-25,All Australians,Total,Number,86974
Females,2024-25,First Nations people,0-9,Number,4414
Females,2024-25,First Nations people,10-14,Number,1486
Females,2024-25,First Nations people,15-19,Number,2293
Females,2024-25,First Nations people,20-24,Number,3211
Females,2024-25,First Nations people,25-34,Number,6214
Females,2024-25,First Nations people,35-44,Number,4524
Females,2024-25,First Nations people,45-54,Number,2293
Females,2024-25,First Nations people,55-64,Number,799
Females,2024-25,First Nations people,65+,Number,241
Females,2024-25,First Nations people,Total,Number,25479
Females,2024-25,State/territory,New South Wales,Number,20304
Females,2024-25,State/territory,Victoria,Number,33359
Females,2024-25,State/territory,Queensland,Number,13458
Females,2024-25,State/territory,Western Australia,Number,9728
Females,2024-25,State/territory,South Australia,Number,4461
Females,2024-25,State/territory,Tasmania,Number,1284
Females,2024-25,State/territory,Australian Capital Territory,Number,1348
Females,2024-25,State/territory,Northern Territory,Number,4504
Females,2024-25,State/territory,National,Number,86976
Females,2024-25,Remoteness Area,Total,Number,86976
Females,2024-25,Remoteness Area,Major cities,Number,52267
Females,2024-25,Remoteness Area,Inner regional,Number,18536
Females,2024-25,Remoteness Area,Outer regional,Number,9847
Females,2024-25,Remoteness Area,Remote,Number,3619
Females,2024-25,Remoteness Area,Very remote,Number,2707
Females,2024-25,Language spoken,Total,Number,86872
Females,2024-25,Language spoken,English,Number,66436
Females,2024-25,Language spoken,Not stated,Number,3513
Females,2024-25,Language spoken,Other,Number,16923
Males,2024-25,All Australians,0-9,Number,13370
Males,2024-25,All Australians,10-14,Number,4634
Males,2024-25,All Australians,15-19,Number,3454
Males,2024-25,All Australians,20-24,Number,1615
Males,2024-25,All Australians,25-34,Number,2218
Males,2024-25,All Australians,35-44,Number,2150
Males,2024-25,All Australians,45-54,Number,1378
Males,2024-25,All Australians,55-64,Number,470
Males,2024-25,All Australians,65+,Number,279
Males,2024-25,All Australians,Total,Number,29561
Males,2024-25,First Nations people,0-9,Number,4448
Males,2024-25,First Nations people,10-14,Number,1173
Males,2024-25,First Nations people,15-19,Number,886
Males,2024-25,First Nations people,20-24,Number,467
Males,2024-25,First Nations people,25-34,Number,617
Males,2024-25,First Nations people,35-44,Number,566
Males,2024-25,First Nations people,45-54,Number,310
Males,2024-25,First Nations people,55-64,Number,81
Males,2024-25,First Nations people,65+,Number,32
Males,2024-25,First Nations people,Total,Number,8583
Males,2024-25,State/territory,New South Wales,Number,6758
Males,2024-25,State/territory,Victoria,Number,12846
Males,2024-25,State/territory,Queensland,Number,4791
Males,2024-25,State/territory,Western Australia,Number,2643
Males,2024-25,State/territory,South Australia,Number,1032
Males,2024-25,State/territory,Tasmania,Number,358
Males,2024-25,State/territory,Australian Capital Territory,Number,499
Males,2024-25,State/territory,Northern Territory,Number,1019
Males,2024-25,State/territory,National,Number,29562
Males,2024-25,Remoteness Area,Total,Number,29562
Males,2024-25,Remoteness Area,Major cities,Number,19046
Males,2024-25,Remoteness Area,Inner regional,Number,6403
Males,2024-25,Remoteness Area,Outer regional,Number,2765
Males,2024-25,Remoteness Area,Remote,Number,819
Males,2024-25,Remoteness Area,Very remote,Number,529
Males,2024-25,Language spoken,Total,Number,29508
Males,2024-25,Language spoken,English,Number,24226
Males,2024-25,Language spoken,Not stated,Number,1374
Males,2024-25,Language spoken,Other,Number,3908
Females,2024-25,All Australians,0-9,"Rate (number per 10,000)",84.6
Females,2024-25,All Australians,10-14,"Rate (number per 10,000)",61.6
Females,2024-25,All Australians,15-19,"Rate (number per 10,000)",86.0
Females,2024-25,All Australians,20-24,"Rate (number per 10,000)",93.4
Females,2024-25,All Australians,25-34,"Rate (number per 10,000)",101.0
Females,2024-25,All Australians,35-44,"Rate (number per 10,000)",99.9
Females,2024-25,All Australians,45-54,"Rate (number per 10,000)",58.3
Females,2024-25,All Australians,55-64,"Rate (number per 10,000)",21.6
Females,2024-25,All Australians,65+,"Rate (number per 10,000)",5.6
Females,2024-25,All Australians,Total,"Rate (number per 10,000)",63.5
Females,2024-25,First Nations people,0-9,"Rate (number per 10,000)",413.2
Females,2024-25,First Nations people,10-14,"Rate (number per 10,000)",278.4
Females,2024-25,First Nations people,15-19,"Rate (number per 10,000)",435.4
Females,2024-25,First Nations people,20-24,"Rate (number per 10,000)",727.9
Females,2024-25,First Nations people,25-34,"Rate (number per 10,000)",799.9
Females,2024-25,First Nations people,35-44,"Rate (number per 10,000)",784.8
Females,2024-25,First Nations people,45-54,"Rate (number per 10,000)",455.1
Females,2024-25,First Nations people,55-64,"Rate (number per 10,000)",192.4
Females,2024-25,First Nations people,65+,"Rate (number per 10,000)",71.2
Females,2024-25,First Nations people,Total,"Rate (number per 10,000)",491.8
Females,2024-25,State/territory,New South Wales,"Rate (number per 10,000)",47.6
Females,2024-25,State/territory,Victoria,"Rate (number per 10,000)",94.8
Females,2024-25,State/territory,Queensland,"Rate (number per 10,000)",47.9
Females,2024-25,State/territory,Western Australia,"Rate (number per 10,000)",65.7
Females,2024-25,State/territory,South Australia,"Rate (number per 10,000)",46.9
Females,2024-25,State/territory,Tasmania,"Rate (number per 10,000)",44.3
Females,2024-25,State/territory,Australian Capital Territory,"Rate (number per 10,000)",55.5
Females,2024-25,State/territory,Northern Territory,"Rate (number per 10,000)",354.9
Females,2024-25,State/territory,National,"Rate (number per 10,000)",63.5
Females,2024-25,Remoteness Area,Total,"Rate (number per 10,000)",n.a.
Females,2024-25,Remoteness Area,Major cities,"Rate (number per 10,000)",n.a.
Females,2024-25,Remoteness Area,Inner regional,"Rate (number per 10,000)",n.a.
Females,2024-25,Remoteness Area,Outer regional,"Rate (number per 10,000)",n.a.
Females,2024-25,Remoteness Area,Remote,"Rate (number per 10,000)",n.a.
Females,2024-25,Remoteness Area,Very remote,"Rate (number per 10,000)",n.a.
Females,2024-25,Language spoken,Total,"Rate (number per 10,000)",n.a.
Females,2024-25,Language spoken,English,"Rate (number per 10,000)",n.a.
Females,2024-25,Language spoken,Not stated,"Rate (number per 10,000)",n.a.
Females,2024-25,Language spoken,Other,"Rate (number per 10,000)",n.a.
Males,2024-25,All Australians,0-9,"Rate (number per 10,000)",83.4
Males,2024-25,All Australians,10-14,"Rate (number per 10,000)",53.9
Males,2024-25,All Australians,15-19,"Rate (number per 10,000)",40.3
