sex,year,unit,value
Females,2011-12,Number,6027
Females,2012-13,Number,4840
Females,2013-14,Number,5890
Females,2014-15,Number,7396
Females,2015-16,Number,9236
Females,2016-17,Number,10363
Females,2017-18,Number,10701
Females,2018-19,Number,11392
Females,2019-20,Number,11770
Females,2020-21,Number,10571
Females,2021-22,Number,9650
Females,2022-23,Number,9927
Females,2023-24,Number,10970
Females,2024-25,Number,11671
Females,2011-12,Proportion,42.9
Females,2012-13,Proportion,39.2
Females,2013-14,Proportion,39.7
Females,2014-15,Proportion,41.5
Females,2015-16,Proportion,43.4
Females,2016-17,Proportion,46.2
Females,2017-18,Proportion,47.6
Females,2018-19,Proportion,48.1
Females,2019-20,Proportion,49.4
Females,2020-21,Proportion,48.9
Females,2021-22,Proportion,46.7
Females,2022-23,Proportion,46.6
Females,2023-24,Proportion,48.9
Females,2024-25,Proportion,49.8
