sex,year,main_reason_for_seeking_support,subcategory,disability_status,unit,value
Females,2024-25,Financial,Financial total,With disability- severe or profound,Number,158
Females,2024-25,Financial,Financial total,With disability- other disability status,Number,465
Females,2024-25,Financial,Financial total,All with disability,Number,623
Females,2024-25,Financial,Financial total,Without disability,Number,5631
Females,2024-25,Financial,Financial total,Total,Number,6496
Females,2024-25,Financial,Financial difficulties,With disability- severe or profound,Number,61
Females,2024-25,Financial,Financial difficulties,With disability- other disability status,Number,204
Females,2024-25,Financial,Financial difficulties,All with disability,Number,265
Females,2024-25,Financial,Financial difficulties,Without disability,Number,2446
Females,2024-25,Financial,Financial difficulties,Total,Number,2826
Females,2024-25,Financial,Other financial,With disability- severe or profound,Number,1
Females,2024-25,Financial,Other financial,With disability- other disability status,Number,4
Females,2024-25,Financial,Other financial,All with disability,Number,5
Females,2024-25,Financial,Other financial,Without disability,Number,75
Females,2024-25,Financial,Other financial,Total,Number,84
Females,2024-25,Financial,Housing affordability stress,With disability- severe or profound,Number,96
Females,2024-25,Financial,Housing affordability stress,With disability- other disability status,Number,257
Females,2024-25,Financial,Housing affordability stress,All with disability,Number,353
Females,2024-25,Financial,Housing affordability stress,Without disability,Number,3110
Females,2024-25,Financial,Housing affordability stress,Total,Number,3586
Females,2024-25,Accommodation,Accommodation total,With disability- severe or profound,Number,454
Females,2024-25,Accommodation,Accommodation total,With disability- other disability status,Number,1204
Females,2024-25,Accommodation,Accommodation total,All with disability,Number,1658
Females,2024-25,Accommodation,Accommodation total,Without disability,Number,11672
Females,2024-25,Accommodation,Accommodation total,Total,Number,13802
Females,2024-25,Accommodation,Housing crisis,With disability- severe or profound,Number,247
Females,2024-25,Accommodation,Housing crisis,With disability- other disability status,Number,655
Females,2024-25,Accommodation,Housing crisis,All with disability,Number,902
Females,2024-25,Accommodation,Housing crisis,Without disability,Number,6333
Females,2024-25,Accommodation,Housing crisis,Total,Number,7496
Females,2024-25,Accommodation,Previous accommodation ended,With disability- severe or profound,Number,43
Females,2024-25,Accommodation,Previous accommodation ended,With disability- other disability status,Number,136
Females,2024-25,Accommodation,Previous accommodation ended,All with disability,Number,179
