division_id,division_nm,state_ab,division_ab,demographic_classification,close_of_rolls_enrolment,final_enrolment,turnout,turnout_percentage,turnout_swing,formal_votes,informal_votes,informal_percent,informal_swing,nominations,is_non_classic_division,tpp_alp_votes,tpp_alp_percentage,tpp_coalition_votes,tpp_coalition_percentage,tpp_total_votes,tpp_swing,member_elected_given_name,member_elected_surname,member_elected_party_ab,member_elected_party_nm
179,Adelaide,SA,ADEL,Inner Metropolitan,131466,131436,118567,90.21,0.03,114089,4478,3.78,-0.01,7,N,78796,69.07,35293,30.93,114089,7.16,Steve,GEORGANAS,ALP,Australian Labor Party
180,Barker,SA,BARK,Rural,127069,127045,117648,92.6,0.4,108714,8934,7.59,0.63,10,N,40249,37.02,68465,62.98,108714,3.64,Tony,PASIN,LP,Liberal
182,Boothby,SA,BOOT,Outer Metropolitan,129585,129524,120452,93,0.46,117339,3113,2.58,-1.86,6,N,71698,61.1,45641,38.9,117339,7.82,Louise,MILLER-FROST,ALP,Australian Labor Party
183,Grey,SA,GREY,Rural,128719,128707,115075,89.41,-0.21,106881,8194,7.12,0.19,8,N,48479,45.36,58402,54.64,106881,5.43,Tom,VENNING,LP,Liberal
185,Hindmarsh,SA,HIND,Inner Metropolitan,131434,131379,120095,91.41,0.43,112471,7624,6.35,0.64,9,N,74623,66.35,37848,33.65,112471,7.4,Mark,BUTLER,ALP,Australian Labor Party
186,Kingston,SA,KING,Outer Metropolitan,127943,127919,117654,91.98,0.61,112695,4959,4.21,0.4,7,N,79721,70.74,32974,29.26,112695,4.39,Amanda,RISHWORTH,ALP,Australian Labor Party
187,Makin,SA,MAKI,Outer Metropolitan,123686,123639,113133,91.5,0.3,106148,6985,6.17,2.04,8,N,68633,64.66,37515,35.34,106148,3.86,Tony,ZAPPIA,ALP,Australian Labor Party
188,Mayo,SA,MAYO,Rural,137756,137818,129785,94.17,0.49,125182,4603,3.55,-1.5,7,Y,68820,54.98,56362,45.02,125182,3.39,Rebekha,SHARKIE,XEN,Centre Alliance
325,Spence,SA,SPEN,Outer Metropolitan,138902,138898,121550,87.51,0.94,111582,9968,8.2,3.25,8,N,72903,65.34,38679,34.66,111582,2.44,Matt,BURNELL,ALP,Australian Labor Party
190,Sturt,SA,STUR,Inner Metropolitan,130340,130300,121186,93.01,0.63,117137,4049,3.34,-2.15,7,N,66326,56.62,50811,43.38,117137,7.07,Claire,CLUTTERHAM,ALP,Australian Labor Party
