2025 Federal Election Enrolment By Division [Event:31496 Phase:FinalResults Generated:2025-06-16T10:39:14 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
DivisionID,DivisionNm,StateAb,CloseOfRollsEnrolment,NotebookRollAdditions,NotebookRollDeletions,ReinstatementsPostal,ReinstatementsPrePoll,ReinstatementsAbsent,ReinstatementsProvisional,Enrolment
179,Adelaide,SA,131466,0,66,3,7,14,12,131436
197,Aston,VIC,122512,3,56,0,0,0,0,122459
198,Ballarat,VIC,116296,12,71,0,0,0,1,116238
103,Banks,NSW,119385,0,68,0,1,0,5,119323
180,Barker,SA,127069,1,91,4,26,3,33,127045
104,Barton,NSW,120825,0,67,0,0,0,3,120761
192,Bass,TAS,80392,0,41,2,7,1,17,80378
318,Bean,ACT,113929,10,66,0,1,0,2,113876
200,Bendigo,VIC,120140,3,55,0,0,0,0,120088
105,Bennelong,NSW,125986,7,45,0,2,0,3,125953
106,Berowra,NSW,130936,2,70,0,1,0,0,130869
304,Blair,QLD,142021,0,28,1,0,6,6,142006
107,Blaxland,NSW,116745,0,36,4,1,0,1,116715
310,Bonner,QLD,113535,0,46,1,3,3,2,113498
182,Boothby,SA,129585,3,79,0,3,2,10,129524
155,Bowman,QLD,122978,2,50,0,3,2,5,122940
193,Braddon,TAS,84278,0,65,2,11,0,18,84244
108,Bradfield,NSW,126914,2,59,0,1,0,2,126860
235,Brand,WA,112519,0,62,0,0,0,0,112457
156,Brisbane,QLD,127532,0,46,4,9,9,4,127512
201,Bruce,VIC,127671,4,55,0,1,0,1,127622
329,Bullwinkel,WA,121429,0,65,0,0,0,0,121364
317,Burt,WA,120037,2,42,0,0,0,0,119997
109,Calare,NSW,124743,0,83,0,2,0,2,124664
203,Calwell,VIC,115552,2,20,0,5,2,1,115542
101,Canberra,ACT,102980,8,54,1,2,1,4,102942
236,Canning,WA,119331,1,70,0,0,0,0,119262
157,Capricornia,QLD,115175,0,55,3,8,0,10,115141
204,Casey,VIC,122417,1,68,0,1,0,0,122351
111,Chifley,NSW,116687,4,43,0,0,0,0,116648
205,Chisholm,VIC,122795,7,71,1,0,0,1,122733
319,Clark,TAS,74315,21,41,1,5,1,2,74304
112,Cook,NSW,118924,0,81,2,6,2,2,118855
320,Cooper,VIC,119958,3,54,0,0,0,2,119909
328,Corangamite,VIC,114177,0,54,0,0,0,0,114123
208,Corio,VIC,122829,3,76,0,0,0,0,122756
237,Cowan,WA,116541,1,51,0,0,0,0,116491
113,Cowper,NSW,131719,1,86,0,1,0,4,131639
114,Cunningham,NSW,132206,3,70,0,0,0,0,132139
238,Curtin,WA,117297,2,55,0,0,0,0,117244
158,Dawson,QLD,117233,1,59,2,9,2,14,117202
209,Deakin,VIC,126749,3,78,0,0,0,1,126675
252,Dickson,QLD,119401,0,32,0,4,0,2,119375
115,Dobell,NSW,122630,0,91,0,1,0,1,122541
210,Dunkley,VIC,124407,3,63,1,0,0,2,124350
312,Durack,WA,119992,1,52,1,0,0,0,119942
117,Eden-Monaro,NSW,121441,4,71,0,1,0,1,121376
159,Fadden,QLD,135790,0,83,0,14,7,5,135733
160,Fairfax,QLD,130713,10,68,1,2,0,0,130658
118,Farrer,NSW,123827,0,78,0,0,2,1,123752
