2025 Federal Election Political Parties [Event:31496 Phase:FinalResults Generated:2025-06-16T10:39:14 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,PartyAb,RegisteredPartyAb,PartyNm
VIC,AJP,AJP,Animal Justice Party
ACT,AV,,Australia's Voice
WA,AUC,,Australian Christians
VIC,CEC,Citizens Party,Australian Citizens Party
SA,AUD,,Australian Democrats
ACT,GRN,The Greens,Australian Greens
ACT,ALP,Australian Labor Party,Australian Labor Party (ACT Branch)
ACT,ALP,ALP,Australian Labor Party (ALP)
NSW,ALP,Labor,Australian Labor Party (N.S.W. Branch)
NT,ALP,Australian Labor Party,Australian Labor Party (Northern Territory) Branch
SA,ALP,Australian Labor Party,Australian Labor Party (South Australian Branch)
QLD,ALP,Australian Labor Party,Australian Labor Party (State of Queensland)
TAS,ALP,Australian Labor Party,Australian Labor Party (Tasmanian Branch)
VIC,ALP,Australian Labor Party,Australian Labor Party (Victorian Branch)
WA,ALP,Australian Labor Party,Australian Labor Party (Western Australian Branch)
VIC,BTP,Better Together,Better Together Party
SA,XEN,Centre Alliance,Centre Alliance
NT,CLP,NT CLP,Country Liberal Party (NT)
NSW,DLFC,Frank Carbone Western Sydney Community,Dai Le & Frank Carbone W.S.C.
ACT,DAVI,,David Pocock
NSW,FFPA,Family First,Family First Party Australia
VIC,SOPA,FUSION,FUSION | Planet Rescue | Whistleblower Protection | Innovation
QLD,GRPF,,Gerard Rennick People First
NSW,IMO,HEART Party,Health Environment Accountability Rights Transparency (HEART)
NSW,IAP,Indigenous Party of Australia,Indigenous - Aboriginal Party of Australia
TAS,JLN,JLN,Jacqui Lambie Network
QLD,KAP,KAP,Katter's Australian Party (KAP)
ACT,KCBR,,Kim for Canberra
NSW,HMP,Legalise Cannabis Party,Legalise Cannabis Australia
QLD,LNP,LNP,Liberal National Party of Queensland
WA,LP,Liberal,Liberal Party (W.A. Division) Inc
ACT,LP,Liberal,Liberal Party of Australia
SA,LP,Liberal,Liberal Party of Australia (S.A. Division)
VIC,LP,Liberal,Liberal Party of Australia (Victorian Division)
ACT,LP,Liberal,Liberal Party of Australia - ACT Division
TAS,LP,Liberal,Liberal Party of Australia - Tasmanian Division
NSW,LP,Liberal,"Liberal Party of Australia, NSW Division"
VIC,LTP,Libertarian,Libertarian Party
ACT,NP,The Nationals,National Party of Australia
SA,NP,National Party,National Party of Australia (S.A.) Inc.
WA,NP,The Nationals,National Party of Australia (WA) Inc
NSW,NP,The Nationals,National Party of Australia - N.S.W.
VIC,NP,The Nationals,National Party of Australia - Victoria
QLD,ON,One Nation,Pauline Hanson's One Nation
QLD,GRN,The Greens,Queensland Greens
NSW,ASP,"Shooters, Fishers and Farmers","Shooters, Fishers and Farmers Party"
NSW,SAL,,Socialist Alliance
NSW,SPP,Sustainable Australia Party,Sustainable Australia Party - Universal Basic Income
TAS,TTFT,TT,Tammy Tyrrell for Tasmania
VIC,GVIC,The Greens,The Australian Greens - Victoria
WA,GAP,GAP,The Great Australian Party
WA,GRN,The Greens (WA),The Greens (WA) Inc
NSW,GRN,The Greens,The Greens NSW
QLD,CYA,,Trumpet of Patriots
VIC,VNS,,Victorian Socialists
