2025 Federal Election House of Representatives Candidates [Event:31496 Phase:FinalResults Generated:2025-06-16T10:38:37 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PartyAb,PartyNm,CandidateID,Surname,GivenNm,Elected,HistoricElected
VIC,210,Dunkley,HMP,Legalise Cannabis Party,41227,ABBOTT,Lisa,N,N
VIC,203,Calwell,ALP,Australian Labor Party,40860,ABDO,Basem,Y,N
WA,317,Burt,GRN,The Greens (WA) Inc,41726,ABDUL RAZAK,Adam,N,N
VIC,322,Macnamara,LTP,Libertarian,42010,ABELMAN,Michael,N,N
NSW,132,Mackellar,LTP,Libertarian,41863,ADDISON,Justin,N,N
WA,237,Cowan,LP,Liberal,41241,ADENIYI,Felicia,N,N
VIC,326,Hawke,AJP,Animal Justice Party,41320,ADIN-JAMES,Fiona,N,N
VIC,216,Holt,HMP,Legalise Cannabis Party,41221,AICKIN,Riley,N,N
NSW,251,Watson,LP,Liberal,41499,ALAM,Zakir,N,N
NSW,121,Grayndler,ALP,Labor,41373,ALBANESE,Anthony,Y,Y
VIC,323,Monash,LP,Liberal,40769,ALDRED,Mary,Y,N
SA,187,Makin,CYA,Trumpet of Patriots,41047,ALDRIDGE,Mark,N,N
TAS,196,Lyons,GRN,The Greens,41158,ALLAN,Alistair,N,N
VIC,205,Chisholm,LP,Liberal,40754,ALLEN,Katie,N,N
SA,185,Hindmarsh,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,41063,ALOE,Adrien,N,N
WA,237,Cowan,ALP,Australian Labor Party,41353,ALY,Anne,Y,Y
NSW,104,Barton,ALP,Labor,41339,AMBIHAIPAHAR,Ash,Y,N
QLD,311,Flynn,IND,Independent,40615,ANDERSON,John,N,N
VIC,201,Bruce,CYA,Trumpet of Patriots,41370,ANDERSON,Samuel James,N,N
QLD,165,Herbert,ALP,Australian Labor Party,40745,ANDREW,Edwina,N,N
QLD,157,Capricornia,CYA,Trumpet of Patriots,41340,ANDREW,Stephen,N,N
NSW,249,Paterson,LP,Liberal,41521,ANTCLIFF,Laurence,N,N
VIC,226,McEwen,GRPF,Gerard Rennick People First,40985,ANTONIOU,Ali,N,N
TAS,192,Bass,LP,Liberal,40756,ARCHER,Bridget Kathleen,N,Y
NSW,111,Chifley,CYA,Trumpet of Patriots,41748,ARCHER,Ryan,N,N
NSW,249,Paterson,CYA,Trumpet of Patriots,41687,ARENA,Peter N,N,N
QLD,159,Fadden,GRPF,Gerard Rennick People First,40968,ARMFIELD,John,N,N
WA,243,O'Connor,HMP,Legalise Cannabis Party,41759,ARNATT,Philip,N,N
QLD,172,Moncrieff,IND,Independent,40697,ARROWSMITH,Nicole,N,N
VIC,309,Gorton,FFPA,Family First,41586,ASHTON,Kathrine,N,N
NSW,119,Fowler,FFPA,Family First,41806,ATHAVLE,Jared,N,N
VIC,233,Wannon,IND,Independent,41466,ATKINSON,Bernadine,N,N
QLD,171,McPherson,ON,Pauline Hanson's One Nation,40944,ATTIIG,Zyion,N,N
NSW,105,Bennelong,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,41851,AUGUST,John,N,N
WA,317,Burt,LP,Liberal,41229,AYRES,Sean,N,N
VIC,324,Nicholls,FFPA,Family First,41549,BACHELOR,Paul Edward,N,N
NSW,138,Page,ALP,Labor,41431,BACKHOUS,Wendy,N,N
NSW,104,Barton,GRN,The Greens,41494,BAHSA,Manal,N,N
NSW,250,Riverina,IND,Independent,41977,BAIKIE,Barbara,N,N
QLD,176,Rankin,SAL,Socialist Alliance,41479,BAINBRIDGE,Alex,N,N
NT,306,Lingiari,ON,Pauline Hanson's One Nation,41020,BAIRAMIS,Sakellarios,N,N
SA,183,Grey,CYA,Trumpet of Patriots,41044,BAIS,Laury Hendrik,N,N
QLD,174,Oxley,ON,Pauline Hanson's One Nation,40952,BAKER,Darren,N,N
NSW,138,Page,CEC,Citizens Party,40865,BAKER,Jennifer,N,N
NSW,153,Werriwa,FFPA,Family First,41827,BALESTRI,Jacob,N,N
QLD,311,Flynn,GRN,The Greens,41284,BAMBRICK,Paul,N,N
VIC,228,Melbourne,GVIC,The Greens,41119,BANDT,Adam,N,Y
VIC,200,Bendigo,LTP,Libertarian,41618,BANSEMER,Matt,N,N
VIC,222,Lalor,LTP,Libertarian,42079,BARCATTA,Patrizia,N,N
VIC,328,Corangamite,LTP,Libertarian,41911,BARKER,Paul,N,N
VIC,198,Ballarat,GVIC,The Greens,41081,BARNES,John,N,N
VIC,200,Bendigo,GVIC,The Greens,41090,BARNETT-DACEY,Avery,N,N
VIC,224,Mallee,LTP,Libertarian,41308,BARRY,Jeff,N,N
VIC,217,Hotham,GVIC,The Greens,41115,BARRY,Martin,N,N
WA,242,Moore,AUC,Australian Christians,41097,BARTLEY,Trevor Alan,N,N
WA,242,Moore,IND,Independent,40666,BARTON,Nathan,N,N
SA,188,Mayo,LP,Liberal,41035,BASIC,Zane,N,N
NSW,106,Berowra,CYA,Trumpet of Patriots,41697,BASTIAN,Stephen,N,N
NSW,251,Watson,IND,Independent,40898,BASYOUNY,Ziad,N,N
