2025 Federal Election House of Representatives seats that changed hands [Event:31496 Phase:FinalResults Generated:2025-06-16T10:38:38 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PreviousPartyAb,PreviousPartyNm,CandidateID,Surname,GivenNm,PartyAb,PartyNm
VIC,197,Aston,LP,Liberal,40809,DOYLE,Mary,ALP,Australian Labor Party
NSW,103,Banks,LP,Liberal,41350,SOON,Zhi,ALP,Australian Labor Party
TAS,192,Bass,LP,Liberal,41546,TEESDALE,Jess,ALP,Australian Labor Party
QLD,310,Bonner,LNP,Liberal National Party of Queensland,40727,COOK,Kara,ALP,Australian Labor Party
TAS,193,Braddon,LP,Liberal,41513,URQUHART,Anne,ALP,Australian Labor Party
NSW,108,Bradfield,LP,Liberal,36047,BOELE,Nicolette,IND,Independent
QLD,156,Brisbane,GRN,The Greens,40731,JARRETT,Madonna,ALP,Australian Labor Party
NSW,109,Calare,NP,The Nationals,36348,GEE,Andrew,IND,Independent
VIC,209,Deakin,LP,Liberal,40861,GREGG,Matt,ALP,Australian Labor Party
QLD,252,Dickson,LNP,Liberal National Party of Queensland,40742,FRANCE,Ali,ALP,Australian Labor Party
QLD,162,Forde,LNP,Liberal National Party of Queensland,40732,HOLZBERGER,Rowan,ALP,Australian Labor Party
VIC,214,Goldstein,IND,Independent,40747,WILSON,Tim,LP,Liberal
QLD,163,Griffith,GRN,The Greens,40739,COFFEY,Renee,ALP,Australian Labor Party
NSW,124,Hughes,LP,Liberal,41400,MONCRIEFF,David,ALP,Australian Labor Party
QLD,168,Leichhardt,LNP,Liberal National Party of Queensland,40771,SMITH,Matt,ALP,Australian Labor Party
VIC,228,Melbourne,GVIC,The Greens,40817,WITTY,Sarah,ALP,Australian Labor Party
VIC,229,Menzies,LP,Liberal,40820,NG,Gabriel,ALP,Australian Labor Party
WA,242,Moore,LP,Liberal,41414,FRENCH,Tom,ALP,Australian Labor Party
QLD,175,Petrie,LNP,Liberal National Party of Queensland,40801,COMER,Emma,ALP,Australian Labor Party
SA,190,Sturt,LP,Liberal,41209,CLUTTERHAM,Claire,ALP,Australian Labor Party
