production_type,jurisdiction,unit,financial_year,is_preliminary,value_aud_thousands
State wild-catch fisheries,New South Wales,$’000,1998-99,False,82428
State wild-catch fisheries,New South Wales,$’000,1999-00,False,87961.9
State wild-catch fisheries,New South Wales,$’000,2000-01,False,104394.9
State wild-catch fisheries,New South Wales,$’000,2001-02,False,95101.5
State wild-catch fisheries,New South Wales,$’000,2002-03,False,104433.3
State wild-catch fisheries,New South Wales,$’000,2003-04,False,89711.2
State wild-catch fisheries,New South Wales,$’000,2004-05,False,79614
State wild-catch fisheries,New South Wales,$’000,2005-06,False,81017.2
State wild-catch fisheries,New South Wales,$’000,2006-07,False,87400.7
State wild-catch fisheries,New South Wales,$’000,2007-08,False,89044.3
State wild-catch fisheries,New South Wales,$’000,2008-09,False,79110.7
State wild-catch fisheries,New South Wales,$’000,2009-10,False,81851.8
State wild-catch fisheries,New South Wales,$’000,2010-11,False,79149.3
State wild-catch fisheries,New South Wales,$’000,2011-12,False,77265.3
State wild-catch fisheries,New South Wales,$’000,2012-13,False,80693.7
State wild-catch fisheries,New South Wales,$’000,2013-14,False,92479
State wild-catch fisheries,New South Wales,$’000,2014-15,False,89483.5
State wild-catch fisheries,New South Wales,$’000,2015-16,False,91082
State wild-catch fisheries,New South Wales,$’000,2016-17,False,89305
State wild-catch fisheries,New South Wales,$’000,2017-18,False,99501.1
State wild-catch fisheries,New South Wales,$’000,2018-19,False,106233.7
State wild-catch fisheries,New South Wales,$’000,2019-20,False,113173.6
State wild-catch fisheries,New South Wales,$’000,2020-21,False,102927
State wild-catch fisheries,New South Wales,$’000,2021-22,False,98013.1
State wild-catch fisheries,New South Wales,$’000,2022-23,False,95706.3
State wild-catch fisheries,New South Wales,$’000,2023-24,False,102932.9
State wild-catch fisheries,New South Wales,$’000,2024-25,True,na
State wild-catch fisheries,Victoria,$’000,1998-99,False,74386
State wild-catch fisheries,Victoria,$’000,1999-00,False,89914
State wild-catch fisheries,Victoria,$’000,2000-01,False,108002
State wild-catch fisheries,Victoria,$’000,2001-02,False,101656
State wild-catch fisheries,Victoria,$’000,2002-03,False,89048
State wild-catch fisheries,Victoria,$’000,2003-04,False,72214
State wild-catch fisheries,Victoria,$’000,2004-05,False,85859
State wild-catch fisheries,Victoria,$’000,2005-06,False,77502
State wild-catch fisheries,Victoria,$’000,2006-07,False,74631
State wild-catch fisheries,Victoria,$’000,2007-08,False,67830
State wild-catch fisheries,Victoria,$’000,2008-09,False,54284
State wild-catch fisheries,Victoria,$’000,2009-10,False,47663
State wild-catch fisheries,Victoria,$’000,2010-11,False,51258.2
State wild-catch fisheries,Victoria,$’000,2011-12,False,55474.5
State wild-catch fisheries,Victoria,$’000,2012-13,False,55745.1
State wild-catch fisheries,Victoria,$’000,2013-14,False,54840.5
State wild-catch fisheries,Victoria,$’000,2014-15,False,58741.7
State wild-catch fisheries,Victoria,$’000,2015-16,False,57809.9
State wild-catch fisheries,Victoria,$’000,2016-17,False,54362.3
State wild-catch fisheries,Victoria,$’000,2017-18,False,62770.1
State wild-catch fisheries,Victoria,$’000,2018-19,False,71596.2
State wild-catch fisheries,Victoria,$’000,2019-20,False,62254.8
State wild-catch fisheries,Victoria,$’000,2020-21,False,45110.8
State wild-catch fisheries,Victoria,$’000,2021-22,False,49353.3
State wild-catch fisheries,Victoria,$’000,2022-23,False,49848.4
State wild-catch fisheries,Victoria,$’000,2023-24,False,47210.8
State wild-catch fisheries,Victoria,$’000,2024-25,True,na
State wild-catch fisheries,Queensland,$’000,1998-99,False,227983.4
State wild-catch fisheries,Queensland,$’000,1999-00,False,227021.9
State wild-catch fisheries,Queensland,$’000,2000-01,False,253634.5
State wild-catch fisheries,Queensland,$’000,2001-02,False,234007.8
State wild-catch fisheries,Queensland,$’000,2002-03,False,228120
State wild-catch fisheries,Queensland,$’000,2003-04,False,237792
State wild-catch fisheries,Queensland,$’000,2004-05,False,198265.2
State wild-catch fisheries,Queensland,$’000,2005-06,False,218456.1
State wild-catch fisheries,Queensland,$’000,2006-07,False,206940
State wild-catch fisheries,Queensland,$’000,2007-08,False,208205
State wild-catch fisheries,Queensland,$’000,2008-09,False,223024
State wild-catch fisheries,Queensland,$’000,2009-10,False,222411.1
State wild-catch fisheries,Queensland,$’000,2010-11,False,194739.5
State wild-catch fisheries,Queensland,$’000,2011-12,False,185616.2
State wild-catch fisheries,Queensland,$’000,2012-13,False,196213.1
State wild-catch fisheries,Queensland,$’000,2013-14,False,191334
State wild-catch fisheries,Queensland,$’000,2014-15,False,182208.6
State wild-catch fisheries,Queensland,$’000,2015-16,False,175897.4
State wild-catch fisheries,Queensland,$’000,2016-17,False,192908.9
State wild-catch fisheries,Queensland,$’000,2017-18,False,180198.9
State wild-catch fisheries,Queensland,$’000,2018-19,False,158942.4
State wild-catch fisheries,Queensland,$’000,2019-20,False,156058.5
State wild-catch fisheries,Queensland,$’000,2020-21,False,243095.3
State wild-catch fisheries,Queensland,$’000,2021-22,False,223764.5
State wild-catch fisheries,Queensland,$’000,2022-23,False,268560.6
State wild-catch fisheries,Queensland,$’000,2023-24,False,223003.5
State wild-catch fisheries,Queensland,$’000,2024-25,True,na
State wild-catch fisheries,South Australia,$’000,1998-99,False,165106.2
State wild-catch fisheries,South Australia,$’000,1999-00,False,182986
State wild-catch fisheries,South Australia,$’000,2000-01,False,206986.2
State wild-catch fisheries,South Australia,$’000,2001-02,False,206779
State wild-catch fisheries,South Australia,$’000,2002-03,False,195219
State wild-catch fisheries,South Australia,$’000,2003-04,False,182536
State wild-catch fisheries,South Australia,$’000,2004-05,False,182959
State wild-catch fisheries,South Australia,$’000,2005-06,False,192674
State wild-catch fisheries,South Australia,$’000,2006-07,False,218684
State wild-catch fisheries,South Australia,$’000,2007-08,False,205967
State wild-catch fisheries,South Australia,$’000,2008-09,False,219285
State wild-catch fisheries,South Australia,$’000,2009-10,False,199489
State wild-catch fisheries,South Australia,$’000,2010-11,False,195440
State wild-catch fisheries,South Australia,$’000,2011-12,False,208928
State wild-catch fisheries,South Australia,$’000,2012-13,False,198105
State wild-catch fisheries,South Australia,$’000,2013-14,False,210410
State wild-catch fisheries,South Australia,$’000,2014-15,False,240204
State wild-catch fisheries,South Australia,$’000,2015-16,False,264653
State wild-catch fisheries,South Australia,$’000,2016-17,False,253107
State wild-catch fisheries,South Australia,$’000,2017-18,False,264049
