jurisdiction,measure,production_type,category,commodity,unit,financial_year,is_preliminary,amount
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,1998-99,False,39615
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,1999-00,False,43771
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2000-01,False,52682
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2001-02,False,47405
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2002-03,False,32459
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2003-04,False,43423
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2004-05,False,35805
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2005-06,False,36909
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2006-07,False,42656
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2007-08,False,35874
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2008-09,False,34289
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2009-10,False,31145
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2010-11,False,34140
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2011-12,False,28588
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2012-13,False,30135
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2013-14,False,29845
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2014-15,False,35569
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2015-16,False,45039
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2016-17,False,46271
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2017-18,False,51181
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2018-19,False,46981
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2019-20,False,25859
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2020-21,False,38969
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2021-22,False,33976
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2022-23,False,30302
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2023-24,False,26747
South Australia,Value,Wild-caught,Crustaceans,Prawns,$’000,2024-25,True,na
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,1998-99,False,73908
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,1999-00,False,81049
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2000-01,False,83097
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2001-02,False,91862
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2002-03,False,82666
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2003-04,False,61365
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2004-05,False,66041
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2005-06,False,81170
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2006-07,False,96745
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2007-08,False,91666
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2008-09,False,104702
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2009-10,False,85837
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2010-11,False,81326
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2011-12,False,96060
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2012-13,False,86168
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2013-14,False,108465
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2014-15,False,124709
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2015-16,False,137680
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2016-17,False,120082
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2017-18,False,122578
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2018-19,False,136253
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2019-20,False,122043
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2020-21,False,82891
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2021-22,False,79231
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2022-23,False,84726
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2023-24,False,101348
South Australia,Value,Wild-caught,Crustaceans,Southern Rock Lobsters,$’000,2024-25,True,na
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,1998-99,False,3863
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,1999-00,False,3544
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2000-01,False,4236
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2001-02,False,4356
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2002-03,False,4445
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2003-04,False,4020
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2004-05,False,4125
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2005-06,False,4155
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2006-07,False,5834
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2007-08,False,6007
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2008-09,False,5863
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2009-10,False,4804
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2010-11,False,5257
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2011-12,False,5967
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2012-13,False,4196
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2013-14,False,4877
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2014-15,False,4827
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2015-16,False,5606
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2016-17,False,5841
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2017-18,False,5667
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2018-19,False,6495
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2019-20,False,7569
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2020-21,False,7313
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2021-22,False,7220
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2022-23,False,8520
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2023-24,False,7375
South Australia,Value,Wild-caught,Crustaceans,Crabs,$’000,2024-25,True,na
South Australia,Value,Wild-caught,Crustaceans,Other Crustaceans,$’000,1998-99,False,10
South Australia,Value,Wild-caught,Crustaceans,Other Crustaceans,$’000,1999-00,False,0
South Australia,Value,Wild-caught,Crustaceans,Other Crustaceans,$’000,2000-01,False,13
South Australia,Value,Wild-caught,Crustaceans,Other Crustaceans,$’000,2001-02,False,0
South Australia,Value,Wild-caught,Crustaceans,Other Crustaceans,$’000,2002-03,False,0
South Australia,Value,Wild-caught,Crustaceans,Other Crustaceans,$’000,2003-04,False,272
South Australia,Value,Wild-caught,Crustaceans,Other Crustaceans,$’000,2004-05,False,218
