id,resource_type,title,description,start_date,end_date,latitude,longitude,author,evacuated,homeless,injuries,deaths,insured_cost_aud,trains_damaged,trains_destroyed,homes_damaged,homes_destroyed,buildings_damaged,buildings_destroyed,industrial_premises_destroyed,commercial_premises_damaged,commercial_premises_destroyed,bridges_damaged,bridges_destroyed,aircraft_damaged,aircraft_destroyed,motor_vehicles_damaged,motor_vehicles_destroyed,water_vessels_damaged,water_vessels_destroyed,businesses_damaged,businesses_destroyed,farms_damaged,farms_destroyed,crops_destroyed,livestock_destroyed,government_assistance_aud,regions_affected,subjects,source_url,south_australia_affected
1,Disaster Event,Environmental - South-Eastern Australia Heatwave 1939,"An extreme heatwave occurred in south-eastern Australia, January 1939. It was long lasting with very high temperatures. On 9 January the temperature at Kyancutta (South Australia) reached 49.3 °C, the highest temperature recorded in South Australia at that time.  Many temperature records were made during this heatwave, some of which have held until the recent 2009 heatwave; Adelaide, 46.1 °C, on 12 January, Melbourne, 45.6°C on 13 January, Sydney, 45.3°C on 14 January with Manly and Richmond both reaching over 47 °C. In northern New South Wales some places reached 48 °C on 15 January. Menindee in western New South Wales reached 49.7 °C.  High temperatures were experienced inland in 1939; at Mildura the temperature exceeded 37.8 °C on each of the first 14 days of January, and at the peak of the heatwave, averaged 45.6°C from 7-14 January. It is estimated that more than 400 deaths in Victoria were caused by excessive heat.  The strong northerly winds in 1939 over this period followed a very dry six months providing the right conditions for extreme bushfire, see the related entry for the 13 January 1939, Black Friday bushfire.",1939-01-01,1939-01-16,-33.1315155,135.5578918,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria;New South Wales;South Australia,,http://www.emknowledge.gov.au/resource/?id=1,Y
7,Disaster Event,Bushfire - Wandilo,"On 5 April 1958 a pine plantation fire occurred in Wandilo, near Mount Gambier, where eight firefighters lost their lives. The fire started at 10.45 am and strong north, north-easterly winds forced the fire into nearby forests. Forestry and Emergency Fire Service units were dispatched and entered a clearing in the plantation. A fire storm developed and fire fighting crews were caught unprepared. Two forestry units were bogged in soft sand when trying to evacuate and another damaged a gearbox and could not move. Three people managed to survive in and out of the trucks but eight others died.  The fire was brought under control early the next day.",1958-04-05,1958-04-06,-37.73846054,140.7737122,,,,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=7,Y
10,Disaster Event,Industrial - Gladstone Factory Explosion,"On 9 May 2006, an explosion occurred at a munitions factory in Gladstone, South Australia. Three workers were killed and two others injured. The blast destroyed the factory and leveled almost everything within a 100 m radius of the factory and was heard up to 70 km away. Emergency services were kept at a distance until bomb experts from Adelaide gave the all clear to enter the immediate vicinity of the factory.  SafeWork South Australia and the Full Court of the Industrial Court found the explosion to be caused by friction in a 'ribbon blender', or chemical mixer, as a result of poor maintenance. The company was fined for failure to maintain a safe workplace and ordered to pay legal costs and compensation to the victim's families.",2006-05-09,2006-05-09,-33.26222992,138.3563232,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=10,Y
26,Disaster Event,Urban Fire - Adelaide Shopping Centre,"On 22 August 2004 a fire occurred at a shopping centre in Torrens Park, Adelaide. The deliberately lit fire caused in excess of $25 million damage and affected over 50 business owners.  Fire fighting efforts saved the complex from complete destruction; half the complex was saved from the fire and many stores were open for business within a few days. The incident involved 70 firefighters, 13 pumps, two aerial appliances and three specialist vehicles and assistance from the Country Fire Service.",2004-08-22,2004-08-22,-34.97860336,138.6230469,,,,,,25000000,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=26,Y
51,Disaster Event,Shipwreck - Geltwood,"The Geltwood was a three mast iron barque. It was en route from Liverpool to Sydney and Melbourne with a general cargo and 27 passengers when it hit a storm off the south-eastern coast of South Australia. It was driven to shore on 14 June 1876. Sometime later a boundary rider stumbled across the wreckage and human remains in the sand 14 miles from Millicent, South Australia. In total 30 lives were lost.",1876-14-06,1876-14-06,-37.66126633,140.1385193,,,,,30,,,,,,,,,,,,,,,,,,1,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=51,Y
52,Disaster Event,Transport - Adelaide Bus Collision,"On 2 October 1989, two buses collided on Adelaide’s O-Bahn (high speed busway). There were 78 people injured. The accident occurred 5 km north-east of the city, when a bus moving off the track onto the interchange was hit from behind by a second bus.",1989-10-02,1989-10-02,-34.92675781,138.5994873,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=52,Y
60,Disaster Event,Environmental - Heatwave Dec 1909,"In the summer of 1909 - 1910 it is estimated that 109 people died as a result of a heatwave.  Mortality during heatwaves can be difficult to measure, as deaths tend to occur from exacerbations of chronic medical conditions as well as direct heat related illness, particularly in the frail and elderly. Excess mortality provides a measure of impact, but does not provide information specifically on underlying cause of death (Victorian Government, January 2009 Heatwave in Victoria: an Assessment of Health Impacts).  It is imperative that heatwaves are included in the disaster information, however, for reasons outlined above accurate statistics as to the actual numbers of deaths and injuries in most instances cannot be provided.",1909-12-09,1910-02-10,-33.87330246,151.2070618,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,Queensland;New South Wales;Tasmania;Australian Capital Territory;Northern Territory;South Australia;Western Australia;Victoria,,http://www.emknowledge.gov.au/resource/?id=60,Y
64,Disaster Event,Shipwreck - Moolgewanke,"The Moolgewanke was an iron paddle steamer. It operated on the Murray River at Swan Reach, South Australia. A boiler explosion occurred on 21 July 1874. Three people died and one person was injured.  The Moolgewanke was rebuilt and operated as a steamer until 1878, when her engines were removed and placed in the new vessel, PS Paringa. Moolgewanke continued working as a barge and was finally taken from the register in 1904, when it was stated she had burnt and was abandoned at Wentworth.",1874-21-07,1874-21-07,-34.57414627,139.5933075,,,,1,3,,,,,,,,,,,,,,,,,,1,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=64,Y
81,Disaster Event,Earthquake - Beachport and Robe,"An earthquake occurred at Beachport on 10 May 1897; it was considered to be the largest in South Australia since 1837. Substantial damage occurred in the South East of the state at Kingston, Robe and Beachport, and some minor damage was experienced in Adelaide. Shocks were felt as far away as Port Augusta and Melbourne and aftershocks around Kingston continued for many months.  Approximately 50 people sustained injuries.",1897-10-05,1897-10-05,-37.16278076,139.7553558,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=81,Y
95,Disaster Event,Environmental - Eastern Australia Drought,"From April 1982 to March 1983, almost all of eastern Australia was severely affected by drought. Large parts of south-eastern Australia suffered their lowest rainfall on record.  The impact of the 'Great Dry' was felt most in farming areas with massive crop and livestock losses. A total of 86 million sheep and 14 million cattle died as a result. Wheat production fell by 37 per cent, with similar falls in barley, oats, rice, cotton and sugar.  Dust storms caused the loss of millions of dollars worth of topsoil.",1982-04-01,1983-03-01,-28.92163086,145.612793,,,,,,3000000000,,,,,,,,,,,,,,,,,,,,,,,,,Tasmania;Queensland;New South Wales;Australian Capital Territory;Northern Territory;South Australia;Western Australia;Victoria,,http://www.emknowledge.gov.au/resource/?id=95,Y
