reference_quarter,working_days_lost_000,working_days_lost_000_series_id,working_days_lost_per_1000_employees,working_days_lost_per_1000_employees_series_id
1985-Q1,4.5,A2540882R,9.3,A2540891T
1985-Q2,3.5,A2540882R,7.2,A2540891T
1985-Q3,9.1,A2540882R,19,A2540891T
1985-Q4,5.5,A2540882R,11,A2540891T
1986-Q1,4.8,A2540882R,9.6,A2540891T
1986-Q2,22.2,A2540882R,44.1,A2540891T
1986-Q3,9.5,A2540882R,19.4,A2540891T
1986-Q4,9.7,A2540882R,18.8,A2540891T
1987-Q1,3.1,A2540882R,6.2,A2540891T
1987-Q2,12.1,A2540882R,24,A2540891T
1987-Q3,20.4,A2540882R,41.7,A2540891T
1987-Q4,9.1,A2540882R,18.3,A2540891T
1988-Q1,6.6,A2540882R,13.1,A2540891T
1988-Q2,27.3,A2540882R,53.5,A2540891T
1988-Q3,9.4,A2540882R,18.6,A2540891T
1988-Q4,3.6,A2540882R,6.9,A2540891T
1989-Q1,9.2,A2540882R,17.4,A2540891T
1989-Q2,7.6,A2540882R,14.1,A2540891T
1989-Q3,10.9,A2540882R,20,A2540891T
1989-Q4,7.4,A2540882R,13.5,A2540891T
1990-Q1,8.1,A2540882R,14.7,A2540891T
1990-Q2,28.4,A2540882R,51.4,A2540891T
1990-Q3,42.2,A2540882R,78,A2540891T
1990-Q4,47.2,A2540882R,86,A2540891T
1991-Q1,8.5,A2540882R,15.3,A2540891T
1991-Q2,31.3,A2540882R,58.2,A2540891T
1991-Q3,16.8,A2540882R,32.2,A2540891T
1991-Q4,2.8,A2540882R,5.3,A2540891T
1992-Q1,2,A2540882R,3.8,A2540891T
1992-Q2,1,A2540882R,2,A2540891T
1992-Q3,1.8,A2540882R,3.5,A2540891T
1992-Q4,7.4,A2540882R,14.5,A2540891T
1993-Q1,9.8,A2540882R,19.1,A2540891T
1993-Q2,4.2,A2540882R,8,A2540891T
1993-Q3,8.5,A2540882R,16.7,A2540891T
1993-Q4,3.1,A2540882R,5.9,A2540891T
1994-Q1,1.3,A2540882R,2.6,A2540891T
1994-Q2,3.6,A2540882R,6.9,A2540891T
1994-Q3,4.6,A2540882R,8.8,A2540891T
1994-Q4,8.4,A2540882R,15.9,A2540891T
1995-Q1,8.3,A2540882R,15.5,A2540891T
1995-Q2,4.3,A2540882R,8.1,A2540891T
1995-Q3,1.3,A2540882R,2.4,A2540891T
1995-Q4,1.4,A2540882R,2.6,A2540891T
1996-Q1,14.1,A2540882R,26.4,A2540891T
1996-Q2,16.2,A2540882R,30.6,A2540891T
1996-Q3,10,A2540882R,18.7,A2540891T
1996-Q4,1.2,A2540882R,2.2,A2540891T
1997-Q1,2.2,A2540882R,4,A2540891T
1997-Q2,2.9,A2540882R,5.3,A2540891T
1997-Q3,1.4,A2540882R,2.7,A2540891T
1997-Q4,1.6,A2540882R,2.8,A2540891T
1998-Q1,0.8,A2540882R,1.4,A2540891T
1998-Q2,2.8,A2540882R,5.1,A2540891T
1998-Q3,5.1,A2540882R,9.5,A2540891T
1998-Q4,7.5,A2540882R,13.9,A2540891T
1999-Q1,2.7,A2540882R,4.8,A2540891T
1999-Q2,2.6,A2540882R,4.7,A2540891T
1999-Q3,7.3,A2540882R,13.4,A2540891T
1999-Q4,2.5,A2540882R,4.4,A2540891T
2000-Q1,8.8,A2540882R,15.9,A2540891T
2000-Q2,4.4,A2540882R,7.8,A2540891T
2000-Q3,1.5,A2540882R,2.7,A2540891T
2000-Q4,0.9,A2540882R,1.6,A2540891T
2001-Q1,1,A2540882R,1.7,A2540891T
2001-Q2,0.9,A2540882R,1.6,A2540891T
2001-Q3,11.9,A2540882R,21,A2540891T
2001-Q4,1.8,A2540882R,3.1,A2540891T
2002-Q1,2.1,A2540882R,3.7,A2540891T
2002-Q2,3.1,A2540882R,5.3,A2540891T
2002-Q3,3.2,A2540882R,5.4,A2540891T
2002-Q4,2.1,A2540882R,3.5,A2540891T
2003-Q1,2.1,A2540882R,3.5,A2540891T
2003-Q2,1.3,A2540882R,2.1,A2540891T
2003-Q3,3.6,A2540882R,6,A2540891T
2003-Q4,4.4,A2540882R,7.2,A2540891T
2004-Q1,4.9,A2540882R,8.1,A2540891T
2004-Q2,1.5,A2540882R,2.4,A2540891T
2004-Q3,1.1,A2540882R,1.8,A2540891T
2004-Q4,0.7,A2540882R,1.1,A2540891T
2005-Q1,1.3,A2540882R,2.1,A2540891T
2005-Q2,0.9,A2540882R,1.3,A2540891T
2005-Q3,3.8,A2540882R,5.9,A2540891T
2005-Q4,1.3,A2540882R,2,A2540891T
2006-Q1,1,A2540882R,1.5,A2540891T
2006-Q2,0.2,A2540882R,0.3,A2540891T
2006-Q3,0.5,A2540882R,0.7,A2540891T
2006-Q4,0.9,A2540882R,1.4,A2540891T
2007-Q1,2.1,A2540882R,3.2,A2540891T
2007-Q2,0.6,A2540882R,1,A2540891T
2007-Q3,0.1,A2540882R,0.2,A2540891T
2007-Q4,,,0.1,A2540891T
2008-Q1,0.1,A2540882R,0.2,A2540891T
2008-Q2,9.8,A2540882R,14.4,A2540891T
2008-Q3,4.3,A2540882R,6.3,A2540891T
2009-Q2,0.4,A2540882R,0.6,A2540891T
2009-Q4,1.7,A2540882R,2.5,A2540891T
2010-Q1,0.5,A2540882R,0.7,A2540891T
2010-Q2,0.2,A2540882R,0.2,A2540891T
2010-Q3,2.4,A2540882R,3.5,A2540891T
2010-Q4,1.1,A2540882R,1.5,A2540891T
