reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
2008-Q1,Working days Lost,Coal mining,,000,A2540851X,0.2
2008-Q1,Working days Lost,Other mining,,000,A2540852A,0.1
2008-Q1,Working days Lost,Metal product etc manufacturing,,000,A2540850W,0.2
2008-Q1,Working days Lost,Other manufacturing,,000,A2540853C,0.2
2008-Q1,Working days Lost,Construction,,000,A2540849L,2
2008-Q1,Working days Lost,"Transport, postal & warehousing",,000,A2540847J,0.4
2008-Q1,Working days Lost,Education & training,health care & social assistance,000,A2540846F,34.4
2008-Q1,Working days Lost,Other industries,,000,A2540848K,5.2
2008-Q1,Working days Lost,All industries,,000,A2540854F,42.8
2008-Q2,Working days Lost,Metal product etc manufacturing,,000,A2540850W,10.1
2008-Q2,Working days Lost,Other manufacturing,,000,A2540853C,0.4
2008-Q2,Working days Lost,Construction,,000,A2540849L,1.4
2008-Q2,Working days Lost,"Transport, postal & warehousing",,000,A2540847J,1.5
2008-Q2,Working days Lost,Education & training,health care & social assistance,000,A2540846F,65.6
2008-Q2,Working days Lost,Other industries,,000,A2540848K,7.5
2008-Q2,Working days Lost,All industries,,000,A2540854F,86.5
2008-Q3,Working days Lost,Coal mining,,000,A2540851X,1.6
2008-Q3,Working days Lost,Other mining,,000,A2540852A,0.2
2008-Q3,Working days Lost,Metal product etc manufacturing,,000,A2540850W,0.2
2008-Q3,Working days Lost,Other manufacturing,,000,A2540853C,1.5
2008-Q3,Working days Lost,Construction,,000,A2540849L,7.1
2008-Q3,Working days Lost,"Transport, postal & warehousing",,000,A2540847J,1.3
2008-Q3,Working days Lost,Education & training,health care & social assistance,000,A2540846F,17.9
2008-Q3,Working days Lost,Other industries,,000,A2540848K,6.3
2008-Q3,Working days Lost,All industries,,000,A2540854F,36.2
2008-Q4,Working days Lost,Metal product etc manufacturing,,000,A2540850W,0.6
2008-Q4,Working days Lost,Other manufacturing,,000,A2540853C,0.3
2008-Q4,Working days Lost,Construction,,000,A2540849L,3.3
2008-Q4,Working days Lost,Education & training,health care & social assistance,000,A2540846F,19.5
2008-Q4,Working days Lost,All industries,,000,A2540854F,31.1
2009-Q1,Working days Lost,Coal mining,,000,A2540851X,0.7
2009-Q1,Working days Lost,Metal product etc manufacturing,,000,A2540850W,0.6
2009-Q1,Working days Lost,Other manufacturing,,000,A2540853C,1.6
2009-Q1,Working days Lost,Construction,,000,A2540849L,4.3
2009-Q1,Working days Lost,"Transport, postal & warehousing",,000,A2540847J,0.7
2009-Q1,Working days Lost,Education & training,health care & social assistance,000,A2540846F,0.1
2009-Q1,Working days Lost,Other industries,,000,A2540848K,3.6
2009-Q1,Working days Lost,All industries,,000,A2540854F,11.6
2009-Q2,Working days Lost,Coal mining,,000,A2540851X,0.1
2009-Q2,Working days Lost,Metal product etc manufacturing,,000,A2540850W,0.8
