reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
2003-Q1,Number of Disputes,Enterprise Bargaining related,Remuneration,Number,A2540893W,11
2003-Q1,Number of Disputes,Enterprise Bargaining related,Employment conditions,Number,A2540923X,19
2003-Q1,Number of Disputes,Non-Enterprise Bargaining related,Remuneration,Number,A2540920T,11
2003-Q1,Number of Disputes,Non-Enterprise Bargaining related,Employment conditions,Number,A2540911R,8
2003-Q1,Number of Disputes,Non-Enterprise Bargaining related,Health and safety,Number,A2540899K,46
2003-Q1,Number of Disputes,Non-Enterprise Bargaining related,Job security,Number,A2540908A,4
2003-Q1,Number of Disputes,Non-Enterprise Bargaining related,Managerial policy,Number,A2540905V,31
2003-Q1,Number of Disputes,Non-Enterprise Bargaining related,Union issues,Number,A2540917C,9
2003-Q1,Number of Disputes,Non-Enterprise Bargaining related,Other,Number,A2540902L,7
2003-Q1,Number of Disputes,Total disputes,,Number,A2540914W,146
2003-Q1,Employees Involved,Enterprise Bargaining related,Remuneration,000,A2540894X,1
2003-Q1,Employees Involved,Enterprise Bargaining related,Employment conditions,000,A2540924A,6.8
2003-Q1,Employees Involved,Non-Enterprise Bargaining related,Remuneration,000,A2540921V,1
2003-Q1,Employees Involved,Non-Enterprise Bargaining related,Employment conditions,000,A2540912T,0.9
2003-Q1,Employees Involved,Non-Enterprise Bargaining related,Health and safety,000,A2540900J,5.3
2003-Q1,Employees Involved,Non-Enterprise Bargaining related,Job security,000,A2540909C,0.5
2003-Q1,Employees Involved,Non-Enterprise Bargaining related,Managerial policy,000,A2540906W,4.9
2003-Q1,Employees Involved,Non-Enterprise Bargaining related,Union issues,000,A2540918F,1.1
2003-Q1,Employees Involved,Non-Enterprise Bargaining related,Other,000,A2540903R,4
2003-Q1,Employees Involved,Total disputes,,000,A2540915X,25.4
2003-Q1,Working days Lost,Enterprise Bargaining related,Remuneration,000,A2540895A,3.7
2003-Q1,Working days Lost,Enterprise Bargaining related,Employment conditions,000,A2540925C,8.9
2003-Q1,Working days Lost,Non-Enterprise Bargaining related,Remuneration,000,A2540922W,0.9
2003-Q1,Working days Lost,Non-Enterprise Bargaining related,Employment conditions,000,A2540913V,1
2003-Q1,Working days Lost,Non-Enterprise Bargaining related,Health and safety,000,A2540901K,11.2
2003-Q1,Working days Lost,Non-Enterprise Bargaining related,Job security,000,A2540910L,1
2003-Q1,Working days Lost,Non-Enterprise Bargaining related,Managerial policy,000,A2540907X,5.4
2003-Q1,Working days Lost,Non-Enterprise Bargaining related,Union issues,000,A2540919J,3.5
2003-Q1,Working days Lost,Non-Enterprise Bargaining related,Other,000,A2540904T,3.6
2003-Q1,Working days Lost,Total disputes,,000,A2540916A,39
2003-Q2,Number of Disputes,Enterprise Bargaining related,Remuneration,Number,A2540893W,5
2003-Q2,Number of Disputes,Enterprise Bargaining related,Employment conditions,Number,A2540923X,19
2003-Q2,Number of Disputes,Enterprise Bargaining related,Other,Number,A2540896C,6
2003-Q2,Number of Disputes,Non-Enterprise Bargaining related,Remuneration,Number,A2540920T,10
2003-Q2,Number of Disputes,Non-Enterprise Bargaining related,Employment conditions,Number,A2540911R,12
2003-Q2,Number of Disputes,Non-Enterprise Bargaining related,Health and safety,Number,A2540899K,33
2003-Q2,Number of Disputes,Non-Enterprise Bargaining related,Job security,Number,A2540908A,4
2003-Q2,Number of Disputes,Non-Enterprise Bargaining related,Managerial policy,Number,A2540905V,24
2003-Q2,Number of Disputes,Non-Enterprise Bargaining related,Union issues,Number,A2540917C,6
2003-Q2,Number of Disputes,Non-Enterprise Bargaining related,Other,Number,A2540902L,7
2003-Q2,Number of Disputes,Total disputes,,Number,A2540914W,126
2003-Q2,Employees Involved,Enterprise Bargaining related,Remuneration,000,A2540894X,1
2003-Q2,Employees Involved,Enterprise Bargaining related,Employment conditions,000,A2540924A,1.7
2003-Q2,Employees Involved,Enterprise Bargaining related,Other,000,A2540897F,0.4
2003-Q2,Employees Involved,Non-Enterprise Bargaining related,Remuneration,000,A2540921V,0.9
2003-Q2,Employees Involved,Non-Enterprise Bargaining related,Employment conditions,000,A2540912T,1.1
2003-Q2,Employees Involved,Non-Enterprise Bargaining related,Health and safety,000,A2540900J,5.6
2003-Q2,Employees Involved,Non-Enterprise Bargaining related,Job security,000,A2540909C,0.2
2003-Q2,Employees Involved,Non-Enterprise Bargaining related,Managerial policy,000,A2540906W,2.4
2003-Q2,Employees Involved,Non-Enterprise Bargaining related,Union issues,000,A2540918F,0.6
2003-Q2,Employees Involved,Non-Enterprise Bargaining related,Other,000,A2540903R,4.1
2003-Q2,Employees Involved,Total disputes,,000,A2540915X,17.9
2003-Q2,Working days Lost,Enterprise Bargaining related,Remuneration,000,A2540895A,2.9
2003-Q2,Working days Lost,Enterprise Bargaining related,Employment conditions,000,A2540925C,4.1
2003-Q2,Working days Lost,Enterprise Bargaining related,Other,000,A2540898J,1.8
2003-Q2,Working days Lost,Non-Enterprise Bargaining related,Remuneration,000,A2540922W,1.8
2003-Q2,Working days Lost,Non-Enterprise Bargaining related,Employment conditions,000,A2540913V,1.4
2003-Q2,Working days Lost,Non-Enterprise Bargaining related,Health and safety,000,A2540901K,5.7
2003-Q2,Working days Lost,Non-Enterprise Bargaining related,Job security,000,A2540910L,1
2003-Q2,Working days Lost,Non-Enterprise Bargaining related,Managerial policy,000,A2540907X,1.7
2003-Q2,Working days Lost,Non-Enterprise Bargaining related,Union issues,000,A2540919J,0.3
2003-Q2,Working days Lost,Non-Enterprise Bargaining related,Other,000,A2540904T,2.2
2003-Q2,Working days Lost,Total disputes,,000,A2540916A,22.8
2003-Q3,Number of Disputes,Enterprise Bargaining related,Remuneration,Number,A2540893W,10
2003-Q3,Number of Disputes,Enterprise Bargaining related,Employment conditions,Number,A2540923X,19
2003-Q3,Number of Disputes,Enterprise Bargaining related,Other,Number,A2540896C,5
2003-Q3,Number of Disputes,Non-Enterprise Bargaining related,Remuneration,Number,A2540920T,10
2003-Q3,Number of Disputes,Non-Enterprise Bargaining related,Employment conditions,Number,A2540911R,7
2003-Q3,Number of Disputes,Non-Enterprise Bargaining related,Health and safety,Number,A2540899K,52
2003-Q3,Number of Disputes,Non-Enterprise Bargaining related,Job security,Number,A2540908A,12
2003-Q3,Number of Disputes,Non-Enterprise Bargaining related,Managerial policy,Number,A2540905V,39
2003-Q3,Number of Disputes,Non-Enterprise Bargaining related,Union issues,Number,A2540917C,14
2003-Q3,Number of Disputes,Non-Enterprise Bargaining related,Other,Number,A2540902L,10
2003-Q3,Number of Disputes,Total disputes,,Number,A2540914W,178
2003-Q3,Employees Involved,Enterprise Bargaining related,Remuneration,000,A2540894X,1.2
2003-Q3,Employees Involved,Enterprise Bargaining related,Employment conditions,000,A2540924A,2.8
2003-Q3,Employees Involved,Enterprise Bargaining related,Other,000,A2540897F,0.8
2003-Q3,Employees Involved,Non-Enterprise Bargaining related,Remuneration,000,A2540921V,1.2
