reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
2003-Q1,Number of Disputes,Up to and including 1 day,,Number,A2540953L,75
2003-Q1,Number of Disputes,Over 1 day and up to including 2 days,,Number,A2540965W,35
2003-Q1,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,22
2003-Q1,Number of Disputes,5 and less than 10 days,,Number,A2540968C,8
2003-Q1,Number of Disputes,10 days and over,,Number,A2540959A,6
2003-Q1,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,146
2003-Q1,Employees Involved,Up to and including 1 day,,000,A2540954R,17.4
2003-Q1,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,3.7
2003-Q1,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,2.9
2003-Q1,Employees Involved,5 and less than 10 days,,000,A2540969F,0.8
2003-Q1,Employees Involved,10 days and over,,000,A2540960K,0.6
2003-Q1,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,25.4
2003-Q1,Working days Lost,Up to and including 1 day,,000,A2540955T,10
2003-Q1,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,5.8
2003-Q1,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,9.8
2003-Q1,Working days Lost,5 and less than 10 days,,000,A2540970R,5.4
2003-Q1,Working days Lost,10 days and over,,000,A2540961L,8
2003-Q1,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,39
2003-Q2,Number of Disputes,Up to and including 1 day,,Number,A2540953L,68
2003-Q2,Number of Disputes,Over 1 day and up to including 2 days,,Number,A2540965W,34
2003-Q2,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,11
2003-Q2,Number of Disputes,5 and less than 10 days,,Number,A2540968C,4
2003-Q2,Number of Disputes,10 days and over,,Number,A2540959A,9
2003-Q2,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,126
2003-Q2,Employees Involved,Up to and including 1 day,,000,A2540954R,12.4
2003-Q2,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,3.6
2003-Q2,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,1.5
2003-Q2,Employees Involved,5 and less than 10 days,,000,A2540969F,0.2
2003-Q2,Employees Involved,10 days and over,,000,A2540960K,0.3
2003-Q2,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,17.9
2003-Q2,Working days Lost,Up to and including 1 day,,000,A2540955T,7.4
2003-Q2,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,5.6
2003-Q2,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,3.5
2003-Q2,Working days Lost,5 and less than 10 days,,000,A2540970R,1.3
2003-Q2,Working days Lost,10 days and over,,000,A2540961L,5
2003-Q2,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,22.8
2003-Q3,Number of Disputes,Up to and including 1 day,,Number,A2540953L,103
2003-Q3,Number of Disputes,Over 1 day and up to including 2 days,,Number,A2540965W,41
2003-Q3,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,24
2003-Q3,Number of Disputes,5 and less than 10 days,,Number,A2540968C,7
2003-Q3,Number of Disputes,10 days and over,,Number,A2540959A,3
2003-Q3,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,178
2003-Q3,Employees Involved,Up to and including 1 day,,000,A2540954R,24.6
2003-Q3,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,22
2003-Q3,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,2.8
2003-Q3,Employees Involved,5 and less than 10 days,,000,A2540969F,1.9
2003-Q3,Employees Involved,10 days and over,,000,A2540960K,0.3
2003-Q3,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,51.7
2003-Q3,Working days Lost,Up to and including 1 day,,000,A2540955T,18.1
2003-Q3,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,38.5
2003-Q3,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,8.9
2003-Q3,Working days Lost,5 and less than 10 days,,000,A2540970R,9.8
2003-Q3,Working days Lost,10 days and over,,000,A2540961L,4.2
2003-Q3,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,79.5
2003-Q4,Number of Disputes,Up to and including 1 day,,Number,A2540953L,90
2003-Q4,Number of Disputes,Over 1 day and up to including 2 days,,Number,A2540965W,43
2003-Q4,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,25
2003-Q4,Number of Disputes,5 and less than 10 days,,Number,A2540968C,11
2003-Q4,Number of Disputes,10 days and over,,Number,A2540959A,8
2003-Q4,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,177
2003-Q4,Employees Involved,Up to and including 1 day,,000,A2540954R,70.2
2003-Q4,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,32.4
2003-Q4,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,13.6
2003-Q4,Employees Involved,5 and less than 10 days,,000,A2540969F,2.4
2003-Q4,Employees Involved,10 days and over,,000,A2540960K,0.6
2003-Q4,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,119.2
2003-Q4,Working days Lost,Up to and including 1 day,,000,A2540955T,48.2
2003-Q4,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,36.6
2003-Q4,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,58.6
2003-Q4,Working days Lost,5 and less than 10 days,,000,A2540970R,15.7
2003-Q4,Working days Lost,10 days and over,,000,A2540961L,27.3
2003-Q4,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,186.4
2004-Q1,Number of Disputes,Up to and including 1 day,,Number,A2540953L,99
2004-Q1,Number of Disputes,Over 1 day and up to including 2 days,,Number,A2540965W,37
2004-Q1,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,27
2004-Q1,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,172
2004-Q1,Employees Involved,Up to and including 1 day,,000,A2540954R,20.6
2004-Q1,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,10.8
2004-Q1,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,5.7
2004-Q1,Employees Involved,5 and less than 10 days,,000,A2540969F,9.5
2004-Q1,Employees Involved,10 days and over,,000,A2540960K,0.2
2004-Q1,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,46.8
2004-Q1,Working days Lost,Up to and including 1 day,,000,A2540955T,14.4
2004-Q1,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,14.2
2004-Q1,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,16
2004-Q1,Working days Lost,5 and less than 10 days,,000,A2540970R,61.4
2004-Q1,Working days Lost,10 days and over,,000,A2540961L,9
2004-Q1,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,115
