reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
2003-Q1,Number of Disputes,Negotiation without intervention of a third party,,Number,A2540935J,28
2003-Q1,Number of Disputes,State legislation,,Number,A2540941C,16
2003-Q1,Number of Disputes,Federal legislation,,Number,A2540938R,18
2003-Q1,Number of Disputes,Pre-determined return to work,,Number,A2540950F,17
2003-Q1,Number of Disputes,Resumption without negotiation,,Number,A2540932A,58
2003-Q1,Number of Disputes,Mediation,,Number,A2540926F,5
2003-Q1,Number of Disputes,Other reasons,,Number,A2540929L,4
2003-Q1,Number of Disputes,Total Reasons,,Number,A2540944K,146
2003-Q1,Employees Involved,Negotiation without intervention of a third party,,000,A2540936K,2.4
2003-Q1,Employees Involved,State legislation,,000,A2540942F,2.1
2003-Q1,Employees Involved,Federal legislation,,000,A2540939T,2.5
2003-Q1,Employees Involved,Pre-determined return to work,,000,A2540951J,1.8
2003-Q1,Employees Involved,Resumption without negotiation,,000,A2540933C,11.2
2003-Q1,Employees Involved,Mediation,,000,A2540927J,5.1
2003-Q1,Employees Involved,Other reasons,,000,A2540930W,0.3
2003-Q1,Employees Involved,Total Reasons,,000,A2540945L,25.4
2003-Q1,Working days Lost,Negotiation without intervention of a third party,,000,A2540937L,6.2
2003-Q1,Working days Lost,State legislation,,000,A2540943J,4.3
2003-Q1,Working days Lost,Federal legislation,,000,A2540940A,6.4
2003-Q1,Working days Lost,Pre-determined return to work,,000,A2540952K,3.4
2003-Q1,Working days Lost,Resumption without negotiation,,000,A2540934F,12.5
2003-Q1,Working days Lost,Mediation,,000,A2540928K,5.8
2003-Q1,Working days Lost,Other reasons,,000,A2540931X,0.4
2003-Q1,Working days Lost,Total Reasons,,000,A2540946R,39
2003-Q2,Number of Disputes,Negotiation without intervention of a third party,,Number,A2540935J,19
2003-Q2,Number of Disputes,State legislation,,Number,A2540941C,14
2003-Q2,Number of Disputes,Federal legislation,,Number,A2540938R,15
2003-Q2,Number of Disputes,Pre-determined return to work,,Number,A2540950F,21
2003-Q2,Number of Disputes,Resumption without negotiation,,Number,A2540932A,48
2003-Q2,Number of Disputes,Mediation,,Number,A2540926F,4
2003-Q2,Number of Disputes,Other reasons,,Number,A2540929L,5
2003-Q2,Number of Disputes,Total Reasons,,Number,A2540944K,126
2003-Q2,Employees Involved,Negotiation without intervention of a third party,,000,A2540936K,1.5
2003-Q2,Employees Involved,State legislation,,000,A2540942F,1.3
2003-Q2,Employees Involved,Federal legislation,,000,A2540939T,1.9
2003-Q2,Employees Involved,Pre-determined return to work,,000,A2540951J,3.9
2003-Q2,Employees Involved,Resumption without negotiation,,000,A2540933C,8.9
2003-Q2,Employees Involved,Mediation,,000,A2540927J,0.4
2003-Q2,Employees Involved,Other reasons,,000,A2540930W,0.1
2003-Q2,Employees Involved,Total Reasons,,000,A2540945L,17.9
2003-Q2,Working days Lost,Negotiation without intervention of a third party,,000,A2540937L,3.4
2003-Q2,Working days Lost,State legislation,,000,A2540943J,3.7
2003-Q2,Working days Lost,Federal legislation,,000,A2540940A,3.7
2003-Q2,Working days Lost,Pre-determined return to work,,000,A2540952K,4
2003-Q2,Working days Lost,Resumption without negotiation,,000,A2540934F,5.7
2003-Q2,Working days Lost,Mediation,,000,A2540928K,0.6
2003-Q2,Working days Lost,Other reasons,,000,A2540931X,1.7
2003-Q2,Working days Lost,Total Reasons,,000,A2540946R,22.8
2003-Q3,Number of Disputes,Negotiation without intervention of a third party,,Number,A2540935J,26
2003-Q3,Number of Disputes,State legislation,,Number,A2540941C,13
2003-Q3,Number of Disputes,Federal legislation,,Number,A2540938R,19
2003-Q3,Number of Disputes,Pre-determined return to work,,Number,A2540950F,30
2003-Q3,Number of Disputes,Resumption without negotiation,,Number,A2540932A,80
2003-Q3,Number of Disputes,Mediation,,Number,A2540926F,6
2003-Q3,Number of Disputes,Other reasons,,Number,A2540929L,4
2003-Q3,Number of Disputes,Total Reasons,,Number,A2540944K,178
2003-Q3,Employees Involved,Negotiation without intervention of a third party,,000,A2540936K,3.3
2003-Q3,Employees Involved,State legislation,,000,A2540942F,1.7
2003-Q3,Employees Involved,Federal legislation,,000,A2540939T,6.6
2003-Q3,Employees Involved,Pre-determined return to work,,000,A2540951J,10.5
2003-Q3,Employees Involved,Resumption without negotiation,,000,A2540933C,28.8
2003-Q3,Employees Involved,Mediation,,000,A2540927J,0.6
2003-Q3,Employees Involved,Other reasons,,000,A2540930W,0.2
2003-Q3,Employees Involved,Total Reasons,,000,A2540945L,51.7
2003-Q3,Working days Lost,Negotiation without intervention of a third party,,000,A2540937L,5.9
2003-Q3,Working days Lost,State legislation,,000,A2540943J,3
2003-Q3,Working days Lost,Federal legislation,,000,A2540940A,15.3
2003-Q3,Working days Lost,Pre-determined return to work,,000,A2540952K,12.8
2003-Q3,Working days Lost,Resumption without negotiation,,000,A2540934F,40.3
2003-Q3,Working days Lost,Mediation,,000,A2540928K,1.8
2003-Q3,Working days Lost,Other reasons,,000,A2540931X,0.4
2003-Q3,Working days Lost,Total Reasons,,000,A2540946R,79.5
2003-Q4,Number of Disputes,Negotiation without intervention of a third party,,Number,A2540935J,31
2003-Q4,Number of Disputes,State legislation,,Number,A2540941C,9
2003-Q4,Number of Disputes,Federal legislation,,Number,A2540938R,16
2003-Q4,Number of Disputes,Pre-determined return to work,,Number,A2540950F,35
2003-Q4,Number of Disputes,Resumption without negotiation,,Number,A2540932A,72
