tribunal_id,name,federal_court_no,federal_court_case_name,determination_date,nntr_registration_date,determined_method,determination_status,determined_outcome,rntbc_name,related_native_title_determination_application,area_sqkm,date_currency,linked_federal_court_judgment_url,jurisdiction,overlap_note,date_extracted,claimant_type,centroid_longitude,centroid_latitude
DCD1998/001,Croker Island,NTD6001/1996,Mary Yarmirr and Others and the Northern Territory of Australia and Others,1998-09-04,2002-04-26,Consent,In effect - Finalised,Native title exists in the entire determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC1994/006,2934.6939,2021-02-17,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/1998/1998fca1185,NT,,2025-04-03,Claimant,132.7783701723652,-11.147290395259517
DCD2000/001,Alice Springs,NTD6002/1996,Hayes v Northern Territory of Australia,2000-05-23,2000-06-28,Litigated,In effect - Finalised,Native title exists in the entire determination area,Lhere Artepe Aboriginal Corporation RNTBC,DC1994/002,134.9074,2025-03-27,http://www.austlii.edu.au/au/cases/cth/FCA/2000/671.html,NT,,2025-04-03,Claimant,133.86730141631693,-23.693818114564696
DCD2000/002,St Vidgeon's (Roper River),NTD6001/1997,"The Wandarang, Alawa, Marra and Ngalakan Peoples",2000-11-14,2001-05-18,Litigated,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC1994/003,6474.8951,2021-02-17,http://www.austlii.edu.au/au/cases/cth/FCA/2000/923.html,NT,,2025-04-03,Claimant,134.9392832105908,-15.110007181287575
DCD2002/001,Urapunga Township,NTD6003/1996,The Ngalakan People v The Northern Territory of Australia,2002-02-07,2002-03-22,Litigated,In effect - Finalised,Native title exists in parts of the determination area,,DC1995/002,0.7217,2021-02-17,,NT,,2025-04-03,Claimant,134.51265370177452,-14.718396079527002
DCD2003/001,Miriuwung-Gajerrong (Northern Territory),WAD6001/1995,Attorney-General of the Northern Territory v Ward,2003-12-09,2004-05-21,Consent,In effect - Finalised,Native title exists in the entire determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,WC1994/002,591.8256,2016-01-04,http://www.austlii.edu.au/au/cases/cth/FCAFC/2003/283.html,NT,,2025-04-03,Claimant,129.1301141059916,-15.816918584387723
DCD2004/001,Davenport/Murchison,NTD6002/1998,"The Alyawarr, Kaytetye, Warumungu, Wakay Native Title Claim Group v Northern Territory of Australia",2004-04-23,2004-05-04,Litigated,In effect - Finalised,Native title exists in the entire determination area,Iytwelepwenty Aboriginal Corporation RNTBC,DC1995/003,1120.5826,2021-02-08,http://www.austlii.edu.au/au/cases/cth/FCA/2004/472.html,NT,,2025-04-03,Claimant,134.98324835570327,-20.807452101428108
DCD2005/001,Blue Mud Bay No. 2,NTD6035/2002,Gumana v Northern Territory of Australia,2005-10-11,2006-01-06,Litigated,In effect - Finalised,Native title exists in the entire determination area,Djalkiripuyngu Aboriginal Corporation RNTBC,DC2002/034,1483.8474,2015-12-16,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2005/2005fca1425,NT,,2025-04-03,Claimant,136.17813996350654,-13.134246915154897
DCD2006/001,Larrakia (Part A - consolidated proceeding),"NTD6007/1998, NTD6010/1998, NTD6011/1998, NTD6012/1998, NTD6013/1998, NTD6014/1998, NTD6015/1998, NTD6017/1998, NTD6018/1998, NTD6019/1998, NTD6022/1998, NTD6026/1998, NTD6029/1998, NTD6040/1998, NTD6001/1999, NTD6007/1999, NTD6018/1999, NTD6026/2001",Risk v Northern Territory of Australia,2006-05-17,2006-05-19,Litigated,In effect - Finalised,Native title does not exist,,"DC1994/001, DC1996/001, DC1996/002, DC1996/003, DC1996/004, DC1996/005, DC1996/006, DC1996/007, DC1996/008, DC1996/009, DC1997/003, DC1997/006, DC1998/001, DC1998/011, DC1999/001, DC1999/006, DC1999/018, DC2001/026",262.3873,2022-11-08,https://www.comcourts.gov.au/file/Federal/P/NTD6033/2001/3228823/event/24762641/document/78188,NT,,2025-04-03,Claimant,130.93367114482922,-12.491709186275356
DCD2006/002,Timber Creek,"NTD6016/1999, NTD6008/2000, NTD6012/2000",Griffiths v Northern Territory of Australia (No 2),2006-08-28,2006-09-05,Litigated,In effect - Finalised,Native title exists in the entire determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,"DC1999/016, DC2000/008, DC2000/011",20.5367,2015-11-16,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2006/2006fca1155,NT,,2025-04-03,Claimant,130.47125660364523,-15.641400024779811
DCD2007/001,Tennant Creek No.2,NTD8/2006,Patta Warumungu People v Northern Territory of Australia,2007-09-03,2007-09-04,Consent,In effect - Finalised,Native title exists in parts of the determination area,Patta Aboriginal Corporation RNTBC,DC2006/003,33.3896,2022-08-11,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2007/2007fca1386,NT,,2025-04-03,Claimant,134.19202697108435,-19.657230796930047
DCD2007/002,Newcastle Waters - Murranji Determination,"NTD6024/2000, NTD6008/2001, NTD6013/2002, NTD6017/2002, NTD6033/2002, NTD3/2004",King v Northern Territory of Australia ,2007-09-26,2007-09-27,Litigated,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,"DC2000/022, DC2001/008, DC2002/012, DC2002/016, DC2002/032, DC2004/001",8047.521,2025-05-19,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2007/2007fca1498,NT,,2025-05-20,Claimant,133.01056568354826,-17.176742346699893
DCD2009/001,Town of Elliott,NTD6046/2001,Wilson v Northern Territory of Australia,2009-07-31,2009-07-31,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2001/045,1.4338,2021-10-29,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2009/2009fca0800,NT,,2025-04-03,Claimant,133.54902539528143,-17.559356366718706
DCD2009/002,Pine Hill Station,NTD6004/1999,Ampetyane v Northern Territory of Australia,2009-08-07,2009-08-10,Consent,In effect - Finalised,Native title exists in parts of the determination area,Ilkewartn Ywel Aboriginal Corporation RNTBC,DC1999/004,1140.99,2021-02-03,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2009/2009fca0834,NT,,2025-04-03,Claimant,133.54246164890108,-22.431245645854837
DCD2010/001,Singleton,"NTD6011/2000, NTD42/2018","Rex on behalf of the Akwerlpe-Waake, Iliyarne, Lyentyawel Ileparranem and Arrawatyen People v Northern Territory of Australia",2010-09-07,2010-09-09,Consent,In effect - Finalised,Native title exists in parts of the determination area,Mpwerempwer Aboriginal Corporation RNTBC,"DC2000/010, DR2018/005",2940.9204,2020-09-07,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2010/2010fca0911,NT,,2025-04-03,Claimant,134.25496618285808,-20.73892840474242
DCD2010/002,"Newhaven, NT Portion 2406","NTD6028/2000, NTD32/2025",Nelson v Northern Territory of Australia,2010-12-08,2012-08-23,Consent,In effect - Finalised,Native title exists in parts of the determination area,Yankanjini Aboriginal Corporation RNTBC,"DC2000/026, DR2025/001",2615.0131,2026-02-20,https://www.comcourts.gov.au/file/Federal/P/NTD32/2025/actions,NT,,2026-02-23,Claimant,131.1135899504349,-22.812059239094157
DCD2011/001,Ooratippra,NTD6043/2001,"Kngwarrey on behalf of the members of the Irrkwal, Irrmarn, Ntewerrek, Aharreng, Arrty/Amatyerr and Areyn Landholding Groups v Northern Territory of Australia",2011-05-05,2012-04-23,Consent,In effect - Finalised,Native title exists in parts of the determination area,Ooratippra Aboriginal Corporation RNTBC,DC2001/042,4320.0299,2020-05-14,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2011/2011fca0428,NT,,2025-04-03,Claimant,136.0988492463775,-21.84747531796377
DCD2011/002,Spirit Hills Pastoral Lease No.2,NTD38/2010,Carlton v Northern Territory of Australia ,2011-05-31,2011-06-03,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/025,3724.0059,2019-03-27,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2011/2011fca0576,NT,,2025-04-03,Claimant,129.2760940322922,-15.407320380153378
