report_date,state_code,state_name,service_district,lga_name,participant_count
2026-03-31,ACT,Australian Capital Territory,ACT,Unincorporated ACT,12596
2026-03-31,ACT,Australian Capital Territory,Other,ACT - Other,<11
2026-03-31,MIS,Missing (state information not recorded for these participants),Other,MIS - Other,12
2026-03-31,NSW,New South Wales,Central Coast,Central Coast (C) (NSW),13088
2026-03-31,NSW,New South Wales,Far West,Balranald (A),64
2026-03-31,NSW,New South Wales,Far West,Broken Hill (C),681
2026-03-31,NSW,New South Wales,Far West,Central Darling (A),42
2026-03-31,NSW,New South Wales,Far West,Wentworth (A),234
2026-03-31,NSW,New South Wales,Hunter New England,Armidale Regional (A),945
2026-03-31,NSW,New South Wales,Hunter New England,Cessnock (C),3176
2026-03-31,NSW,New South Wales,Hunter New England,Dungog (A),301
2026-03-31,NSW,New South Wales,Hunter New England,Glen Innes Severn (A),244
2026-03-31,NSW,New South Wales,Hunter New England,Gunnedah (A),377
2026-03-31,NSW,New South Wales,Hunter New England,Gwydir (A),101
2026-03-31,NSW,New South Wales,Hunter New England,Inverell (A),593
2026-03-31,NSW,New South Wales,Hunter New England,Lake Macquarie (C),8729
2026-03-31,NSW,New South Wales,Hunter New England,Liverpool Plains (A),219
2026-03-31,NSW,New South Wales,Hunter New England,Maitland (C),4946
2026-03-31,NSW,New South Wales,Hunter New England,Mid-Coast (A),3252
2026-03-31,NSW,New South Wales,Hunter New England,Moree Plains (A),320
2026-03-31,NSW,New South Wales,Hunter New England,Muswellbrook (A),649
2026-03-31,NSW,New South Wales,Hunter New England,Narrabri (A),326
2026-03-31,NSW,New South Wales,Hunter New England,Newcastle (C),6308
2026-03-31,NSW,New South Wales,Hunter New England,Port Stephens (A),2831
2026-03-31,NSW,New South Wales,Hunter New England,Singleton (A),863
2026-03-31,NSW,New South Wales,Hunter New England,Tamworth Regional (A),2380
2026-03-31,NSW,New South Wales,Hunter New England,Tenterfield (A),161
2026-03-31,NSW,New South Wales,Hunter New England,Upper Hunter Shire (A),334
2026-03-31,NSW,New South Wales,Hunter New England,Uralla (A),169
2026-03-31,NSW,New South Wales,Hunter New England,Walcha (A),40
2026-03-31,NSW,New South Wales,Illawarra Shoalhaven,Kiama (A),420
2026-03-31,NSW,New South Wales,Illawarra Shoalhaven,Shellharbour (C),2750
2026-03-31,NSW,New South Wales,Illawarra Shoalhaven,Shoalhaven (C),3482
2026-03-31,NSW,New South Wales,Illawarra Shoalhaven,Wollongong (C),6568
2026-03-31,NSW,New South Wales,Mid North Coast,Bellingen (A),400
2026-03-31,NSW,New South Wales,Mid North Coast,Coffs Harbour (C),2745
2026-03-31,NSW,New South Wales,Mid North Coast,Kempsey (A),1569
2026-03-31,NSW,New South Wales,Mid North Coast,Nambucca Valley (A),801
2026-03-31,NSW,New South Wales,Mid North Coast,Port Macquarie-Hastings (A),3913
2026-03-31,NSW,New South Wales,Murrumbidgee,Albury (C),2497
2026-03-31,NSW,New South Wales,Murrumbidgee,Berrigan (A),248
2026-03-31,NSW,New South Wales,Murrumbidgee,Bland (A),110
2026-03-31,NSW,New South Wales,Murrumbidgee,Carrathool (A),49
2026-03-31,NSW,New South Wales,Murrumbidgee,Coolamon (A),112
2026-03-31,NSW,New South Wales,Murrumbidgee,Cootamundra-Gundagai Regional (A),334
2026-03-31,NSW,New South Wales,Murrumbidgee,Edward River (A),295
2026-03-31,NSW,New South Wales,Murrumbidgee,Federation (A),380
2026-03-31,NSW,New South Wales,Murrumbidgee,Greater Hume Shire (A),416
2026-03-31,NSW,New South Wales,Murrumbidgee,Griffith (C),610
2026-03-31,NSW,New South Wales,Murrumbidgee,Hay (A),72
2026-03-31,NSW,New South Wales,Murrumbidgee,Hilltops (A),575
2026-03-31,NSW,New South Wales,Murrumbidgee,Junee (A),222
2026-03-31,NSW,New South Wales,Murrumbidgee,Leeton (A),307
2026-03-31,NSW,New South Wales,Murrumbidgee,Lockhart (A),105
2026-03-31,NSW,New South Wales,Murrumbidgee,Murray River (A),274
2026-03-31,NSW,New South Wales,Murrumbidgee,Murrumbidgee (A),74
2026-03-31,NSW,New South Wales,Murrumbidgee,Narrandera (A),202
2026-03-31,NSW,New South Wales,Murrumbidgee,Snowy Valleys (A),396
2026-03-31,NSW,New South Wales,Murrumbidgee,Temora (A),162
2026-03-31,NSW,New South Wales,Murrumbidgee,Wagga Wagga (C),2384
2026-03-31,NSW,New South Wales,Nepean Blue Mountains,Blue Mountains (C),2789
2026-03-31,NSW,New South Wales,Nepean Blue Mountains,Hawkesbury (C),2058
2026-03-31,NSW,New South Wales,Nepean Blue Mountains,Lithgow (C),721
2026-03-31,NSW,New South Wales,Nepean Blue Mountains,Penrith (C),8277
2026-03-31,NSW,New South Wales,North Sydney,Hornsby (A),3067
2026-03-31,NSW,New South Wales,North Sydney,Hunters Hill (A),207
2026-03-31,NSW,New South Wales,North Sydney,Ku-ring-gai (A),1956
2026-03-31,NSW,New South Wales,North Sydney,Lane Cove (A),606
2026-03-31,NSW,New South Wales,North Sydney,Mosman (A),292
2026-03-31,NSW,New South Wales,North Sydney,North Sydney (A),757
2026-03-31,NSW,New South Wales,North Sydney,Northern Beaches (A),4511
2026-03-31,NSW,New South Wales,North Sydney,Ryde (C),2622
2026-03-31,NSW,New South Wales,North Sydney,Willoughby (C),1098
2026-03-31,NSW,New South Wales,Northern NSW,Ballina (A),1710
2026-03-31,NSW,New South Wales,Northern NSW,Byron (A),815
2026-03-31,NSW,New South Wales,Northern NSW,Clarence Valley (A),2021
2026-03-31,NSW,New South Wales,Northern NSW,Kyogle (A),309
2026-03-31,NSW,New South Wales,Northern NSW,Lismore (C),2083
2026-03-31,NSW,New South Wales,Northern NSW,Richmond Valley (A),1020
2026-03-31,NSW,New South Wales,Northern NSW,Tweed (A),3220
2026-03-31,NSW,New South Wales,Other,NSW - Other,<11
2026-03-31,NSW,New South Wales,Other,Unincorporated NSW,18
2026-03-31,NSW,New South Wales,South Eastern Sydney,Bayside (A),3255
2026-03-31,NSW,New South Wales,South Eastern Sydney,Georges River (A),2949
2026-03-31,NSW,New South Wales,South Eastern Sydney,Randwick (C),2630
2026-03-31,NSW,New South Wales,South Eastern Sydney,Sutherland Shire (A),5252
2026-03-31,NSW,New South Wales,South Eastern Sydney,Waverley (A),860
2026-03-31,NSW,New South Wales,South Eastern Sydney,Woollahra (A),539
2026-03-31,NSW,New South Wales,South Western Sydney,Camden (A),4333
2026-03-31,NSW,New South Wales,South Western Sydney,Campbelltown (C) (NSW),7117
2026-03-31,NSW,New South Wales,South Western Sydney,Canterbury-Bankstown (A),9503
2026-03-31,NSW,New South Wales,South Western Sydney,Fairfield (C),5315
2026-03-31,NSW,New South Wales,South Western Sydney,Liverpool (C),7103
2026-03-31,NSW,New South Wales,South Western Sydney,Wingecarribee (A),1306
2026-03-31,NSW,New South Wales,South Western Sydney,Wollondilly (A),1881
2026-03-31,NSW,New South Wales,Southern NSW,Bega Valley (A),1042
