date,state_code,state_name,registration_type,sex,registrations
2007-01-01,ACT,Australian Capital Territory,Consent,Female,8367
2007-01-01,NSW,New South Wales,Consent,Female,123435
2007-01-01,NT,Northern Territory,Consent,Female,2848
2007-01-01,QLD,Queensland,Consent,Female,108714
2007-01-01,SA,South Australia,Consent,Female,46125
2007-01-01,TAS,Tasmania,Consent,Female,13105
2007-01-01,VIC,Victoria,Consent,Female,124807
2007-01-01,WA,Western Australia,Consent,Female,77119
2007-01-01,ACT,Australian Capital Territory,Consent,Male,5610
2007-01-01,NSW,New South Wales,Consent,Male,92492
2007-01-01,NT,Northern Territory,Consent,Male,1926
2007-01-01,QLD,Queensland,Consent,Male,76330
2007-01-01,SA,South Australia,Consent,Male,34583
2007-01-01,TAS,Tasmania,Consent,Male,8721
2007-01-01,VIC,Victoria,Consent,Male,85346
2007-01-01,WA,Western Australia,Consent,Male,52554
2007-01-01,ACT,Australian Capital Territory,Consent,Total,13977
2007-01-01,NSW,New South Wales,Consent,Total,215927
2007-01-01,NT,Northern Territory,Consent,Total,4774
2007-01-01,QLD,Queensland,Consent,Total,185044
2007-01-01,SA,South Australia,Consent,Total,80708
2007-01-01,TAS,Tasmania,Consent,Total,21826
2007-01-01,VIC,Victoria,Consent,Total,210153
2007-01-01,WA,Western Australia,Consent,Total,129673
2007-01-01,ACT,Australian Capital Territory,Intent,Female,18452
2007-01-01,NSW,New South Wales,Intent,Female,1098839
2007-01-01,NT,Northern Territory,Intent,Female,6185
2007-01-01,QLD,Queensland,Intent,Female,347331
2007-01-01,SA,South Australia,Intent,Female,304542
2007-01-01,TAS,Tasmania,Intent,Female,88354
2007-01-01,VIC,Victoria,Intent,Female,292593
2007-01-01,WA,Western Australia,Intent,Female,292052
2007-01-01,ACT,Australian Capital Territory,Intent,Male,12820
2007-01-01,NSW,New South Wales,Intent,Male,1115659
2007-01-01,NT,Northern Territory,Intent,Male,4303
2007-01-01,QLD,Queensland,Intent,Male,358231
2007-01-01,SA,South Australia,Intent,Male,288438
2007-01-01,TAS,Tasmania,Intent,Male,86179
2007-01-01,VIC,Victoria,Intent,Male,207392
2007-01-01,WA,Western Australia,Intent,Male,270197
2007-01-01,ACT,Australian Capital Territory,Intent,Total,31272
2007-01-01,NSW,New South Wales,Intent,Total,2214535
2007-01-01,NT,Northern Territory,Intent,Total,10488
2007-01-01,QLD,Queensland,Intent,Total,705564
2007-01-01,SA,South Australia,Intent,Total,593244
2007-01-01,TAS,Tasmania,Intent,Total,174533
2007-01-01,VIC,Victoria,Intent,Total,504238
2007-01-01,WA,Western Australia,Intent,Total,563724
2007-02-01,ACT,Australian Capital Territory,Consent,Female,8736
2007-02-01,NSW,New South Wales,Consent,Female,124859
2007-02-01,NT,Northern Territory,Consent,Female,2921
2007-02-01,QLD,Queensland,Consent,Female,110930
2007-02-01,SA,South Australia,Consent,Female,47552
2007-02-01,TAS,Tasmania,Consent,Female,13349
2007-02-01,VIC,Victoria,Consent,Female,126825
2007-02-01,WA,Western Australia,Consent,Female,78808
2007-02-01,ACT,Australian Capital Territory,Consent,Male,5803
2007-02-01,NSW,New South Wales,Consent,Male,93239
2007-02-01,NT,Northern Territory,Consent,Male,1963
2007-02-01,QLD,Queensland,Consent,Male,77574
2007-02-01,SA,South Australia,Consent,Male,35514
2007-02-01,TAS,Tasmania,Consent,Male,8829
2007-02-01,VIC,Victoria,Consent,Male,86395
2007-02-01,WA,Western Australia,Consent,Male,53403
2007-02-01,ACT,Australian Capital Territory,Consent,Total,14539
2007-02-01,NSW,New South Wales,Consent,Total,218098
2007-02-01,NT,Northern Territory,Consent,Total,4884
2007-02-01,QLD,Queensland,Consent,Total,188504
2007-02-01,SA,South Australia,Consent,Total,83066
2007-02-01,TAS,Tasmania,Consent,Total,22178
2007-02-01,VIC,Victoria,Consent,Total,213220
2007-02-01,WA,Western Australia,Consent,Total,132211
2007-02-01,ACT,Australian Capital Territory,Intent,Female,18476
2007-02-01,NSW,New South Wales,Intent,Female,1097916
2007-02-01,NT,Northern Territory,Intent,Female,6178
2007-02-01,QLD,Queensland,Intent,Female,346848
2007-02-01,SA,South Australia,Intent,Female,305336
2007-02-01,TAS,Tasmania,Intent,Female,88233
2007-02-01,VIC,Victoria,Intent,Female,292147
2007-02-01,WA,Western Australia,Intent,Female,291174
2007-02-01,ACT,Australian Capital Territory,Intent,Male,12829
2007-02-01,NSW,New South Wales,Intent,Male,1115035
2007-02-01,NT,Northern Territory,Intent,Male,4300
2007-02-01,QLD,Queensland,Intent,Male,357932
2007-02-01,SA,South Australia,Intent,Male,289130
2007-02-01,TAS,Tasmania,Intent,Male,86120
2007-02-01,VIC,Victoria,Intent,Male,207228
2007-02-01,WA,Western Australia,Intent,Male,269727
2007-02-01,ACT,Australian Capital Territory,Intent,Total,31305
2007-02-01,NSW,New South Wales,Intent,Total,2212988
