STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,198,5387,9710,15338,16551,19837,25471,92492,3.50%
VIC,269,6590,13696,17401,16402,15512,15476,85346,4.37%
QLD,221,5239,9906,13980,14699,15885,16400,76330,4.96%
SA,3969,3140,3358,4764,5284,6098,7970,34583,5.68%
WA,148,4336,7422,10295,10310,10133,9910,52554,6.67%
TAS,22,626,1109,1527,1777,1876,1784,8721,4.68%
NT,6,116,381,504,401,343,175,1926,2.44%
ACT,23,486,1084,1203,1011,972,831,5610,4.42%
Other,0,0,1,0,2,1,1,5,0.00%
TOTAL,4856,25920,46667,65012,66437,70657,78018,357567,4.51%
