AODR Consent Registrations by State Jan 2007,,,
STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,215927,25.05%,0.58%
VIC,210153,24.38%,1.20%
QLD,185044,21.46%,1.64%
SA,80708,9.36%,0.71%
WA,129673,15.04%,1.74%
TAS,21826,2.53%,0.78%
NT,4774,0.55%,2.01%
ACT,13977,1.62%,1.28%
Other,15,0.00%,7.14%
TOTAL,862097,100.00%,1.17%
