STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,172,5419,9754,15454,16700,19972,25768,93239,3.53%
VIC,230,6751,13817,17702,16555,15641,15699,86395,4.42%
QLD,199,5371,10076,14220,14901,16134,16673,77574,5.04%
SA,4271,3291,3451,4838,5391,6190,8082,35514,5.84%
WA,143,4422,7550,10488,10460,10278,10062,53403,6.77%
TAS,25,634,1121,1536,1788,1910,1815,8829,4.74%
NT,4,121,387,512,410,353,176,1963,2.48%
ACT,19,512,1124,1246,1039,1009,854,5803,4.58%
Other,0,0,1,0,2,1,1,5,0.00%
TOTAL,5063,26521,47281,65996,67246,71488,79130,362725,4.58%
